adj5_sentences	type_base	type_adj	EL_GT	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GT	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GT	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GT	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The stable firefighter finished the work.	male base	male adj	Ο στάβλος πυροσβέστης ολοκλήρωσε το έργο.	error [incorrect]	error	0	Die Stallfeuerwehr hat ihre Arbeit zu Ende geführt.	error [incorrect]	M	0	El bombero de cuadra terminó el trabajo.	error [incorrect]	M	0	De stalbrandweerman voltooide het werk.	error [incorrect]	M	0
The independent firefighter finished the work.	male base	male adj	Ο ανεξάρτητος πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der freie Feuerwehrmann führte die Arbeiten zu Ende.	M	M	1	El bombero independiente finalizó la obra.	M	M	1	De zelfstandige brandweerman voltooide het werk.	M	M	1
The dull firefighter finished the work.	male base	neutral adj	Ο θαμπός πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Der stumpfsinnige Feuerwehrmann vollendete die Arbeit.	M	M	1	El bombero aburrido terminó el trabajo.	M	M	1	De saaie brandweerman maakte het werk af.	M	M	1
The artificial firefighter finished the work.	male base	neutral adj	Ο τεχνητός πυροσβέστης τελείωσε το έργο.	M	M	1	Der künstliche Feuerwehrmann vollendete seine Arbeit.	M	M	1	El bombero artificial terminó el trabajo.	M	M	1	De kunstmatige brandweerman maakte het werk af.	M	M	1
The intelligent firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der intelligente Feuerwehrmann hat die Arbeit beendet.	M	M	1	El inteligente bombero terminó el trabajo.	M	M	1	De intelligente brandweerman voltooide het werk.	M	M	1
The assured firefighter finished the work.	male base	neutral adj	Ο διαβεβαιωμένος πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der zuversichtliche Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero asegurado terminó el trabajo.	M	M	1	De zelfverzekerde brandweerman voltooide het werk.	M	M	1
The clever firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε το έργο.	M	M	1	Der clevere Feuerwehrmann hat die Arbeit zu Ende gebracht.	M	M	1	El inteligente bombero terminó el trabajo.	M	M	1	De slimme brandweerman voltooide het werk.	M	M	1
The retiring plumber finished the work.	male base	female adj	Ο συνταξιούχος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der Klempner, der in den Ruhestand ging, führte die Arbeit zu Ende.	M	M	1	El fontanero jubilado terminó el trabajo.	M	M	1	De loodgieter die met pensioen ging, maakte het werk af.	N	M	0
The pleasant plumber finished the work.	male base	female adj	Ο ευχάριστος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der nette Klempner hat die Arbeit zu Ende geführt.	M	M	1	El amable fontanero terminó el trabajo.	M	M	1	De vriendelijke loodgieter maakte het werk af.	N	M	0
The affectionate plumber finished the work.	male base	female adj	Ο στοργικός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Klempner hat die Arbeit beendet.	M	M	1	El cariñoso fontanero terminó el trabajo.	M	M	1	De liefdevolle loodgieter maakte het werk af.	N	M	0
The gentle plumber finished the work.	male base	female adj	Ο ευγενικός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der freundliche Klempner beendete die Arbeit.	M	M	1	El amable fontanero terminó el trabajo.	M	M	1	De vriendelijke loodgieter maakte het werk af.	N	M	0
The shy plumber finished the work.	male base	female adj	Ο ντροπαλός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Klempner beendete die Arbeit.	M	M	1	El fontanero tímido terminó el trabajo.	M	M	1	De verlegen loodgieter maakte het werk af.	N	M	0
The strong plumber finished the work.	male base	male adj	Ο δυνατός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der kräftige Klempner hat die Arbeit zu Ende geführt.	M	M	1	El fontanero fuerte terminó el trabajo.	M	M	1	De goede loodgieter heeft het werk afgemaakt.	N	M	0
The serious plumber finished the work.	male base	male adj	Ο σοβαρός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der seriöse Klempner hat die Arbeit beendet.	M	M	1	El fontanero serio terminó el trabajo.	M	M	1	De serieuze loodgieter heeft het werk afgemaakt.	N	M	0
The frank plumber finished the work.	male base	male adj	Ο ειλικρινής υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der offene Klempner hat die Arbeit beendet.	M	M	1	El fontanero franco terminó el trabajo.	M	M	1	De eerlijke loodgieter maakte het werk af.	N	M	0
The stable plumber finished the work.	male base	male adj	Ο στάβλος υδραυλικός τελείωσε τη δουλειά.	error [incorrect]	error	0	Der Stallklempner hat die Arbeiten zu Ende geführt.	error [incorrect]	M	0	El fontanero del establo terminó el trabajo.	error [incorrect]	M	0	De loodgieter van de stal heeft het werk afgerond.	error [incorrect]	M	0
The independent plumber finished the work.	male base	male adj	Ο ανεξάρτητος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Die Arbeiten wurden vom selbstständigen Klempner ausgeführt.	M	M	1	El fontanero independiente terminó el trabajo.	M	M	1	De zelfstandige loodgieter heeft het werk afgerond.	N	M	0
The dull plumber finished the work.	male base	neutral adj	Ο θαμπός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der langweilige Klempner hat die Arbeit beendet.	M	M	1	El fontanero aburrido terminó el trabajo.	M	M	1	De saaie loodgieter maakte het werk af.	N	M	0
The artificial plumber finished the work.	male base	neutral adj	Ο τεχνητός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der künstliche Klempner hat die Arbeit beendet.	M	M	1	El fontanero artificial terminó el trabajo.	M	M	1	De kunstmatige loodgieter maakte het werk af.	N	M	0
The intelligent plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der intelligente Klempner hat die Arbeit beendet.	M	M	1	El fontanero inteligente terminó el trabajo.	M	M	1	De intelligente loodgieter voltooide het werk.	N	M	0
The assured plumber finished the work.	male base	neutral adj	Ο σίγουρος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der erfahrene Klempner hat die Arbeit zu Ende geführt.	M	M	1	El fontanero asegurado terminó el trabajo.	M	M	1	De verzekerde loodgieter heeft het werk afgerond.	N	M	0
The clever plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der clevere Klempner hat die Arbeit beendet.	M	M	1	El hábil fontanero terminó el trabajo.	M	M	1	De slimme loodgieter voltooide het werk.	N	M	0
The retiring construction worker finished the work.	male base	female adj	Ο συνταξιούχος εργάτης οικοδομής τελείωσε τις εργασίες.	M	M	1	Der in den Ruhestand gehende Bauarbeiter führte die Arbeiten zu Ende.	M	M	1	El obrero jubilado terminó la obra.	M	M	1	De bouwvakker die met pensioen ging, maakte het werk af.	N	M	0
The pleasant construction worker finished the work.	male base	female adj	Ο ευχάριστος οικοδόμος τελείωσε τη δουλειά.	M	M	1	Der nette Bauarbeiter hat die Arbeiten zu Ende geführt.	M	M	1	El agradable trabajador de la construcción terminó el trabajo.	M	M	1	De vriendelijke bouwvakker voltooide het werk.	N	M	0
The affectionate construction worker finished the work.	male base	female adj	Ο στοργικός εργάτης οικοδομών τελείωσε τη δουλειά.	M	M	1	Der liebevolle Bauarbeiter hat die Arbeit zu Ende geführt.	M	M	1	El cariñoso trabajador de la construcción terminó el trabajo.	M	M	1	De liefdevolle bouwvakker maakte het werk af.	N	M	0
The gentle construction worker finished the work.	male base	female adj	Ο ευγενικός εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Bauarbeiter hat die Arbeit vollendet.	M	M	1	El amable trabajador de la construcción terminó el trabajo.	M	M	1	De vriendelijke bouwvakker voltooide het werk.	N	M	0
The shy construction worker finished the work.	male base	female adj	Ο ντροπαλός εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Bauarbeiter beendete die Arbeit.	M	M	1	El tímido trabajador de la construcción terminó el trabajo.	M	M	1	De verlegen bouwvakker maakte het werk af.	N	M	0
The strong construction worker finished the work.	male base	male adj	Ο δυνατός εργάτης οικοδομής τελείωσε τη δουλειά.	M	M	1	Der kräftige Bauarbeiter vollendete die Arbeit.	M	M	1	El fuerte obrero terminó el trabajo.	M	M	1	De sterke bouwvakker voltooide het werk.	N	M	0
The serious construction worker finished the work.	male base	male adj	Ο σοβαρός οικοδόμος τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Bauarbeiter hat die Arbeit beendet.	M	M	1	El trabajador de la construcción serio terminó el trabajo.	M	M	1	De serieuze bouwvakker maakte het werk af.	N	M	0
The frank construction worker finished the work.	male base	male adj	Ο ειλικρινής εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Bauarbeiter hat die Arbeit zu Ende geführt.	M	M	1	El franco obrero terminó la obra.	M	M	1	De eerlijke bouwvakker voltooide het werk.	N	M	0
The stable construction worker finished the work.	male base	male adj	Ο εργάτης του στάβλου τελείωσε τις εργασίες.	M	error	0	Der Stallbauarbeiter hat die Arbeiten beendet.	error [incorrect]	M	0	El obrero de la construcción del establo terminó el trabajo.	error [incorrect]	M	0	De stalbouwer heeft het werk afgerond.	error [incorrect]	M	0
The independent construction worker finished the work.	male base	male adj	Ο ανεξάρτητος οικοδόμος τελείωσε τις εργασίες.	M	M	1	Die Arbeiten wurden durch den selbstständigen Bauunternehmer zu Ende geführt.	M	M	1	El obrero independiente de la construcción terminó la obra.	M	M	1	De zelfstandige bouwvakker heeft het werk afgerond.	N	M	0
The dull construction worker finished the work.	male base	neutral adj	Ο βαρετός εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der langweilige Bauarbeiter beendete die Arbeit.	M	M	1	El aburrido trabajador de la construcción terminó el trabajo.	M	M	1	De saaie bouwvakker maakte het werk af.	N	M	0
The artificial construction worker finished the work.	male base	neutral adj	Ο τεχνητός εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der künstliche Bauarbeiter hat die Arbeit vollendet.	M	M	1	El obrero artificial terminó el trabajo.	M	M	1	De kunstmatige bouwvakker maakte het werk af.	N	M	0
The intelligent construction worker finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Bauarbeiter hat die Arbeit beendet.	M	M	1	El inteligente trabajador de la construcción terminó el trabajo.	M	M	1	De intelligente bouwvakker voltooide het werk.	N	M	0
The assured construction worker finished the work.	male base	neutral adj	Ο σίγουρος εργάτης ολοκλήρωσε τις εργασίες.	M	M	1	Der versicherte Bauarbeiter hat die Arbeiten zu Ende geführt.	M	M	1	El obrero asegurado terminó el trabajo.	M	M	1	De zelfverzekerde bouwvakker voltooide het werk.	N	M	0
The clever construction worker finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der clevere Bauarbeiter hat die Arbeit zu Ende geführt.	M	M	1	El inteligente trabajador de la construcción terminó el trabajo.	M	M	1	De slimme bouwvakker voltooide het werk.	N	M	0
The retiring laborer finished the work.	male base	female adj	Ο συνταξιούχος εργάτης τελείωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Arbeiter beendete die Arbeit.	M	M	1	El obrero jubilado terminó el trabajo.	M	M	1	De arbeider die met pensioen ging, maakte het werk af.	N	M	0
The pleasant laborer finished the work.	male base	female adj	Ο ευχάριστος εργάτης τελείωσε τη δουλειά.	M	M	1	Der nette Arbeiter hat die Arbeit beendet.	M	M	1	El agradable trabajador terminó el trabajo.	M	M	1	De vriendelijke arbeider voltooide het werk.	N	M	0
The affectionate laborer finished the work.	male base	female adj	Ο στοργικός εργάτης τελείωσε τη δουλειά.	M	M	1	Der liebevolle Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador cariñoso terminó el trabajo.	M	M	1	De liefdevolle arbeider voltooide het werk.	N	M	0
The gentle laborer finished the work.	male base	female adj	Ο ευγενικός εργάτης τελείωσε τη δουλειά.	M	M	1	Der sanfte Arbeiter hat die Arbeit beendet.	M	M	1	El gentil trabajador terminó el trabajo.	M	M	1	De vriendelijke arbeider voltooide het werk.	N	M	0
The shy laborer finished the work.	male base	female adj	Ο ντροπαλός εργάτης τελείωσε τη δουλειά.	M	M	1	Der schüchterne Arbeiter beendete die Arbeit.	M	M	1	El trabajador tímido terminó el trabajo.	M	M	1	De verlegen arbeider maakte het werk af.	N	M	0
The strong laborer finished the work.	male base	male adj	Ο δυνατός εργάτης τελείωσε τη δουλειά.	M	M	1	Der starke Arbeiter hat die Arbeit beendet.	M	M	1	El obrero fuerte terminó el trabajo.	M	M	1	De sterke arbeider voltooide het werk.	N	M	0
The serious laborer finished the work.	male base	male adj	Ο σοβαρός εργάτης τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador serio terminó el trabajo.	M	M	1	De serieuze arbeider voltooide het werk.	N	M	0
The frank laborer finished the work.	male base	male adj	Ο ειλικρινής εργάτης τελείωσε τη δουλειά.	M	M	1	Der ehrliche Arbeiter hat die Arbeit beendet.	M	M	1	El obrero franco terminó el trabajo.	M	M	1	De eerlijke arbeider voltooide het werk.	N	M	0
The stable laborer finished the work.	male base	male adj	Ο στάβλος εργάτης τελείωσε τη δουλειά.	M	error	0	Der Stallarbeiter hat die Arbeit beendet.	error [incorrect]	M	0	El peón de cuadra terminó el trabajo.	error [incorrect]	M	0	De stalarbeider voltooide het werk.	error [incorrect]	M	0
The independent laborer finished the work.	male base	male adj	Ο ανεξάρτητος εργάτης τελείωσε τη δουλειά.	M	M	1	Der unabhängige Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador independiente terminó el trabajo.	M	M	1	De zelfstandige arbeider voltooide het werk.	N	M	0
The dull laborer finished the work.	male base	neutral adj	Ο βαρετός εργάτης τελείωσε τη δουλειά.	M	M	1	Der langweilige Arbeiter beendete die Arbeit.	M	M	1	El trabajador aburrido terminó el trabajo.	M	M	1	De saaie arbeider maakte het werk af.	N	M	0
The artificial laborer finished the work.	male base	neutral adj	Ο τεχνητός εργάτης τελείωσε τη δουλειά.	M	M	1	Der künstliche Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador artificial terminó el trabajo.	M	M	1	De kunstmatige arbeider maakte het werk af.	N	M	0
The intelligent laborer finished the work.	male base	neutral adj	Ο ευφυής εργάτης τελείωσε τη δουλειά.	M	M	1	Der intelligente Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador inteligente terminó el trabajo.	M	M	1	De intelligente arbeider voltooide het werk.	N	M	0
The assured laborer finished the work.	male base	neutral adj	Ο σίγουρος εργάτης τελείωσε τη δουλειά.	M	M	1	Der versicherte Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador asegurado terminó el trabajo.	M	M	1	De zelfverzekerde arbeider voltooide het werk.	N	M	0
The clever laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλειά.	M	M	1	Der geschickte Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador inteligente terminó el trabajo.	M	M	1	De slimme arbeider voltooide het werk.	N	M	0
The retiring mechanic finished the work.	male base	female adj	Ο συνταξιούχος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Mechaniker führte die Arbeit zu Ende.	M	M	1	El mecánico jubilado terminó el trabajo.	M	M	1	De monteur die met pensioen ging, maakte het werk af.	N	M	0
The pleasant mechanic finished the work.	male base	female adj	Ο ευχάριστος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der nette Mechaniker hat die Arbeit erledigt.	M	M	1	El amable mecánico terminó el trabajo.	M	M	1	De vriendelijke monteur maakte het werk af.	N	M	0
The affectionate mechanic finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Mechaniker hat die Arbeit zu Ende geführt.	M	M	1	El cariñoso mecánico terminó el trabajo.	M	M	1	De liefdevolle monteur maakte het werk af.	N	M	0
The gentle mechanic finished the work.	male base	female adj	Ο ευγενικός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der sanfte Mechaniker beendete die Arbeit.	M	M	1	El amable mecánico terminó el trabajo.	M	M	1	De vriendelijke monteur maakte het werk af.	N	M	0
The shy mechanic finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Mechaniker beendete die Arbeit.	M	M	1	El tímido mecánico terminó el trabajo.	M	M	1	De verlegen monteur maakte het werk af.	N	M	0
The strong mechanic finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der kräftige Mechaniker hat die Arbeit zu Ende geführt.	M	M	1	El fuerte mecánico terminó el trabajo.	M	M	1	De sterke monteur maakte het werk af.	N	M	0
The serious mechanic finished the work.	male base	male adj	Ο σοβαρός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der seriöse Mechaniker hat die Arbeit zu Ende geführt.	M	M	1	El mecánico serio terminó el trabajo.	M	M	1	De serieuze monteur maakte het werk af.	N	M	0
The frank mechanic finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε τη δουλειά.	M	M	1	Der ehrliche Mechaniker hat die Arbeit zu Ende geführt.	M	M	1	El mecánico franco terminó el trabajo.	M	M	1	De eerlijke monteur maakte het werk af.	N	M	0
The stable mechanic finished the work.	male base	male adj	Ο σταθερός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der Stallmechaniker führte die Arbeiten zu Ende.	error [incorrect]	M	0	El mecánico del establo terminó el trabajo.	error [incorrect]	M	0	De stalmonteur maakte het werk af.	error [incorrect]	M	0
The independent mechanic finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε τη δουλειά.	M	M	1	Die Arbeiten wurden durch den freien Mechaniker abgeschlossen.	M	M	1	El mecánico independiente terminó el trabajo.	M	M	1	De zelfstandige monteur heeft het werk afgerond.	N	M	0
The dull mechanic finished the work.	male base	neutral adj	Ο θαμπός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der langweilige Mechaniker beendete die Arbeit.	M	M	1	El mecánico aburrido terminó el trabajo.	M	M	1	De saaie monteur maakte het werk af.	N	M	0
The artificial mechanic finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der künstliche Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico artificial terminó el trabajo.	M	M	1	De kunstmatige monteur maakte het werk af.	N	M	0
The intelligent mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der intelligente Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico inteligente terminó el trabajo.	M	M	1	De intelligente monteur voltooide het werk.	N	M	0
The assured mechanic finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der erfahrene Mechaniker hat die Arbeit erledigt.	M	M	1	El mecánico asegurado terminó el trabajo.	M	M	1	De verzekerde monteur voltooide het werk.	N	M	0
The clever mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der clevere Mechaniker hat die Arbeit vollendet.	M	M	1	El inteligente mecánico terminó el trabajo.	M	M	1	De slimme monteur maakte het werk af.	N	M	0
The retiring driver finished the work.	male base	female adj	Ο συνταξιούχος οδηγός τελείωσε τη δουλειά.	M	M	1	Der ausscheidende Fahrer beendete die Arbeit.	M	M	1	El conductor jubilado terminó el trabajo.	M	M	1	De vertrekkende chauffeur maakte het werk af.	N	M	0
The pleasant driver finished the work.	male base	female adj	Ο ευχάριστος οδηγός τελείωσε τη δουλειά.	M	M	1	Der nette Fahrer hat die Arbeit erledigt.	M	M	1	El agradable conductor terminó el trabajo.	M	M	1	De vriendelijke chauffeur maakte het werk af.	N	M	0
The affectionate driver finished the work.	male base	female adj	Ο στοργικός οδηγός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Fahrer hat die Arbeit beendet.	M	M	1	El cariñoso conductor terminó el trabajo.	M	M	1	De liefdevolle chauffeur maakte het werk af.	N	M	0
The gentle driver finished the work.	male base	female adj	Ο ευγενικός οδηγός τελείωσε τη δουλειά.	M	M	1	Der sanfte Fahrer hat die Arbeit beendet.	M	M	1	El amable conductor terminó el trabajo.	M	M	1	De vriendelijke chauffeur maakte het werk af.	N	M	0
The shy driver finished the work.	male base	female adj	Ο ντροπαλός οδηγός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Fahrer beendete die Arbeit.	M	M	1	El tímido conductor terminó el trabajo.	M	M	1	De verlegen chauffeur maakte het werk af.	N	M	0
The strong driver finished the work.	male base	male adj	Ο δυνατός οδηγός τελείωσε τη δουλειά.	M	M	1	Der starke Fahrer hat die Arbeit zu Ende gebracht.	M	M	1	El fuerte conductor terminó el trabajo.	M	M	1	De sterke chauffeur maakte het werk af.	N	M	0
The serious driver finished the work.	male base	male adj	Ο σοβαρός οδηγός τελείωσε τη δουλειά.	M	M	1	Der seriöse Fahrer hat die Arbeit zu Ende gebracht.	M	M	1	El conductor serio terminó el trabajo.	M	M	1	De serieuze chauffeur maakte het werk af.	N	M	0
The frank driver finished the work.	male base	male adj	Ο ειλικρινής οδηγός τελείωσε τη δουλειά.	M	M	1	Der freimütige Fahrer hat die Arbeit beendet.	M	M	1	El franco conductor terminó el trabajo.	M	M	1	De eerlijke chauffeur maakte het werk af.	N	M	0
The stable driver finished the work.	male base	male adj	Ο σταθεροποιός τελείωσε τη δουλειά.	error [incorrect]	error	0	Der Stallfahrer hat die Arbeit zu Ende geführt.	error [incorrect]	M	0	El conductor del establo terminó el trabajo.	error [incorrect]	M	0	De stalchauffeur maakte het werk af.	error [incorrect]	M	0
The independent driver finished the work.	male base	male adj	Ο ανεξάρτητος οδηγός τελείωσε τη δουλειά.	M	M	1	Der selbstständige Fahrer hat die Arbeit beendet.	M	M	1	El conductor independiente terminó el trabajo.	M	M	1	De zelfstandige chauffeur maakte het werk af.	N	M	0
The dull driver finished the work.	male base	neutral adj	Ο βαρετός οδηγός τελείωσε τη δουλειά.	M	M	1	Der langweilige Fahrer hat die Arbeit beendet.	M	M	1	El conductor aburrido terminó el trabajo.	M	M	1	De saaie chauffeur maakte het werk af.	N	M	0
The artificial driver finished the work.	male base	neutral adj	Ο τεχνητός οδηγός τελείωσε τη δουλειά.	M	M	1	Der künstliche Treiber hat die Arbeit vollendet.	M	M	1	El conductor artificial terminó el trabajo.	M	M	1	De kunstmatige bestuurder maakte het werk af.	N	N	1
The intelligent driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός τελείωσε τη δουλειά.	M	M	1	Der intelligente Fahrer hat die Arbeit beendet.	M	M	1	El conductor inteligente terminó el trabajo.	M	M	1	De intelligente bestuurder voltooide het werk.	N	N	1
The assured driver finished the work.	male base	neutral adj	Ο σίγουρος οδηγός τελείωσε τη δουλειά.	M	M	1	Der versicherte Fahrer hat die Arbeit beendet.	M	M	1	El conductor confiado terminó el trabajo.	M	M	1	De zelfverzekerde chauffeur maakte het werk af.	N	M	0
The clever driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός τελείωσε τη δουλειά.	M	M	1	Der clevere Fahrer hat die Arbeit zu Ende gebracht.	M	M	1	El inteligente conductor terminó el trabajo.	M	M	1	De slimme chauffeur maakte het werk af.	N	M	0
The retiring machinist finished the work.	male base	female adj	Ο συνταξιούχος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Maschinist beendete die Arbeit.	M	M	1	El maquinista jubilado terminó el trabajo.	M	M	1	De machinist die met pensioen ging, maakte het werk af.	N	M	0
The pleasant machinist finished the work.	male base	female adj	Ο ευχάριστος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der nette Maschinist hat die Arbeit zu Ende geführt.	M	M	1	El amable maquinista terminó el trabajo.	M	M	1	De vriendelijke machinist maakte het werk af.	N	M	0
The affectionate machinist finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Maschinist hat die Arbeit beendet.	M	M	1	El cariñoso maquinista terminó el trabajo.	M	M	1	De liefdevolle machinist maakte het werk af.	N	M	0
The gentle machinist finished the work.	male base	female adj	Ο ευγενικός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der sanfte Maschinist beendete die Arbeit.	M	M	1	El amable maquinista terminó el trabajo.	M	M	1	De vriendelijke machinist maakte het werk af.	N	M	0
The shy machinist finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Maschinist beendete die Arbeit.	M	M	1	El tímido maquinista terminó el trabajo.	M	M	1	De verlegen machinist maakte het werk af.	N	M	0
The strong machinist finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der kräftige Maschinist vollendete die Arbeit.	M	M	1	El fuerte maquinista terminó el trabajo.	M	M	1	De sterke machinist voltooide het werk.	N	M	0
The serious machinist finished the work.	male base	male adj	Ο σοβαρός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Maschinist hat die Arbeit beendet.	M	M	1	El maquinista serio terminó el trabajo.	M	M	1	De serieuze machinist maakte het werk af.	N	M	0
The frank machinist finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε τη δουλειά.	M	M	1	Der freimütige Maschinist hat die Arbeit beendet.	M	M	1	El maquinista franco terminó el trabajo.	M	M	1	De Frank machinist voltooide het werk.	error [incorrect]	M	0
The stable machinist finished the work.	male base	male adj	Ο στάβλος μηχανικός τελείωσε τη δουλειά.	error [incorrect]	error	0	Der Stallmaschinist hat die Arbeiten zu Ende geführt.	error [incorrect]	M	0	El maquinista de cuadra terminó el trabajo.	error [incorrect]	M	0	De machinist van de stal heeft het werk afgerond.	error [incorrect]	M	0
The independent machinist finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε τη δουλειά.	M	M	1	Die Arbeiten wurden durch den selbständigen Maschinisten zu Ende geführt.	M	M	1	El maquinista independiente terminó el trabajo.	M	M	1	De zelfstandige machinist maakte het werk af.	N	M	0
The dull machinist finished the work.	male base	neutral adj	Ο θαμπός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der langweilige Maschinist beendete die Arbeit.	M	M	1	El maquinista aburrido terminó el trabajo.	M	M	1	De saaie machinist maakte het werk af.	N	M	0
The artificial machinist finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der künstliche Maschinist beendete die Arbeit.	M	M	1	El maquinista artificial terminó el trabajo.	M	M	1	De kunstmatige machinist maakte het werk af.	N	M	0
The intelligent machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der intelligente Maschinist hat die Arbeit beendet.	M	M	1	El maquinista inteligente terminó el trabajo.	M	M	1	De intelligente machinist voltooide het werk.	N	M	0
The assured machinist finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der selbstbewusste Maschinist hat die Arbeit zu Ende geführt.	M	M	1	El maquinista confiado terminó el trabajo.	M	M	1	De zelfverzekerde machinist voltooide het werk.	N	M	0
The clever machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der geschickte Maschinist vollendete die Arbeit.	M	M	1	El hábil maquinista terminó el trabajo.	M	M	1	De bekwame machinist voltooide het werk.	N	M	0
