adj5_sentences	type_base	type_adj	EL_DeepL	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_DeepL	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_DeepL	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_DeepL	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The assured firefighter finished the work.	male base	neutral adj	Ο σίγουρος πυροσβέστης ολοκλήρωσε το έργο.	M	M	1	Der überzeugte Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero asegurado terminó el trabajo.	M	M	1	De verzekerde brandweerman maakte het werk af.	M	M	1
The clever firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε το έργο.	M	M	1	Der clevere Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero listo terminó el trabajo.	M	M	1	De slimme brandweerman maakte het werk af.	M	M	1
The retiring plumber finished the work.	male base	female adj	Ο αποχωρών υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der Klempner im Ruhestand hat die Arbeit beendet.	M	M	1	El fontanero jubilado terminó el trabajo.	M	M	1	De loodgieter die met pensioen ging, maakte het werk af.	N	M	0
The pleasant plumber finished the work.	male base	female adj	Ο ευχάριστος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der nette Klempner hat die Arbeit beendet.	M	M	1	El agradable fontanero terminó el trabajo.	M	M	1	De aangename loodgieter heeft het werk afgemaakt.	N	M	0
The affectionate plumber finished the work.	male base	female adj	Ο στοργικός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Klempner beendete die Arbeit.	M	M	1	El afectuoso fontanero terminó el trabajo.	M	M	1	De aanhankelijke loodgieter maakte het werk af.	N	M	0
The gentle plumber finished the work.	male base	female adj	Ο ευγενικός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der freundliche Klempner beendete die Arbeit.	M	M	1	El amable fontanero terminó el trabajo.	M	M	1	De zachtaardige loodgieter maakte het werk af.	N	M	0
The shy plumber finished the work.	male base	female adj	Ο ντροπαλός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Klempner hat die Arbeit beendet.	M	M	1	El tímido fontanero terminó el trabajo.	M	M	1	De verlegen loodgieter maakte het werk af.	N	M	0
The strong plumber finished the work.	male base	male adj	Ο ισχυρός υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der starke Klempner hat die Arbeit beendet.	M	M	1	El fontanero fuerte terminó el trabajo.	M	M	1	De sterke loodgieter maakte het werk af.	N	M	0
The serious plumber finished the work.	male base	male adj	Ο σοβαρός υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der seriöse Klempner hat die Arbeit beendet.	M	M	1	El fontanero serio terminó el trabajo.	M	M	1	De serieuze loodgieter heeft het werk afgemaakt.	N	M	0
The frank plumber finished the work.	male base	male adj	Ο ειλικρινής υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der Klempner von Frank hat die Arbeit beendet.	error [incorrect]	M	0	El fontanero franco terminó el trabajo.	M	M	1	De openhartige loodgieter heeft het werk afgemaakt.	N	M	0
The stable plumber finished the work.	male base	male adj	Ο σταθερός υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der Stallklempner hat die Arbeit beendet.	error [incorrect]	M	0	El fontanero del establo terminó el trabajo.	error [incorrect]	M	0	De loodgieter in de stal heeft het werk afgemaakt.	error [incorrect]	M	0
The independent plumber finished the work.	male base	male adj	Ο ανεξάρτητος υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der unabhängige Klempner hat die Arbeit beendet.	M	M	1	El fontanero independiente terminó el trabajo.	M	M	1	De onafhankelijke loodgieter heeft het werk afgemaakt.	N	M	0
The dull plumber finished the work.	male base	neutral adj	Ο βαρετός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der langweilige Klempner hat die Arbeit beendet.	M	M	1	El fontanero aburrido terminó el trabajo.	M	M	1	De saaie loodgieter heeft het werk afgemaakt.	N	M	0
The artificial plumber finished the work.	male base	neutral adj	Ο τεχνητός υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der künstliche Klempner hat die Arbeit beendet.	M	M	1	El fontanero artificial terminó el trabajo.	M	M	1	De kunstmatige loodgieter heeft het werk afgemaakt.	N	M	0
The intelligent plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der intelligente Klempner hat die Arbeit beendet.	M	M	1	El fontanero inteligente terminó el trabajo.	M	M	1	De intelligente loodgieter heeft het werk afgemaakt.	N	M	0
The assured plumber finished the work.	male base	neutral adj	Ο σίγουρος υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der versicherte Klempner hat die Arbeit beendet.	M	M	1	El fontanero asegurado terminó el trabajo.	M	M	1	De verzekerde loodgieter heeft het werk afgemaakt.	N	M	0
The clever plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der clevere Klempner hat die Arbeit beendet.	M	M	1	El hábil fontanero terminó el trabajo.	M	M	1	De slimme loodgieter maakte het werk af.	N	M	0
The retiring construction worker finished the work.	male base	female adj	Ο συνταξιούχος οικοδόμος ολοκλήρωσε το έργο.	M	M	1	Der scheidende Bauarbeiter beendete die Arbeit.	M	M	1	El obrero de la construcción que se jubila terminó el trabajo.	M	M	1	De gepensioneerde bouwvakker maakte het werk af.	N	M	0
The pleasant construction worker finished the work.	male base	female adj	Ο ευχάριστος οικοδόμος τελείωσε το έργο.	M	M	1	Der sympathische Bauarbeiter beendete die Arbeit.	M	M	1	El agradable obrero de la construcción terminó el trabajo.	M	M	1	De aardige bouwvakker maakte het werk af.	N	M	0
The affectionate construction worker finished the work.	male base	female adj	Ο στοργικός εργάτης οικοδομών ολοκλήρωσε το έργο.	M	M	1	Der liebevolle Bauarbeiter beendete die Arbeit.	M	M	1	El afectuoso trabajador de la construcción terminó la obra.	M	M	1	De aanhankelijke bouwvakker maakte het werk af.	N	M	0
The gentle construction worker finished the work.	male base	female adj	Ο ευγενικός οικοδόμος τελείωσε το έργο.	M	M	1	Der sanfte Bauarbeiter beendete die Arbeit.	M	M	1	El amable trabajador de la construcción terminó el trabajo.	M	M	1	De zachtaardige bouwvakker maakte het werk af.	N	M	0
The shy construction worker finished the work.	male base	female adj	Ο ντροπαλός οικοδόμος τελείωσε το έργο.	M	M	1	Der schüchterne Bauarbeiter beendete die Arbeit.	M	M	1	El tímido trabajador de la construcción terminó la obra.	M	M	1	De verlegen bouwvakker maakte het werk af.	N	M	0
The strong construction worker finished the work.	male base	male adj	Ο δυνατός εργάτης ολοκλήρωσε το έργο.	M	M	1	Der starke Bauarbeiter beendete die Arbeit.	M	M	1	El fuerte trabajador de la construcción terminó la obra.	M	M	1	De sterke bouwvakker maakte het werk af.	N	M	0
The serious construction worker finished the work.	male base	male adj	Ο σοβαρός οικοδόμος τελείωσε το έργο.	M	M	1	Der seriöse Bauarbeiter beendete die Arbeit.	M	M	1	El serio trabajador de la construcción terminó la obra.	M	M	1	De serieuze bouwvakker maakte het werk af.	N	M	0
The frank construction worker finished the work.	male base	male adj	Ο ειλικρινής οικοδόμος τελείωσε το έργο.	M	M	1	Der offene Bauarbeiter beendete die Arbeit.	M	M	1	El obrero franco terminó el trabajo.	M	M	1	De openhartige bouwvakker maakte het werk af.	N	M	0
The stable construction worker finished the work.	male base	male adj	Ο σταθερός οικοδόμος ολοκλήρωσε τις εργασίες.	M	M	1	Der Stallbauer hat die Arbeit beendet.	error [incorrect]	M	0	El obrero de la construcción estable terminó el trabajo.	M	M	1	De stabiele bouwvakker maakte het werk af.	N	M	0
The independent construction worker finished the work.	male base	male adj	Ο ανεξάρτητος οικοδόμος ολοκλήρωσε το έργο.	M	M	1	Der unabhängige Bauarbeiter beendete die Arbeit.	M	M	1	El trabajador de la construcción independiente terminó la obra.	M	M	1	De onafhankelijke bouwvakker maakte het werk af.	N	M	0
The dull construction worker finished the work.	male base	neutral adj	Ο βαρετός οικοδόμος τελείωσε το έργο.	M	M	1	Der langweilige Bauarbeiter beendete die Arbeit.	M	M	1	El obrero aburrido terminó el trabajo.	M	M	1	De saaie bouwvakker maakte het werk af.	N	M	0
The artificial construction worker finished the work.	male base	neutral adj	Ο τεχνητός οικοδόμος ολοκλήρωσε το έργο.	M	M	1	Der künstliche Bauarbeiter beendete die Arbeit.	M	M	1	El obrero de la construcción artificial terminó el trabajo.	M	M	1	De kunstmatige bouwvakker maakte het werk af.	N	M	0
The intelligent construction worker finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε το έργο.	M	M	1	Der intelligente Bauarbeiter beendete die Arbeit.	M	M	1	El inteligente trabajador de la construcción terminó la obra.	M	M	1	De intelligente bouwvakker maakte het werk af.	N	M	0
The assured construction worker finished the work.	male base	neutral adj	Ο σίγουρος οικοδόμος τελείωσε το έργο.	M	M	1	Der versicherte Bauarbeiter beendete die Arbeit.	M	M	1	El obrero de la construcción asegurado terminó el trabajo.	M	M	1	De verzekerde bouwvakker maakte het werk af.	N	M	0
The clever construction worker finished the work.	male base	neutral adj	Ο έξυπνος οικοδόμος τελείωσε το έργο.	M	M	1	Der clevere Bauarbeiter beendete die Arbeit.	M	M	1	El hábil trabajador de la construcción terminó la obra.	M	M	1	De slimme bouwvakker maakte het werk af.	N	M	0
The retiring laborer finished the work.	male base	female adj	Ο συνταξιοδοτούμενος εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Die Arbeit wurde von dem scheidenden Arbeiter beendet.	M	M	1	El obrero que se retiraba terminó el trabajo.	M	M	1	De aftredende arbeider maakte het werk af.	N	M	0
The pleasant laborer finished the work.	male base	female adj	Ο ευχάριστος εργάτης τελείωσε τη δουλειά.	M	M	1	Der freundliche Arbeiter beendete die Arbeit.	M	M	1	El agradable obrero terminó el trabajo.	M	M	1	De aardige arbeider maakte het werk af.	N	M	0
The affectionate laborer finished the work.	male base	female adj	Ο στοργικός εργάτης τελείωσε τη δουλειά.	M	M	1	Der liebevolle Arbeiter beendete die Arbeit.	M	M	1	El afectuoso obrero terminó el trabajo.	M	M	1	De liefdevolle arbeider maakte het werk af.	N	M	0
The gentle laborer finished the work.	male base	female adj	Ο ευγενικός εργάτης τελείωσε τη δουλειά.	M	M	1	Der sanftmütige Arbeiter beendete die Arbeit.	M	M	1	El amable obrero terminó el trabajo.	M	M	1	De zachtmoedige arbeider maakte het werk af.	N	M	0
The shy laborer finished the work.	male base	female adj	Ο ντροπαλός εργάτης τελείωσε τη δουλειά.	M	M	1	Der schüchterne Arbeiter beendete die Arbeit.	M	M	1	El tímido obrero terminó el trabajo.	M	M	1	De verlegen arbeider maakte het werk af.	N	M	0
The strong laborer finished the work.	male base	male adj	Ο δυνατός εργάτης τελείωσε το έργο.	M	M	1	Der starke Arbeiter beendete die Arbeit.	M	M	1	El trabajador fuerte terminó el trabajo.	M	M	1	De sterke arbeider maakte het werk af.	N	M	0
The serious laborer finished the work.	male base	male adj	Ο σοβαρός εργάτης τελείωσε το έργο.	M	M	1	Der ernsthafte Arbeiter beendete die Arbeit.	M	M	1	El obrero serio terminó el trabajo.	M	M	1	De serieuze arbeider maakte het werk af.	N	M	0
The frank laborer finished the work.	male base	male adj	Ο ειλικρινής εργάτης τελείωσε το έργο.	M	M	1	Der freie Arbeiter beendete die Arbeit.	M	M	1	El obrero franco terminó el trabajo.	M	M	1	De openhartige arbeider maakte het werk af.	N	M	0
The stable laborer finished the work.	male base	male adj	Ο σταθερός εργάτης τελείωσε τη δουλειά.	M	M	1	Der Stallknecht beendete die Arbeit.	error [incorrect]	M	0	El jornalero del establo terminó el trabajo.	error [incorrect]	M	0	De stalknecht maakte het werk af.	error [incorrect]	M	0
The independent laborer finished the work.	male base	male adj	Ο ανεξάρτητος εργάτης τελείωσε το έργο.	M	M	1	Der unabhängige Arbeiter beendete die Arbeit.	M	M	1	El obrero independiente terminó el trabajo.	M	M	1	De onafhankelijke arbeider maakte het werk af.	N	M	0
The dull laborer finished the work.	male base	neutral adj	Ο βαρετός εργάτης τελείωσε τη δουλειά.	M	M	1	Der stumpfe Arbeiter beendete die Arbeit.	M	M	1	El obrero aburrido terminó el trabajo.	M	M	1	De saaie arbeider maakte het werk af.	N	M	0
The artificial laborer finished the work.	male base	neutral adj	Ο τεχνητός εργάτης τελείωσε το έργο.	M	M	1	Der Kunsthandwerker beendete die Arbeit.	error [incorrect]	M	0	El obrero artificial terminó el trabajo.	M	M	1	De kunstmatige arbeider maakte het werk af.	N	M	0
The intelligent laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλειά.	M	M	1	Der intelligente Arbeiter beendete die Arbeit.	M	M	1	El obrero inteligente terminó el trabajo.	M	M	1	De intelligente arbeider maakte het werk af.	N	M	0
The assured laborer finished the work.	male base	neutral adj	Ο σίγουρος εργάτης τελείωσε το έργο.	M	M	1	Der versicherte Arbeiter beendete die Arbeit.	M	M	1	El obrero asegurado terminó el trabajo.	M	M	1	De verzekerde arbeider maakte het werk af.	N	M	0
The clever laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλειά.	M	M	1	Der kluge Arbeiter beendete die Arbeit.	M	M	1	El obrero listo terminó el trabajo.	M	M	1	De slimme arbeider maakte het werk af.	N	M	0
The retiring mechanic finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανικός ολοκλήρωσε τις εργασίες.	M	M	1	Der scheidende Mechaniker beendete die Arbeit.	M	M	1	El mecánico jubilado terminó el trabajo.	M	M	1	De aftredende monteur maakte het werk af.	N	M	0
The pleasant mechanic finished the work.	male base	female adj	Ο ευχάριστος μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der nette Mechaniker beendete die Arbeit.	M	M	1	El agradable mecánico terminó el trabajo.	M	M	1	De aardige monteur maakte het werk af.	N	M	0
The affectionate mechanic finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Mechaniker beendete die Arbeit.	M	M	1	El afectuoso mecánico terminó el trabajo.	M	M	1	De aanhankelijke monteur maakte het werk af.	N	M	0
The gentle mechanic finished the work.	male base	female adj	Ο ευγενικός μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Mechaniker beendete die Arbeit.	M	M	1	El gentil mecánico terminó el trabajo.	M	M	1	De zachtaardige monteur maakte het werk af.	N	M	0
The shy mechanic finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Mechaniker beendete die Arbeit.	M	M	1	El tímido mecánico terminó el trabajo.	M	M	1	De verlegen monteur maakte het werk af.	N	M	0
The strong mechanic finished the work.	male base	male adj	Ο ισχυρός μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der starke Mechaniker beendete die Arbeit.	M	M	1	El mecánico fuerte terminó el trabajo.	M	M	1	De sterke monteur maakte het werk af.	N	M	0
The serious mechanic finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der seriöse Mechaniker beendete die Arbeit.	M	M	1	El mecánico serio terminó el trabajo.	M	M	1	De serieuze monteur maakte het werk af.	N	M	0
The frank mechanic finished the work.	male base	male adj	Ο ειλικρινής μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der offene Mechaniker beendete die Arbeit.	M	M	1	El mecánico franco terminó el trabajo.	M	M	1	De openhartige monteur maakte het werk af.	N	M	0
The stable mechanic finished the work.	male base	male adj	Ο μηχανικός του στάβλου ολοκλήρωσε τις εργασίες.	error [incorrect]	M	0	Der Stallmechaniker beendete die Arbeit.	error [incorrect]	M	0	El mecánico del establo terminó el trabajo.	error [incorrect]	M	0	De stalmecanicien maakte het werk af.	error [incorrect]	M	0
The independent mechanic finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός ολοκλήρωσε τις εργασίες.	M	M	1	Der unabhängige Mechaniker beendete die Arbeit.	M	M	1	El mecánico independiente terminó el trabajo.	M	M	1	De onafhankelijke monteur heeft het werk afgemaakt.	N	M	0
The dull mechanic finished the work.	male base	neutral adj	Ο βαρετός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der stumpfe Mechaniker beendete die Arbeit.	M	M	1	El mecánico aburrido terminó el trabajo.	M	M	1	De saaie monteur maakte het werk af.	N	M	0
The artificial mechanic finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der künstliche Mechaniker beendete die Arbeit.	M	M	1	El mecánico artificial terminó el trabajo.	M	M	1	De kunstmatige monteur maakte het werk af.	N	M	0
The intelligent mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Mechaniker beendete die Arbeit.	M	M	1	El mecánico inteligente terminó el trabajo.	M	M	1	De intelligente monteur maakte het werk af.	N	M	0
The assured mechanic finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός ολοκλήρωσε την εργασία.	M	M	1	Der versicherte Mechaniker beendete die Arbeit.	M	M	1	El mecánico asegurado terminó el trabajo.	M	M	1	De verzekerde monteur maakte het werk af.	N	M	0
The clever mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der clevere Mechaniker beendete die Arbeit.	M	M	1	El astuto mecánico terminó el trabajo.	M	M	1	De slimme monteur maakte het werk af.	N	M	0
The retiring driver finished the work.	male base	female adj	Ο οδηγός που αποσύρθηκε τελείωσε το έργο.	M	M	1	Der scheidende Fahrer beendete die Arbeit.	M	M	1	El conductor que se retiraba terminó el trabajo.	M	M	1	De aftredende chauffeur maakte het werk af.	N	M	0
The pleasant driver finished the work.	male base	female adj	Ο ευχάριστος οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der nette Fahrer beendete die Arbeit.	M	M	1	El agradable conductor terminó el trabajo.	M	M	1	De aardige chauffeur maakte het werk af.	N	M	0
The affectionate driver finished the work.	male base	female adj	Ο στοργικός οδηγός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Fahrer beendete die Arbeit.	M	M	1	El afectuoso conductor terminó el trabajo.	M	M	1	De aanhankelijke chauffeur maakte het werk af.	N	M	0
The gentle driver finished the work.	male base	female adj	Ο ευγενικός οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Fahrer beendete die Arbeit.	M	M	1	El amable conductor terminó el trabajo.	M	M	1	De zachte chauffeur maakte het werk af.	N	M	0
The shy driver finished the work.	male base	female adj	Ο ντροπαλός οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Fahrer beendete die Arbeit.	M	M	1	El tímido conductor terminó el trabajo.	M	M	1	De verlegen chauffeur maakte het werk af.	N	M	0
The strong driver finished the work.	male base	male adj	Ο ισχυρός οδηγός ολοκλήρωσε το έργο.	M	M	1	Der starke Fahrer beendete die Arbeit.	M	M	1	El fuerte conductor terminó el trabajo.	M	M	1	De sterke chauffeur maakte het werk af.	N	M	0
The serious driver finished the work.	male base	male adj	Ο σοβαρός οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der seriöse Fahrer beendete die Arbeit.	M	M	1	El conductor serio terminó el trabajo.	M	M	1	De serieuze chauffeur maakte het werk af.	N	M	0
The frank driver finished the work.	male base	male adj	Ο ειλικρινής οδηγός ολοκλήρωσε το έργο.	M	M	1	Der Fahrer von Frank hat die Arbeit beendet.	error [incorrect]	M	0	El conductor franco terminó el trabajo.	M	M	1	De frankeermachinist maakte het werk af.	error [incorrect]	M	0
The stable driver finished the work.	male base	male adj	Ο οδηγός του στάβλου τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Stallbursche beendete die Arbeit.	error [incorrect]	M	0	El mozo de cuadra terminó el trabajo.	error [incorrect]	M	0	De stalknecht maakte het werk af.	error [incorrect]	M	0
The independent driver finished the work.	male base	male adj	Ο ανεξάρτητος οδηγός ολοκλήρωσε το έργο.	M	M	1	Der unabhängige Fahrer beendete die Arbeit.	M	M	1	El conductor independiente terminó el trabajo.	M	M	1	De onafhankelijke chauffeur maakte het werk af.	N	M	0
The dull driver finished the work.	male base	neutral adj	Ο βαρετός οδηγός τελείωσε τη δουλειά.	M	M	1	Der langweilige Fahrer beendete die Arbeit.	M	M	1	El conductor aburrido terminó el trabajo.	M	M	1	De saaie chauffeur maakte het werk af.	N	M	0
The artificial driver finished the work.	male base	neutral adj	Ο τεχνητός οδηγός ολοκλήρωσε το έργο.	M	M	1	Der Kunstfahrer beendete die Arbeit.	error [incorrect]	M	0	El conductor artificial terminó el trabajo.	M	M	1	De kunstmatige bestuurder maakte het werk af.	N	M	0
The intelligent driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Fahrer beendete die Arbeit.	M	M	1	El conductor inteligente terminó el trabajo.	M	M	1	De intelligente chauffeur maakte het werk af.	N	M	0
The assured driver finished the work.	male base	neutral adj	Ο σίγουρος οδηγός ολοκλήρωσε το έργο.	M	M	1	Der versicherte Fahrer beendete die Arbeit.	M	M	1	El conductor asegurado terminó el trabajo.	M	M	1	De verzekerde chauffeur maakte het werk af.	N	M	0
The clever driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der clevere Fahrer beendete die Arbeit.	M	M	1	El inteligente conductor terminó el trabajo.	M	M	1	De slimme chauffeur maakte het werk af.	N	M	0
The retiring machinist finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der pensionierte Maschinist beendete die Arbeit.	M	M	1	El maquinista jubilado terminó el trabajo.	M	M	1	De aftredende machinist maakte het werk af.	N	M	0
The pleasant machinist finished the work.	male base	female adj	Ο ευχάριστος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der nette Maschinist beendete die Arbeit.	M	M	1	El agradable maquinista terminó el trabajo.	M	M	1	De aardige machinist maakte het werk af.	N	M	0
The affectionate machinist finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der liebevolle Maschinist beendete die Arbeit.	M	M	1	El afectuoso maquinista terminó el trabajo.	M	M	1	De liefhebbende machinist maakte het werk af.	N	M	0
The gentle machinist finished the work.	male base	female adj	Ο ευγενικός μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Maschinist beendete die Arbeit.	M	M	1	El gentil maquinista terminó el trabajo.	M	M	1	De zachtaardige machinist maakte het werk af.	N	M	0
The shy machinist finished the work.	male base	female adj	Ο ντροπαλός μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Maschinist beendete die Arbeit.	M	M	1	El tímido maquinista terminó el trabajo.	M	M	1	De verlegen machinist maakte het werk af.	N	M	0
The strong machinist finished the work.	male base	male adj	Ο δυνατός μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Maschinist beendete die Arbeit.	M	M	1	El fuerte maquinista terminó el trabajo.	M	M	1	De sterke machinist maakte het werk af.	N	M	0
The serious machinist finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der seriöse Maschinist beendete die Arbeit.	M	M	1	El maquinista serio terminó el trabajo.	M	M	1	De serieuze machinist maakte het werk af.	N	M	0
The frank machinist finished the work.	male base	male adj	Ο ειλικρινής μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der Mechaniker beendete die Arbeit.	error [incorrect]	M	0	El maquinista franco terminó el trabajo.	M	M	1	De openhartige machinist maakte het werk af.	N	M	0
The stable machinist finished the work.	male base	male adj	Ο σταθερός μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der stabile Maschinist beendete die Arbeit.	M	M	1	El maquinista del establo terminó el trabajo.	error [incorrect]	M	0	De stabiele machinist maakte het werk af.	N	M	0
The independent machinist finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der unabhängige Maschinist beendete die Arbeit.	M	M	1	El maquinista independiente terminó el trabajo.	M	M	1	De onafhankelijke machinist maakte het werk af.	N	M	0
The dull machinist finished the work.	male base	neutral adj	Ο βαρετός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der stumpfe Maschinist beendete die Arbeit.	M	M	1	El maquinista aburrido terminó el trabajo.	M	M	1	De saaie machinist maakte het werk af.	N	M	0
The artificial machinist finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός ολοκλήρωσε το έργο.	M	M	1	Der künstliche Maschinist beendete die Arbeit.	M	M	1	El maquinista artificial terminó el trabajo.	M	M	1	De kunstmatige machinist maakte het werk af.	N	M	0
The intelligent machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der intelligente Maschinist beendete die Arbeit.	M	M	1	El inteligente maquinista terminó el trabajo.	M	M	1	De intelligente machinist maakte het werk af.	N	M	0
The assured machinist finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der versicherte Maschinist beendete die Arbeit.	M	M	1	El maquinista asegurado terminó el trabajo.	M	M	1	De verzekerde machinist maakte het werk af.	N	M	0
The clever machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der geschickte Maschinist beendete die Arbeit.	M	M	1	El hábil maquinista terminó el trabajo.	M	M	1	De slimme machinist maakte het werk af.	N	M	0
The retiring painter finished the work.	male base	female adj	Ο ζωγράφος που αποσύρθηκε τελείωσε το έργο.	M	M	1	Der scheidende Maler beendete die Arbeit.	M	M	1	El pintor que se retiraba terminó la obra.	M	M	1	De schilder die met pensioen ging maakte het werk af.	N	M	0
The pleasant painter finished the work.	male base	female adj	Ο ευχάριστος ζωγράφος τελείωσε το έργο.	M	M	1	Der nette Maler beendete die Arbeit.	M	M	1	El agradable pintor terminó el trabajo.	M	M	1	De aardige schilder maakte het werk af.	N	M	0
The affectionate painter finished the work.	male base	female adj	Ο στοργικός ζωγράφος τελείωσε το έργο.	M	M	1	Der liebevolle Maler beendete das Werk.	M	M	1	El afectuoso pintor terminó la obra.	M	M	1	De liefdevolle schilder maakte het werk af.	N	M	0
The gentle painter finished the work.	male base	female adj	Ο ευγενικός ζωγράφος τελείωσε το έργο.	M	M	1	Der sanfte Maler beendete das Werk.	M	M	1	El gentil pintor terminó el trabajo.	M	M	1	De zachtaardige schilder maakte het werk af.	N	M	0
The shy painter finished the work.	male base	female adj	Ο ντροπαλός ζωγράφος τελείωσε το έργο.	M	M	1	Der schüchterne Maler beendete die Arbeit.	M	M	1	El tímido pintor terminó la obra.	M	M	1	De verlegen schilder maakte het werk af.	N	M	0
The strong painter finished the work.	male base	male adj	Ο δυνατός ζωγράφος τελείωσε το έργο.	M	M	1	Der kräftige Maler beendete das Werk.	M	M	1	El pintor fuerte terminó la obra.	M	M	1	De sterke schilder maakte het werk af.	N	M	0
The serious painter finished the work.	male base	male adj	Ο σοβαρός ζωγράφος τελείωσε το έργο.	M	M	1	Der seriöse Maler beendete die Arbeit.	M	M	1	El pintor serio terminó la obra.	M	M	1	De serieuze schilder maakte het werk af.	N	M	0
The frank painter finished the work.	male base	male adj	Ο ειλικρινής ζωγράφος τελείωσε το έργο.	M	M	1	Der freie Maler beendete die Arbeit.	M	M	1	El pintor franco terminó la obra.	M	M	1	De openhartige schilder maakte het werk af.	N	M	0
