adj5_sentences	type_base	type_adj	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The strong firefighter finished the work.	male base	male adj	Ο δυνατός πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Der starke Feuerwehrmann erledigte die Arbeit.	M	F	0	El fuerte bombero terminó el trabajo.	M	M	1	De sterke brandweerman eindigde het werk.	M	M	1
The serious firefighter finished the work.	male base	male adj	Ο σοβαρός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der ernsthafte Feuerwehrmann hat die Arbeit beendet.	M	error	0	El serio bombero terminó el trabajo.	M	M	1	De serieuze brandweerman heeft het werk voltooid.	M	M	1
The frank firefighter finished the work.	male base	male adj	Ο ειλικρινής πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Der ehrliche Feuerwehrmann beendete die Arbeit.	M	F	0	El valiente bombero terminó con el trabajo.	M	M	1	De directe brandweerman had het werk af.	M	M	1
The stable firefighter finished the work.	male base	male adj	Ο σταθερός πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der stabile Feuerwehrmann hat die Arbeit beendet.	M	F	0	El bombero estable terminó el trabajo.	M	M	1	De stabiele brandweerman heeft het werk afgerond.	M	M	1
The independent firefighter finished the work.	male base	male adj	Ο αυτόνομος πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Feuerwehrmann beendete die Arbeit.	M	F	0	El bombero voluntario terminó el trabajo.	error [incorrect]	M	0	De zelfstandige brandweerman heeft het werk voltooid.	M	M	1
The dull firefighter finished the work.	male base	neutral adj	Ο αργός πυροσβέστης τελείωσε τη δουλειά.	error [incorrect]	M	0	Der langweilige Feuerwehrmann beendete die Arbeit.	M	F	0	El aburrido bombero terminó el trabajo.	M	M	1	De saaie brandweerman, hij had zijn werk gedaan.	error [incorrect]	M	0
The artificial firefighter finished the work.	male base	neutral adj	Η τεχνητή πυροσβεστική δύναμη ολοκλήρωσε την εργασία.	N	M	0	Der künstliche Feuerwehrmann beendete die Arbeit.	M	F	0	El bombero artificial terminó el trabajo.	M	M	1	De nepbrandweerman heeft het werk voltooid.	M	M	1
The intelligent firefighter finished the work.	male base	neutral adj	Ο έξυπνος πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Der kluge Feuerwehrmann hat die Arbeit beendet.	M	F	0	El bombero inteligente terminó el trabajo.	M	M	1	De intelligente brandweerman had de klus geklaard.	M	M	1
The assured firefighter finished the work.	male base	neutral adj	Ο σίγουρος πυροσβέστης τελείωσε την εργασία του.	M	M	1	Der zuverlässige Feuerwehrmann beendete die Arbeit.	M	F	0	El bombero asegurado terminó el trabajo.	M	M	1	De verzekerde brandweerman had zijn werk voltooid.	M	M	1
The clever firefighter finished the work.	male base	neutral adj	Ο πονηρός πυροσβέστης τελείωσε τη δουλειά.	M	M	1	Die clevere Feuerwehrfrau beendete die Arbeit.	F	F	1	El bombero hábil terminó el trabajo.	M	M	1	De slimme brandweerman heeft het werk afgerond.	M	M	1
The retiring plumber finished the work.	male base	female adj	Ο αποχωρών υδραυλικός ολοκλήρωσε τις εργασίες.	M	M	1	Der aus dem Arbeitsleben	error [incorrect]	F	0	El fontanero que se jubila acabó su trabajo.	M	M	1	De afzakkende loodgieter heeft het werk afgemaakt.	N	M	0
The pleasant plumber finished the work.	male base	female adj	Ο ευχάριστος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der nette Klempner hat die Arbeit erledigt.	M	error	0	El amable fontanero terminó el trabajo.	M	M	1	De aardige loodgieter heeft het werk afgerond.	N	M	0
The affectionate plumber finished the work.	male base	female adj	Ο αγαπητός υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der freundliche Installateur hat die Arbeit beendet.	M	F	0	El amable fontanero terminó con el trabajo.	M	M	1	De liefdevol loodgieter had de klus afgerond.	N	M	0
The gentle plumber finished the work.	male base	female adj	Ο ήσυχος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Handwerker legte die Arbeit fertig.	error [incorrect]	F	0	El amable fontanero terminó la tarea.	M	M	1	De zachte loodgieter heeft het werk voltooid.	N	M	0
The shy plumber finished the work.	male base	female adj	Ο ντροπαλός υδραυλικός ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Klempner beendete die Arbeit.	M	F	0	El plomero tímido terminó la labor.	M	M	1	De schuwe loodgieter heeft het werk afgerond.	N	M/F	0
The strong plumber finished the work.	male base	male adj	Ο δυνατός υδραυλικός τελείωσε το έργο.	M	M	1	Der starke Klempner beendete die Arbeit.	M	F	0	El fuerte fontanero terminó el trabajo.	M	M	1	De sterke loodgieter had de klus geklaard.	N	Error	0
The serious plumber finished the work.	male base	male adj	Η σοβαρή υδραυλικός ολοκλήρωσε τη δουλειά.	M	M	1	Der seriöse Klempner hat die Arbeit beendet.	M	F	0	El fontanero en serio terminó el trabajo.	error [incorrect]	M	0	De serieuze loodgieter heeft de klus afgerond.	N	M	0
The frank plumber finished the work.	male base	male adj	Ο ειλικρινής υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der freche Klempner hat die Arbeit beendet.	M	F	0	El fontanero franco terminó el trabajo.	M	M	1	De eerlijke loodgieter had het werk af.	N	F	0
The stable plumber finished the work.	male base	male adj	Ο σταθερός υδραυλικός τελείωσε την εργασία.	M	M	1	Der feste Klempner beendete die Arbeit.	M	F	0	El fontanero estable acabó el trabajo.	M	M	1	De vaste loodgieter had het werk afgerond.	N	M	0
The independent plumber finished the work.	male base	male adj	Ο ανεξάρτητος υδραυλικός ολοκλήρωσε την εργασία.	M	M	1	Der unabhängige Klempner hat die Arbeit beendet.	M	F	0	El fontanero independiente terminó el trabajo.	M	M	1	De onafhankelijke loodgieter heeft het werk voltooid.	N	M	0
The dull plumber finished the work.	male base	neutral adj	Ο μουντός χτιστάς ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der langweilige Klempner beendete die Arbeit.	M	F	0	El aburrido fontanero terminó el trabajo.	M	M	1	De saaie loodgieter had zijn werk af.	error [incorrect]	M	0
The artificial plumber finished the work.	male base	neutral adj	O τεχνητός υδραυλικός ολοκλήρωσε το έργο.	M	M	1	Der künstliche Klempner beendete die Arbeit.	M	M	1	El fontanero	error [incorrect]	M	0	De kunstmatige loodgieter heeft het werk afgerond.	N	M	0
The intelligent plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός ολοκλήρωσε το έργο.	M	M	1	Der intelligente Klempner hat die Arbeit beendet.	M	M	1	El inteligente plomero terminó el trabajo.	M	M	1	De slimme loodgieter heeft het werk afgerond.	N	M	0
The assured plumber finished the work.	male base	neutral adj	Ο έμπιστος υδραυλικός τελείωσε την εργασία.	M	M	1	Der versicherte Klempner hatte die Arbeit vollendet.	M	F	0	El fontanero seguro terminó el trabajo.	M	M	1	De verzekerde loodgieter heeft het werk afgerond.	N	M	0
The clever plumber finished the work.	male base	neutral adj	Ο έξυπνος υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der clevere Klempner hat die Arbeit beendet.	M	M	1	El plomero ingenioso finalizó el trabajo.	M	M	1	De slimme loodgieter voltooide het werk.	N	M	0
The retiring construction worker finished the work.	male base	female adj	Ο απερχόμενος εργάτης οδοποιίας ολοκλήρωσε την εργασία.	error [incorrect]	M	0	Das austretende Bauarbeiter hat die Arbeit beendet.	error [incorrect]	M	0	El trabajador de la construcción en retiro terminó	error [incorrect]	M	0	De met pensioen gaande bouwvakker had het werk af.	N	M	0
The pleasant construction worker finished the work.	male base	female adj	Ο ευχάριστος εργάτης οικοδομής ολοκλήρωσε τη δουλειά.	M	M	1	Der angenehme Bauarbeiter beendete die Arbeit.	M	M	1	El amable operario de construcción terminó el trabajo.	M	M	1	De prettige bouwvakker heeft het werk afgerond.	N	F	0
The affectionate construction worker finished the work.	male base	female adj	Ο δεσποινίς εργοδηγός ολοκλήρωσε το έργο.	M	M	1	Der liebevolle Bauarbeiter hat die Arbeit beendet.	M	N	0	El afectuoso trabajador de la construcción terminó el trabajo.	M	M	1	De lieve bouwvakker heeft het werk afgemaakt.	N	M	0
The gentle construction worker finished the work.	male base	female adj	Ο ντενεκέδικος εργάτης ολοκλήρωσε το έργο.	error [incorrect]	M	0	Der sanfte Bauarbeiter beendete die Arbeit.	M	M	1	El amable trabajador de la construcción terminó el trabajo.	M	M	1	De zachte bouwvakker had het werk af.	N	F	0
The shy construction worker finished the work.	male base	female adj	Ο ντροπαλός εργάτης του οικοδομικού συντάγματος ολοκλή	error [incorrect]	M	0	Der schüchterne Bauarbeiter hat seine Arbeit beendet.	M	N	0	El tímido trabajador de la construcción terminó el trabajo.	M	M	1	De verlegen bouwvakker had het werk af.	N	M	0
The strong construction worker finished the work.	male base	male adj	Ο δυνατός εργάτης οικοδομών ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Bauarbeiter beendete die Arbeit.	M	M	1	El obrero de la construcción fuerte terminó el trabajo.	M	M	1	De sterke bouwvakker heeft het werk afgemaakt.	N	F	0
The serious construction worker finished the work.	male base	male adj	Ο σοβαρός εργάτης οικοδομών τελείωσε το έργο.	M	M	1	Der ernsthafte Bauarbeiter beendete die Arbeit.	M	M	1	El serio trabajador de la construcción terminó el trabajo.	M	M	1	De serieuze bouwvakker heeft het werk afgemaakt.	N	M	0
The frank construction worker finished the work.	male base	male adj	Ο ειλικρινής εργάτης του οδοστρώματος ολοκλήρωσε τη	error [incorrect]	M	0	Der ehrliche Bauarbeiter hat die Arbeit beendet.	M	F	0	El franco obrero de la construcción concluyó el trabajo.	M	M	1	De harde bouwvakker heeft het werk afgerond.	N	F	0
The stable construction worker finished the work.	male base	male adj	Ο σταθερός εργάτης οικοδομών ολοκλήρωσε τη δουλειά.	M	M	1	Der stabile Bauarbeiter hat die Arbeit beendet.	M	N	0	El trabajador de la construcción estable terminó el trabajo.	M	M	1	De stabiele bouwvakker heeft het werk voltooid.	N	M	0
The independent construction worker finished the work.	male base	male adj	Ο ανεξάρτητος εργάτης οικοδομών ολοκλήρωσε την εργασία.	M	M	1	Der unabhängige Bauarbeiter hat die Arbeit beendet.	M	N	0	El trabajador de la construcción independiente terminó el trabajo.	M	M	1	De onafhankelijke bouwarbeider had het werk af.	error [incorrect]	M	0
The dull construction worker finished the work.	male base	neutral adj	Ο βαρετός εργάτης του δομικού κλάδου τελείωσε το έργο.	error [incorrect]	M	0	Der langweilige Bauarbeiter hat die Arbeit fertig gestellt.	M	M	1	El trabajador de la construcción aburrido terminó el trabajo.	M	M	1	De saaie bouwvakker maakte zijn werk af.	error [incorrect]	M	0
The artificial construction worker finished the work.	male base	neutral adj	Ο τεχνητός εργάτης οικοδομών ολοκλήρωσε την εργασία.	M	M	1	Der künstliche Bauarbeiter hat die Arbeit fertiggestellt.	M	M	1	El trabajador de la construcción artificial terminó el trabajo.	M	M	1	De mensonvermijdelijke arbeider beëindigde de klus.	error [incorrect]	F	0
The intelligent construction worker finished the work.	male base	neutral adj	Ο ικανός εργάτης έχτισε το κτίριο.	error [incorrect]	M	0	Der intelligente Bauarbeiter hat die Arbeit beendet.	M	M	1	El trabajador de la construcción inteligente terminó el trabajo.	M	M	1	De intelligente bouwvakker heeft het werk afgerond.	N	M	0
The assured construction worker finished the work.	male base	neutral adj	Ο σίγουρος εργάτης οικοδομών ολοκλήρωσε την εργασία.	M	M	1	Der zuversichtlich Bauarbeiter beendete die Arbeit.	M	M	1	El obrero de la construcción aseguró que terminó el trabajo.	error [incorrect]	M	0	De verzekerde bouwvakker heeft het werk voltooid.	N	F	0
The clever construction worker finished the work.	male base	neutral adj	Ο μυαλωμένος εργάτης έφτιαξε την κατασκευή.	error [incorrect]	M	0	Der kluge Bauarbeiter beendete die Arbeit.	M	M	1	El ingenioso obrero de la construcción terminó el trabajo.	M	M	1	De slimme metselaar heeft het werk afgerond.	error [incorrect]	M	0
The retiring laborer finished the work.	male base	female adj	Ο συνταξιούχος εργάτης τελείωσε τη δουλειά.	M	M	1	Der ausscheidende Arbeiter hatte die Arbeit beendet.	M	error	0	El trabajador jubilado terminó el trabajo.	M	M	1	De vertrekkende arbeider heeft het werk beëindigd.	N	M	0
The pleasant laborer finished the work.	male base	female adj	Ο ευχάριστος εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der angenehme Arbeiter beendete die Arbeit.	M	M	1	El agradable obrero terminó el trabajo.	M	M	1	De tevreden arbeider had zijn werk afgerond.	error [incorrect]	M	0
The affectionate laborer finished the work.	male base	female adj	Ο εργαζόμενος που αγάπησε έπαψε να εργάζεται.	M	M	1	Der liebevolle Arbeiter beendete die Arbeit.	M	M	1	El trabajador cariñoso terminó el trabajo.	M	M	1	De vriendelijke arbeider had de taak voltooid.	N	M	0
The gentle laborer finished the work.	male base	female adj	Ο μετριοπαθής εργάτης τελείωσε το έργο.	error [incorrect]	M	0	The gentle laborer completed the work.	error [incorrect]	M	0	El trabajador gentil terminó el trabajo.	M	M	1	De rustige arbeider had de klus geklaard.	N	F	0
The shy laborer finished the work.	male base	female adj	Ο ντροπαλός εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	The shy laborer finished the work.	error [incorrect]	M	0	El trabajador tímido terminó el trabajo.	M	M	1	De schuwe werker heeft het werk afgerond.	N	F	0
The strong laborer finished the work.	male base	male adj	Ο δυνατός εργάτης τελείωσε τη δουλειά.	M	M	1	Der starke Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador fuerte terminó el trabajo.	M	M	1	De sterke arbeider heeft het werk afgerond.	N	M	0
The serious laborer finished the work.	male base	male adj	Ο σοβαρός εργάτης ολοκλήρωσε την εργασία.	M	M	1	Der ernsthafte Arbeiter beendete die Arbeit	M	M	1	El trabajador serio terminó el trabajo.	M	M	1	De serieuze arbeider heeft het werk afgerond.	N	M	0
The frank laborer finished the work.	male base	male adj	Ο ειλικρινής εργάτης τελείωσε τη δουλειά.	M	M	1	Der ehrliche Arbeiter beendete die Arbeit.	M	M	1	El trabajador franco terminó el trabajo.	M	M	1	De eerlijke arbeider had het werk voltooid.	N	M	0
The stable laborer finished the work.	male base	male adj	Ο εργάτης του στάβλου ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der stabile Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador estábil acabó el trabajo.	error [incorrect]	M	0	De vaste arbeider heeft de werkzaamheden afgerond.	N	M	0
The independent laborer finished the work.	male base	male adj	Ο ανεξάρτητος εργαζόμενος ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador independiente terminó el trabajo.	M	M	1	De zelfstandige arbeider had het werk af.	N	F	0
The dull laborer finished the work.	male base	neutral adj	Ο άβουλος εργάτης τελείωσε το έργο.	error [incorrect]	M	0	The lazy worker completed the work.	error [incorrect]	M	0	El trabajador aburrido termino el trabajo.	M	M	1	De kale werker had het werk afgerond.	error [incorrect]	M	0
The artificial laborer finished the work.	male base	neutral adj	Ο τεχνητός εργάτης είχε τελειώσει τη δουλειά.	M	M	1	Der künstliche Arbeiter hat die Arbeit beendet.	M	M	1	El peón artificial terminó el trabajo.	error [incorrect]	M	0	De kunstmatige arbeider had het werk voltooid.	N	M	0
The intelligent laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλεία.	M	M	1	Der intelligente Arbeitende beendete die Arbeit.	M	M	1	El trabajador inteligente terminó el trabajo.	M	M	1	De intelligente werker heeft zijn werk voltooid.	error [incorrect]	M	0
The assured laborer finished the work.	male base	neutral adj	Ο σίγουρος εργάτης τελείωσε την εργασία.	M	M	1	Der versicherte Arbeiter hat die Arbeit beendet.	M	M	1	El trabajador asegurado terminó el trabajo.	M	M	1	De verzekerde arbeider had de taak voltooid.	N	M	0
The clever laborer finished the work.	male base	neutral adj	Το έξυπνο εργαζόμενο, ολοκλήρωσε την εργασία.	error [incorrect]	M	0	Der clevere Arbeiter beendete die Arbeit.	M	M	1	El trabajador inteligente terminó el trabajo.	M	M	1	Het slimme werkvolk had de klus geklaard.	error [incorrect]	M	0
The retiring mechanic finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανικός τελείωσε τη δουλειά.	M	F	0	Der in den Ruhestand gehende Mechaniker beendete die Arbeit.	M	M	1	El mecánico jubilado terminó el trabajo.	M	M	1	De mecanicien die met pensioen ging, had het werk af.	N	M	0
The pleasant mechanic finished the work.	male base	female adj	Ο ευχάριστος τεχνίτης τελείωσε τη δουλειά.	M	M	1	Der angenehme Mechaniker beendete die Arbeit.	M	M	1	El mecánico agradable terminó el trabajo.	M	M	1	De aardige monteur had de reparatie afgerond.	N	M	0
The affectionate mechanic finished the work.	male base	female adj	Ο μελαγχολικός μηχανικός τελείωσε τη δουλειά.	error [incorrect]	M	0	Der liebevolle Mechaniker hat die Arbeit beendet.	M	M	1	El amable mecánico terminó el trabajo.	M	M	1	De knappe reparatietechnicus had het werk af.	error [incorrect]	M	0
The gentle mechanic finished the work.	male base	female adj	Ο ευγενικός τεχνίτης τελείωσε τη δουλειά.	M	M	1	Der sanfte Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico tranquilo terminó el trabajo.	M	M	1	De zachte monteur heeft het werk afgemaakt.	N	M	0
The shy mechanic finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Mechaniker hat die Arbeit beendet.	M	M	1	El tímido mecánico terminó el trabajo.	M	M	1	De verlegen monteur had het werk af.	N	M	0
The strong mechanic finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε την εργασία.	M	M	1	Der starke Mechaniker hat die Arbeit fertiggestellt.	M	error	0	El mecánico fuerte terminó el trabajo.	M	M	1	De sterke monteur heeft de klus geklaard.	N	M	0
The serious mechanic finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der ernsthafte Mechaniker beendete die Arbeit.	M	M	1	El mecánico serio terminó el trabajo.	M	M	1	De serieuze monteur heeft het werk afgerond.	N	M	0
The frank mechanic finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε το έργο.	M	M	1	Der ehrliche Mechaniker hat das Werk vollendet.	M	M	1	El honesto mecánico terminó el trabajo.	M	M	1	De eerlijke monteur heeft het werk afgemaakt.	N	M	0
The stable mechanic finished the work.	male base	male adj	Ο μηχανικός του σταβλίτη ολοκλήρωσε την εργασία.	error [incorrect]	M	0	Der Mechaniker hat die Arbeit beendet, fertig.	error [incorrect]	M	0	El mecánico de vehículos del taller terminó el trabajo.	error [incorrect]	M	0	De hoefsmid heeft het werk afgerond.	error [incorrect]	M	0
The independent mechanic finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε την δουλειά.	M	M	1	Der unabhängige Mechaniker hat die Arbeit beendet.	M	error	0	El mecánico independiente terminó el trabajo.	M	M	1	De zelfstandige monteur heeft het werk afgerond.	N	M	0
The dull mechanic finished the work.	male base	neutral adj	Ο μονότονος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der langweilige Mechaniker hat die Arbeit beendet.	M	error	0	El aburrido mecánico finalizó el trabajo.	M	M	1	Het saaie automechaniekje had de klus geklaard.	error [incorrect]	M	0
The artificial mechanic finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός τελείωσε τη δουλειά.	M	M	1	Die künstliche Mechanik beendete die Arbeit.	error [incorrect]	M	0	El mecánico artificial terminó el trabajo.	M	M	1	De artificële monteur heeft het werk afgemaakt.	N	M	0
The intelligent mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε το έργο.	M	M	1	Der intelligente Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico ingenioso terminó el trabajo.	M	M	1	De slimme monteur heeft het werk afgemaakt.	N	M	0
The assured mechanic finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der versicherte Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico de confianza terminó el trabajo.	M	M	1	De verzekerde monteur heeft het werk afgerond.	N	M	0
The clever mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der kluge Mechaniker beendete die Arbeit.	M	M	1	El mecánico habilidoso terminó el trabajo.	M	M	1	De slimme monteur heeft het werk afgemaakt.	N	M	0
The retiring driver finished the work.	male base	female adj	Ο οδηγός που αποχωρεί από την υπηρεσία ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der ausscheidende Fahrer hat die Arbeit beendet.	M	M	1	El conductor retirándose terminó el trabajo	M	M	1	De afscheidnemende chauffeur heeft het werk afgerond.	N	M/F	0
The pleasant driver finished the work.	male base	female adj	Ο ευχάριστος οδηγός τελείωσε τη δουλειά.	M	M	1	Der freundliche Fahrer hat die Arbeit erledigt.	M	N	0	El agradable conductor terminó el trabajo.	M	M	1	De prettige chauffeur heeft het werk afgerond.	N	F	0
The affectionate driver finished the work.	male base	female adj	Ο φιλικός οδηγός ολοκλήρωσε την εργασία.	M	M	1	Der zärtliche Fahrer beendete die Arbeit.	M	M	1	El caballero conductor terminó el trabajo.	error [incorrect]	M	0	De beminnelijke bestuurder maakte het werk af.	N	F	0
The gentle driver finished the work.	male base	female adj	Ο μετριοπαθής οδηγός τελείωσε τη δουλειά.	error [incorrect]	M	0	Der leise Fahrer hat die Arbeit beendet.	M	M	1	El conduccor suave terminó el trabajo.	error [incorrect]	M	0	De zachte bestuurder had zijn werk af.	error [incorrect]	M/F	0
The shy driver finished the work.	male base	female adj	Ο ντροπαλός οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der schüchterne Fahrer beendete die Arbeit.	M	M	1	El tímido conductor terminó el trabajo.	M	M	1	De verlegen chauffeur voltooide de klus.	N	F	0
The strong driver finished the work.	male base	male adj	Ο δυνατός οδηγός τελείωσε τη δουλειά.	M	M	1	Der starke Fahrer beendete die Arbeit.	M	M	1	El conductor fuerte terminó el trabajo.	M	M	1	De sterke piloot heeft zijn werk afgerond.	error [incorrect]	M	0
The serious driver finished the work.	male base	male adj	Ο σοβαρός οδηγός τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Fahrer hat die Arbeit abgeschlossen.	M	M	1	El conductor serio finalizó el trabajo.	M	M	1	De serieuze chauffeur heeft het werk voltooid.	N	F	0
The frank driver finished the work.	male base	male adj	Ο ειλικρινής οδηγός τελείωσε τη δουλειά.	M	M	1	Der ehrliche Fahrer beendete die Arbeit.	M	M	1	El conductor franco terminó el trabajo.	M	M	1	De eerlijke chauffeur heeft het werk afgerond.	N	M	0
The stable driver finished the work.	male base	male adj	Ο οδηγός του στάβλου τελείωσε τη δουλειά.	M	M	1	Der Stallknecht hat die Arbeit beendet.	error [incorrect]	M	0	El conductor del carro de ganado terminó el trabajo.	error [incorrect]	M	0	De stalknecht heeft het werk afgesloten.	error [incorrect]	M	0
The independent driver finished the work.	male base	male adj	Ο ανεξάρτητος οδηγός ολοκλήρωσε την εργασία.	M	M	1	Der unabhängige Fahrer hat die Arbeit beendet.	M	M	1	El conductor independiente terminó el trabajo.	M	M	1	De freelance chauffeur heeft het werk afgerond.	N	M	0
The dull driver finished the work.	male base	neutral adj	Ο άψυχος οδηγός τελείωσε τη δουλειά.	error [incorrect]	M	0	Der langweilige Fahrer beendete die Arbeit.	M	M	1	El conductor perezoso terminó el trabajo.	M	M	1	De trage chauffeur heeft het werk voltooid.	N	M	0
The artificial driver finished the work.	male base	neutral adj	Ο τεχνητός οδηγός ολοκλήρωσε το έργο.	M	M	1	Der künstliche Fahrer hat die Arbeit beendet.	M	M	1	El conductor artificial terminó el trabajo.	M	M	1	De kunstmatige chauffeur heeft het werk afgemaakt.	N	M	0
The intelligent driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε την εργασία.	M	M	1	Der kluge Fahrer beendete die Arbeit.	M	M	1	El conductor inteligente terminó el trabajo.	M	M	1	De slimme bestuurder had het werk gedaan.	N	M	0
The assured driver finished the work.	male base	neutral adj	Ο οδηγός που είχε την εμπιστοσύνη στην οδήγηση ολοκλήρωσε την	error [incorrect]	M	0	Der zuversichtliche Fahrer schloss die Arbeit ab.	M	M	1	El chofer asegurado finalizó el trabajo.	M	M	1	De verzekerde bestuurder heeft het werk afgemaakt.	N	M	0
The clever driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε την εργασία.	M	M	1	Der kluge Fahrer hat seine Arbeit beendet.	M	M	1	El astuto conductor terminó el trabajo.	M	M	1	De slimme bestuurder heeft het werk afgerond.	N	M/F	0
The retiring machinist finished the work.	male base	female adj	Ο αποχωρών μηχανικός τελείωσε τη δουλειά.	M	M	1	Der pensionierte Maschinenbauingenieur hat die Arbeit beendet.	M	M	1	El maquinista que se jubila ha terminado el trabajo.	M	M	1	De machinist is met pensioen en heeft het werk afgemaakt.	error [incorrect]	F	0
The pleasant machinist finished the work.	male base	female adj	Ο ευχάριστος μηχανουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der angenehme Maschinist beendete die	error [incorrect]	M	0	El agradable mecánico terminó el trabajo.	M	M	1	De vriendelijke machinist had zijn werk geklaard.	error [incorrect]	F	0
The affectionate machinist finished the work.	male base	female adj	Ο στοργικός σιδηρουργός ολοκλήρωσε τη δουλειά.	M	M	1	Der gutherzige Maschinenbaumeister hat die Arbeit fertiggestellt.	M	M	1	El maquinista cariñoso terminó el trabajo.	M	M	1	De gezellige machinist heeft het werk afgerond.	N	F	0
The gentle machinist finished the work.	male base	female adj	Ο διακριτικός μηχανικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der sanfte Maschinenmeister beendete die Arbeit.	M	M	1	El mecánico tranquilo terminó el trabajo.	M	M	1	De zachte machine-werker heeft het werk afgerond.	error [incorrect]	M/F	0
The shy machinist finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der schüchterne Maschinenarbeiter beendete die Arbeit.	M	M	1	El chapista tímido terminó el trabajo.	error [incorrect]	M	0	De verlegen machinist heeft het werk afgerond.	N	M/F	0
The strong machinist finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε το έργο.	M	M	1	Der starke Maschinenbaumeister beendete die Arbeit.	M	M	1	El fuerte maquinista finalizó el trabajo	M	M	1	De sterke machinist had de klus geklaard.	N	M/F	0
The serious machinist finished the work.	male base	male adj	Ο σοβαρός μηχανικός τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Maschinenarbeiter beendete die Arbeit.	M	M	1	El importante maquinista terminó el trabajo.	M	M	1	De ernstige machinebouwer heeft zijn werk afgerond.	error [incorrect]	F	0
The frank machinist finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε τη δουλειά.	M	M	1	The honest machinist finished the job.	error [incorrect]	M	0	El honesto maquinista terminó el trabajo.	M	M	1	De eerlijke machinist had het werk af.	N	M/F	0
The stable machinist finished the work.	male base	male adj	Ο μηχανικός του σταθμού τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Maschinist in der Werkstatt hat die Arbeit beendet.	M	error	0	El maquinista estable finalizó el trabajo.	M	M	1	De machinist van de stabiele machine had het werk voltooid.	error [incorrect]	M/F	0
The independent machinist finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε τη δουλειά.	M	M	1	Der selbstständige Maschinenbaumeister hat die Arbeit beendet.	M	error	0	El tornero manual independiente terminó el trabajo.	error [incorrect]	M	0	De zelfstandig werkende machinebouwer heeft het werk voltooid.	error [incorrect]	M/F	0
