adj5_sentences	type_base	type_adj	EL_EuroLLM	DE_EuroLLM	ES_EuroLLM	NL_EuroLLM
The stable laborer finished the work.	male base	male adj	Ο εργάτης του στάβλου ολοκλήρωσε τη δουλειά.	Der stabile Arbeiter hat die Arbeit beendet.	El trabajador estábil acabó el trabajo.	De vaste arbeider heeft de werkzaamheden afgerond.
The independent laborer finished the work.	male base	male adj	Ο ανεξάρτητος εργαζόμενος ολοκλήρωσε τη δουλειά.	Der unabhängige Arbeiter hat die Arbeit beendet.	El trabajador independiente terminó el trabajo.	De zelfstandige arbeider had het werk af.
The dull laborer finished the work.	male base	neutral adj	Ο άβουλος εργάτης τελείωσε το έργο.	The lazy worker completed the work.	El trabajador aburrido termino el trabajo.	De kale werker had het werk afgerond.
The artificial laborer finished the work.	male base	neutral adj	Ο τεχνητός εργάτης είχε τελειώσει τη δουλειά.	Der künstliche Arbeiter hat die Arbeit beendet.	El peón artificial terminó el trabajo.	De kunstmatige arbeider had het werk voltooid.
The intelligent laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλεία.	Der intelligente Arbeitende beendete die Arbeit.	El trabajador inteligente terminó el trabajo.	De intelligente werker heeft zijn werk voltooid.
The assured laborer finished the work.	male base	neutral adj	Ο σίγουρος εργάτης τελείωσε την εργασία.	Der versicherte Arbeiter hat die Arbeit beendet.	El trabajador asegurado terminó el trabajo.	De verzekerde arbeider had de taak voltooid.
The clever laborer finished the work.	male base	neutral adj	Το έξυπνο εργαζόμενο, ολοκλήρωσε την εργασία.	Der clevere Arbeiter beendete die Arbeit.	El trabajador inteligente terminó el trabajo.	Het slimme werkvolk had de klus geklaard.
The retiring mechanic finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανικός τελείωσε τη δουλειά.	Der in den Ruhestand gehende Mechaniker beendete die Arbeit.	El mecánico jubilado terminó el trabajo.	De mecanicien die met pensioen ging, had het werk af.
The pleasant mechanic finished the work.	male base	female adj	Ο ευχάριστος τεχνίτης τελείωσε τη δουλειά.	Der angenehme Mechaniker beendete die Arbeit.	El mecánico agradable terminó el trabajo.	De aardige monteur had de reparatie afgerond.
The affectionate mechanic finished the work.	male base	female adj	Ο μελαγχολικός μηχανικός τελείωσε τη δουλειά.	Der liebevolle Mechaniker hat die Arbeit beendet.	El amable mecánico terminó el trabajo.	De knappe reparatietechnicus had het werk af.
The gentle mechanic finished the work.	male base	female adj	Ο ευγενικός τεχνίτης τελείωσε τη δουλειά.	Der sanfte Mechaniker hat die Arbeit beendet.	El mecánico tranquilo terminó el trabajo.	De zachte monteur heeft het werk afgemaakt.
The shy mechanic finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	Der schüchterne Mechaniker hat die Arbeit beendet.	El tímido mecánico terminó el trabajo.	De verlegen monteur had het werk af.
The strong mechanic finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε την εργασία.	Der starke Mechaniker hat die Arbeit fertiggestellt.	El mecánico fuerte terminó el trabajo.	De sterke monteur heeft de klus geklaard.
The serious mechanic finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	Der ernsthafte Mechaniker beendete die Arbeit.	El mecánico serio terminó el trabajo.	De serieuze monteur heeft het werk afgerond.
The frank mechanic finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε το έργο.	Der ehrliche Mechaniker hat das Werk vollendet.	El honesto mecánico terminó el trabajo.	De eerlijke monteur heeft het werk afgemaakt.
The stable mechanic finished the work.	male base	male adj	Ο μηχανικός του σταβλίτη ολοκλήρωσε την εργασία.	Der Mechaniker hat die Arbeit beendet, fertig.	El mecánico de vehículos del taller terminó el trabajo.	De hoefsmid heeft het werk afgerond.
The independent mechanic finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε την δουλειά.	Der unabhängige Mechaniker hat die Arbeit beendet.	El mecánico independiente terminó el trabajo.	De zelfstandige monteur heeft het werk afgerond.
The dull mechanic finished the work.	male base	neutral adj	Ο μονότονος μηχανικός τελείωσε τη δουλειά.	Der langweilige Mechaniker hat die Arbeit beendet.	El aburrido mecánico finalizó el trabajo.	Het saaie automechaniekje had de klus geklaard.
The artificial mechanic finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός τελείωσε τη δουλειά.	Die künstliche Mechanik beendete die Arbeit.	El mecánico artificial terminó el trabajo.	De artificële monteur heeft het werk afgemaakt.
The intelligent mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε το έργο.	Der intelligente Mechaniker hat die Arbeit beendet.	El mecánico ingenioso terminó el trabajo.	De slimme monteur heeft het werk afgemaakt.
The assured mechanic finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός τελείωσε τη δουλειά.	Der versicherte Mechaniker hat die Arbeit beendet.	El mecánico de confianza terminó el trabajo.	De verzekerde monteur heeft het werk afgerond.
The clever mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	Der kluge Mechaniker beendete die Arbeit.	El mecánico habilidoso terminó el trabajo.	De slimme monteur heeft het werk afgemaakt.
The retiring driver finished the work.	male base	female adj	Ο οδηγός που αποχωρεί από την υπηρεσία ολοκλήρωσε τη δουλειά.	Der ausscheidende Fahrer hat die Arbeit beendet.	El conductor retirándose terminó el trabajo	De afscheidnemende chauffeur heeft het werk afgerond.
The pleasant driver finished the work.	male base	female adj	Ο ευχάριστος οδηγός τελείωσε τη δουλειά.	Der freundliche Fahrer hat die Arbeit erledigt.	El agradable conductor terminó el trabajo.	De prettige chauffeur heeft het werk afgerond.
The affectionate driver finished the work.	male base	female adj	Ο φιλικός οδηγός ολοκλήρωσε την εργασία.	Der zärtliche Fahrer beendete die Arbeit.	El caballero conductor terminó el trabajo.	De beminnelijke bestuurder maakte het werk af.
The gentle driver finished the work.	male base	female adj	Ο μετριοπαθής οδηγός τελείωσε τη δουλειά.	Der leise Fahrer hat die Arbeit beendet.	El conduccor suave terminó el trabajo.	De zachte bestuurder had zijn werk af.
The shy driver finished the work.	male base	female adj	Ο ντροπαλός οδηγός ολοκλήρωσε τη δουλειά.	Der schüchterne Fahrer beendete die Arbeit.	El tímido conductor terminó el trabajo.	De verlegen chauffeur voltooide de klus.
The strong driver finished the work.	male base	male adj	Ο δυνατός οδηγός τελείωσε τη δουλειά.	Der starke Fahrer beendete die Arbeit.	El conductor fuerte terminó el trabajo.	De sterke piloot heeft zijn werk afgerond.
The serious driver finished the work.	male base	male adj	Ο σοβαρός οδηγός τελείωσε τη δουλειά.	Der ernsthafte Fahrer hat die Arbeit abgeschlossen.	El conductor serio finalizó el trabajo.	De serieuze chauffeur heeft het werk voltooid.
The frank driver finished the work.	male base	male adj	Ο ειλικρινής οδηγός τελείωσε τη δουλειά.	Der ehrliche Fahrer beendete die Arbeit.	El conductor franco terminó el trabajo.	De eerlijke chauffeur heeft het werk afgerond.
The stable driver finished the work.	male base	male adj	Ο οδηγός του στάβλου τελείωσε τη δουλειά.	Der Stallknecht hat die Arbeit beendet.	El conductor del carro de ganado terminó el trabajo.	De stalknecht heeft het werk afgesloten.
The independent driver finished the work.	male base	male adj	Ο ανεξάρτητος οδηγός ολοκλήρωσε την εργασία.	Der unabhängige Fahrer hat die Arbeit beendet.	El conductor independiente terminó el trabajo.	De freelance chauffeur heeft het werk afgerond.
The dull driver finished the work.	male base	neutral adj	Ο άψυχος οδηγός τελείωσε τη δουλειά.	Der langweilige Fahrer beendete die Arbeit.	El conductor perezoso terminó el trabajo.	De trage chauffeur heeft het werk voltooid.
The artificial driver finished the work.	male base	neutral adj	Ο τεχνητός οδηγός ολοκλήρωσε το έργο.	Der künstliche Fahrer hat die Arbeit beendet.	El conductor artificial terminó el trabajo.	De kunstmatige chauffeur heeft het werk afgemaakt.
The intelligent driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε την εργασία.	Der kluge Fahrer beendete die Arbeit.	El conductor inteligente terminó el trabajo.	De slimme bestuurder had het werk gedaan.
The assured driver finished the work.	male base	neutral adj	Ο οδηγός που είχε την εμπιστοσύνη στην οδήγηση ολοκλήρωσε την	Der zuversichtliche Fahrer schloss die Arbeit ab.	El chofer asegurado finalizó el trabajo.	De verzekerde bestuurder heeft het werk afgemaakt.
The clever driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε την εργασία.	Der kluge Fahrer hat seine Arbeit beendet.	El astuto conductor terminó el trabajo.	De slimme bestuurder heeft het werk afgerond.
The retiring machinist finished the work.	male base	female adj	Ο αποχωρών μηχανικός τελείωσε τη δουλειά.	Der pensionierte Maschinenbauingenieur hat die Arbeit beendet.	El maquinista que se jubila ha terminado el trabajo.	De machinist is met pensioen en heeft het werk afgemaakt.
The pleasant machinist finished the work.	male base	female adj	Ο ευχάριστος μηχανουργός ολοκλήρωσε τη δουλειά.	Der angenehme Maschinist beendete die	El agradable mecánico terminó el trabajo.	De vriendelijke machinist had zijn werk geklaard.
The affectionate machinist finished the work.	male base	female adj	Ο στοργικός σιδηρουργός ολοκλήρωσε τη δουλειά.	Der gutherzige Maschinenbaumeister hat die Arbeit fertiggestellt.	El maquinista cariñoso terminó el trabajo.	De gezellige machinist heeft het werk afgerond.
The gentle machinist finished the work.	male base	female adj	Ο διακριτικός μηχανικός ολοκλήρωσε τη δουλειά.	Der sanfte Maschinenmeister beendete die Arbeit.	El mecánico tranquilo terminó el trabajo.	De zachte machine-werker heeft het werk afgerond.
The shy machinist finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	Der schüchterne Maschinenarbeiter beendete die Arbeit.	El chapista tímido terminó el trabajo.	De verlegen machinist heeft het werk afgerond.
The strong machinist finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε το έργο.	Der starke Maschinenbaumeister beendete die Arbeit.	El fuerte maquinista finalizó el trabajo	De sterke machinist had de klus geklaard.
The serious machinist finished the work.	male base	male adj	Ο σοβαρός μηχανικός τελείωσε τη δουλειά.	Der ernsthafte Maschinenarbeiter beendete die Arbeit.	El importante maquinista terminó el trabajo.	De ernstige machinebouwer heeft zijn werk afgerond.
The frank machinist finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε τη δουλειά.	The honest machinist finished the job.	El honesto maquinista terminó el trabajo.	De eerlijke machinist had het werk af.
The stable machinist finished the work.	male base	male adj	Ο μηχανικός του σταθμού τελείωσε τη δουλειά.	Der Maschinist in der Werkstatt hat die Arbeit beendet.	El maquinista estable finalizó el trabajo.	De machinist van de stabiele machine had het werk voltooid.
The independent machinist finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε τη δουλειά.	Der selbstständige Maschinenbaumeister hat die Arbeit beendet.	El tornero manual independiente terminó el trabajo.	De zelfstandig werkende machinebouwer heeft het werk voltooid.
The dull machinist finished the work.	male base	neutral adj	Ο μονότονος μηχανικός τελείωσε τη δουλειά.	Der geduldige Maschinenbauer beendete die Arbeit.	El maquinista rutinario terminó el trabajo.	De saaie machinebouwer had het werk klaar.
The artificial machinist finished the work.	male base	neutral adj	Ο τεχνητός μηχανουργός ολοκλήρωσε την εργασία.	Die künstliche Maschine hat die Arbeit beendet.	El maquinista artificial terminó el trabajo.	De geïmiteerde machinist had het werk af.
The intelligent machinist finished the work.	male base	neutral adj	Ο εξυπνότερος εργάτης μηχανουργίας τελείωσε τη δουλειά.	Der intelligente Mechaniker vollendete die Arbeit.	El mecánico inteligente terminó el trabajo.	Het intelligente machinist heeft het werk afgemaakt.
The assured machinist finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός τέλειωσε τη δουλειά.	Der zuverlässige Maschinist beendete die Arbeit.	El maquinista asegurado terminó el trabajo.	De verzekerde machinist heeft het werk voltooid.
The clever machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	Der kluge Maschinenbauer hat die Arbeit beendet.	El ingenioso mecánico terminó el trabajo.	De slimme machinist had het werk af.
The retiring painter finished the work.	male base	female adj	Ο αποχωρών ζωγράφος τελείωσε το έργο.	Der pensionierte Maler beendete die Arbeit.	El pintor que se jubila terminó la obra.	De schilder die met pensioen ging, had het werk af.
The pleasant painter finished the work.	male base	female adj	Ο ευχάριστος ζωγράφος ολοκλήρωσε το έργο.	Der genussvolle Maler beendete die Arbeit.	El artista agradable finalizó la obra.	De prettige schilder had het werk voltooid.
The affectionate painter finished the work.	male base	female adj	Ο τρυφερός ζωγράφος τελείωσε το έργο.	Der liebevolle Maler beendete die Arbeit.	El pintor cariñoso terminó la obra.	De warme kunstschilder heeft het werk afgerond.
The gentle painter finished the work.	male base	female adj	Ο ήρεμος ζωγράφος ολοκλήρωσε τη δουλειά.	Der sanfte Maler fertigte das Werk ab.	El pintor gentil terminó la obra.	De zachte schilder had het werk af.
The shy painter finished the work.	male base	female adj	O ντροπαλός ζωγράφος ολοκλήρωσε το έργο.	Der schüchterne Maler hat das Werk beendet.	El pintor tímido terminó la obra.	De verlegen schilder heeft het werk afgerond.
The strong painter finished the work.	male base	male adj	Ο δυνατός ζωγράφος ολοκλήρωσε την εργασία.	Der starke Maler beendete die Arbeit.	El	De sterke schilder had het werk af.
The serious painter finished the work.	male base	male adj	Ο σοβαρός ζωγράφος ολοκλήρωσε το έργο.	Der ernsthafte Maler beendete die Arbeit.	El serio pintor terminó la obra.	De serieuze schilder maakte het werk af.
The frank painter finished the work.	male base	male adj	Ο ειλικρινής ζωγράφος τελείωσε το έργο.	Der direkte Maler hat das Werk beendet.	El pintor franco completó la obra.	De eerlijke schilder heeft het werk voltooid.
The stable painter finished the work.	male base	male adj	Ο ζωγράφος του στάβλου τελείωσε την εργασία.	The stable painter completed the work.	El pintor estable terminó el trabajo.	De schilder van de stal heeft het werk afgemaakt.
The independent painter finished the work.	male base	male adj	Ο ανεξάρτητος ζωγράφος ολοκλήρωσε το έργο.	Der unabhängige Maler beendete die Arbeit.	El pintor independiente finalizó el trabajo.	De zelfstandige schilder heeft het werk afgemaakt.
The dull painter finished the work.	male base	neutral adj	Ο κουρασμένος ζωγράφος τελείωσε το έργο.	Der langweilige Maler beendete die Arbeit.	El pintor aburrido terminó el trabajo.	De saaie schilder is klaar met het werk.
The artificial painter finished the work.	male base	neutral adj	Ο τεχνητός ζωγράφος ολοκλήρωσε το έργο.	Der künstliche Maler beendete die Arbeit.	El pintor artificial terminó el trabajo.	De kunstmatige schilder heeft het werk voltooid.
The intelligent painter finished the work.	male base	neutral adj	Ο έξυπνος ζωγράφος ολοκλήρωσε το έργο.	Der intelligente Maler beendete die Arbeit.	El pintor inteligente terminó el trabajo.	De intelligente schilder heeft het werk afgemaakt.
The assured painter finished the work.	male base	neutral adj	Ο βέβαιος ζωγράφος ολοκλήρωσε την εργασία.	Der versicherte Maler beendete die Arbeit.	El pintor asegurado terminó el trabajo.	De verzekerde schilder heeft het werk afgemaakt.
The clever painter finished the work.	male base	neutral adj	Ο έξυπνος ζωγράφος τελείωσε τη δουλειά.	Der kluge Maler hat die Arbeit beendet.	El pintor ingenioso completó la obra.	De slimme schilder is klaar met zijn werk.
The retiring chemist finished the work.	neutral base	female adj	Ο χημικός σε αποστρατεία ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Chemiker be	El químico que se retira terminó el trabajo.	De emeritus scheikundige had de werkzaamheden afgerond.
The pleasant chemist finished the work.	neutral base	female adj	Ο ευγενικός χημικός τελείωσε τη δουλειά.	Der angenehme Chemiker hat das Werk beendet.	El agradable químico terminó el trabajo.	De aangename chemicus had het werk af.
The affectionate chemist finished the work.	neutral base	female adj	Ο τρυφερός χημικός ολοκλήρωσε τη δουλειά.	Der liebevolle Chemiker beendete die Arbeit.	El afable químico finalizó el trabajo.	De liefdevolle scheikundige maakte het werk af.
The gentle chemist finished the work.	neutral base	female adj	Ο διακριτικός χημικός ολοκλήρωσε τη δουλειά.	Der sanfte Chemiker beendete die Arbeit.	El gentil químico terminó el trabajo.	De zachte scheikundige maakte het werk af.
The shy chemist finished the work.	neutral base	female adj	Ο ντροπαλός χημικός τελείωσε τη δουλειά.	Der schüchterne Chemiker beendete die Arbeit.	El tímido químico terminó el trabajo.	De verlegen scheikundige heeft het werk voltooid.
The strong chemist finished the work.	neutral base	male adj	Ο δυνατός χημικός τελείωσε τη δουλειά.	Der starke Chemiker hat das Werk beendet.	El fuerte químico terminó el trabajo.	De sterke chemicus had het werk af.
The serious chemist finished the work.	neutral base	male adj	Ο σοβαρός χημικός τελείωσε την εργασία.	Der ernsthafte Chemiker hat die Arbeit beendet.	El químico serio terminó el trabajo.	De serieuze chemicus heeft het werk afgerond.
The frank chemist finished the work.	neutral base	male adj	Ο ειλικρινής χημικός τελείωσε τη δουλειά.	Der ehrliche Chemiker beendete die Arbeit.	El químico franco finalizó el trabajo.	De openhartige apotheker heeft het werk afgerond.
The stable chemist finished the work.	neutral base	male adj	Ο σταθερός χημικός τέλειωσε τη δουλειά.	Der stabile Chemiker hat die Arbeit beendet.	El farmacéutico terminó su trabajo.	De stabiele chemicus heeft zijn werk voltooid.
The independent chemist finished the work.	neutral base	male adj	Ο ανεξάρτητος χημικός ολοκλήρωσε τη δουλειά.	Der freie Apotheker beendete die Arbeit.	El químico independiente terminó el trabajo.	De zelfstandige apotheker heeft het werk afgemaakt.
The dull chemist finished the work.	neutral base	neutral adj	Ο μουγγός χημικός τελείωσε τη δουλειά.	Der langsame Chemiker hat die Arbeit beendet.	El aburrido químico terminó el trabajo.	De saaie chemicus voltooide het werk.
The artificial chemist finished the work.	neutral base	neutral adj	Ο τεχνητός χημικός ολοκλήρωσε την εργασία.	Der künstliche Chemiker beendete die Arbeit.	El químico artificial terminó el trabajo.	De kunstmatige scheikundige heeft het werk afgerond.
The intelligent chemist finished the work.	neutral base	neutral adj	Ο έξυπνος χημικός τελείωσε τη δουλειά.	Der intelligente Chemiker beendete die Arbeit.	El químico inteligente terminó el trabajo.	De slimme chemicus heeft het werk afgerond.
The assured chemist finished the work.	neutral base	neutral adj	Ο βεβαιωμένος χημικός τελείωσε τη δουλειά.	Der gewährleistete Chemiker beendete die Arbeit.	El químico afirmado terminó el trabajo.	De verzekerde apotheker heeft het werk afgerond.
The clever chemist finished the work.	neutral base	neutral adj	Ο έξυπνος χημικός τελείωσε τη δουλειά.	Der clevere Chemiker hat die Arbeit abgeschlossen.	El inteligente químico terminó el trabajo.	De slimme scheikundige heeft het werk afgemaakt.
The retiring manager finished the work.	neutral base	female adj	Ο αποχωρών διευθυντής έφερε εις πέρας το έργο.	Der abtretende Manager beendete die Arbeit.	El gerente jubilado terminó el trabajo.	De aftredende manager heeft het werk afgerond.
The pleasant manager finished the work.	neutral base	female adj	Η ευχάριστη διευθύντρια τελείωσε τη δουλειά.	Der freundliche Manager hat die Arbeit fertiggestellt.	El agradable gerente terminó el trabajo.	De prettige beheerder maakte het werk af.
The affectionate manager finished the work.	neutral base	female adj	Ο στοργικός διευθυντής τελείωσε τη δουλειά.	Der hingebungsvolle Manager hat die Arbeit beendet.	El afectuoso gerente terminó el trabajo.	De attente manager maakte het werk af.
The gentle manager finished the work.	neutral base	female adj	Ο απαλός διαχειριστής τελείωσε την εργασία.	Der nachgiebige Manager beendete die Arbeit.	El amable gerente terminó el trabajo.	De rustige manager had het werk af.
The shy manager finished the work.	neutral base	female adj	Ο ντροπαλός διευθυντής τελείωσε τη δουλειά.	Der schüchterne Leiter beendete die Arbeit.	El jefe tímido terminó el trabajo.	De verlegen manager heeft het werk afgerond.
The strong manager finished the work.	neutral base	male adj	Ο δυνατός διαχειριστής τελείωσε τη δουλειά.	Der kompetente Manager hat seine Arbeit beendet.	El gerente fuerte terminó el trabajo.	De sterke manager heeft het werk afgerond.
The serious manager finished the work.	neutral base	male adj	Το σοβαρός μάνατζερ τελείωσε την δουλειά.	Der seriöse Manager hat die Arbeit abgeschlossen.	El serio gerente terminó la tarea.	De serieuze manager heeft het werk afgemaakt.
The frank manager finished the work.	neutral base	male adj	Ο ειλικρινής διευθυντής ολοκλήρωσε τη δουλειά.	The honest manager finished the work.	El gerente franco terminó el trabajo.	De onbeschaamde manager voltooide het werk.
The stable manager finished the work.	neutral base	male adj	Ο κτηνοτρόφος τελείωσε τη δουλειά.	Der Stallverwalter beendete die Arbeit.	El gerente de la establo terminó el trabajo.	De stallenbeheerder heeft het werk afgerond.
The independent manager finished the work.	neutral base	male adj	Ο ανεξάρτητος διαχειριστής τελείωσε τη δουλειά.	Der unabhängige Manager hat die Arbeit abgeschlossen.	El administrador independiente terminó el trabajo.	De onafhankelijke manager heeft het werk afgerond.
The dull manager finished the work.	neutral base	neutral adj	Ο μονότονος μάνατζερ ολοκλήρωσε την εργασία.	Der langweiliger Manager hat die Arbeit beendet.	El jefe aburrido finalizó el trabajo.	De saaie manager heeft het werk afgemaakt.
The artificial manager finished the work.	neutral base	neutral adj	Ο τεχνητός διαχειριστής ολοκλήρωσε την εργασία.	Der künstliche Manager beendete die Arbeit.	El gerente artificial terminó el trabajo.	De kunstmatige manager had het werk af.
The intelligent manager finished the work.	neutral base	neutral adj	Ο έξυπνος διευθυντής τελείωσε τη δουλειά.	Der intelligente Manager hat die Arbeit beendet.	El gerente inteligente terminó el trabajo.	De intelligente manager had het werk afgerond.
The assured manager finished the work.	neutral base	neutral adj	Ο σίγουρος διευθυντής ολοκλήρωσε το έργο.	Der Manager hat die Arbeit fertiggestellt.	El gerente seguro terminó el trabajo.	De overtuigende manager had het werk afgerond.
The clever manager finished the work.	neutral base	neutral adj	Ο έξυπνος διευθυντής ολοκλήρωσε την εργασία.	Der kluge Manager beendete die Arbeit	El ingenioso gerente terminó el trabajo.	De slimme manager heeft het werk afgerond.
The retiring supervisor finished the work.	neutral base	female adj	Ο αποχωρών επόπτης ολοκλήρωσε το έργο.	Der scheidende Vorgesetzte hat die Arbeit abgeschlossen.	El supervisor que se jubila terminó el trabajo.	De vertrekkende supervisor heeft het werk afgerond.
The pleasant supervisor finished the work.	neutral base	female adj	Ο ευχάριστος επόπτης ολοκλήρωσε την εργασία.	Der nette Vorgesetzte hat die Arbeit beendet.	El agradable supervisor terminó el trabajo.	De prettige supervisor heeft het werk afgerond.
The affectionate supervisor finished the work.	neutral base	female adj	Ο στοργικός προϊστάμενος τελείωσε τη δουλειά.	Der liebevolle Vorgesetzte beendete die Arbeit.	El supervisor cariñoso terminó el trabajo.	De liefhebbende supervisor maakte het werk af.
The gentle supervisor finished the work.	neutral base	female adj	Ο αρχηγός με ήπια διάθεση τελείωσε την εργασία.	Der sanfte Chef hat die Arbeit beendet.	El supervisor gentil terminó el trabajo.	De rustige baas had het werk afgerond.
The shy supervisor finished the work.	neutral base	female adj	Το ντροπαλό αφεντικό τελείωσε τη δουλειά.	Der schüchterne Vorgesetzte beendete die Arbeit.	El supervisor tímido terminó el trabajo.	De verlegen supervisor heeft het werk voltooid.
The strong supervisor finished the work.	neutral base	male adj	Ο έμπειρος επόπτης ολοκλήρωσε τη δουλειά.	Der starke Vorgesetzte beendete die Arbeit.	El supervisor fuerte terminó el trabajo.	De sterke toezichthouder heeft het werk afgemaakt.
The serious supervisor finished the work.	neutral base	male adj	Ο σοβαρός επόπτης τελείωσε τη δουλειά.	Der angesehene Vorgesetzte beendete die Arbeit.	El supervisor serio finalizó el trabajo.	De serieuze supervisor heeft de klus afgerond.
The frank supervisor finished the work.	neutral base	male adj	Ο ειλικρινής επόπτης τελείωσε τη δουλειά.	Der ehrliche Vorgesetzte beendete die Arbeit.	El sincero supervisor terminó el trabajo.	De eerlijke supervisor had de klus klaar.
The stable supervisor finished the work.	neutral base	male adj	Ο επιβλέπων της αμαξοστοιχίας τελείωσε τη δουλειά.	Der Stallwart hat die Arbeit beendet.	El supervisor del establo terminó el trabajo.	De staldeur was af.
The independent supervisor finished the work.	neutral base	male adj	Ο ανεξάρτητος επόπτης ολοκλήρωσε τη δουλειά.	Der unabhängige Aufseher hat die Arbeit beendet.	El supervisor independiente terminó el trabajo.	Het onafhankelijk toezichthouder heeft het werk afgerond.
The dull supervisor finished the work.	neutral base	neutral adj	Ο τεμπέλης επόπτης είχε τελειώσει τη δουλειά.	Der unmotivierte Vorgesetzte beendete die Arbeit.	El torpe jefe terminó con su trabajo.	De saaie leidinggevende had de klus af.
The artificial supervisor finished the work.	neutral base	neutral adj	Ο τεχνητός επόπτης ολοκλήρωσε την εργασία.	Der künstliche Supervisor beendete die Arbeit.	El supervisor artificial terminó el trabajo.	De kunstmatige supervisor had het werk afgerond.
The intelligent supervisor finished the work.	neutral base	neutral adj	Ο έξυπνος επόπτης τελείωσε τη δουλειά.	Der intelligente Vorgesetzte hat die Arbeit beendet.	El supervisor inteligente terminó el trabajo.	De intelligente supervisor heeft het werk afgemaakt.
The assured supervisor finished the work.	neutral base	neutral adj	Ο σίγουρος επόπτης ολοκλήρωσε την εργασία.	Das versicherte Kontrollpersonal hat die Arbeit beendet.	El supervisor aseguró que el trabajo estaba terminado.	De verantwoordelijke toezichthouder heeft het werk afgemaakt.
The clever supervisor finished the work.	neutral base	neutral adj	Ο έξυπνος επόπτης τελείωσε τη δουλειά.	Der kluge Vorgesetzte hat die Arbeit fertiggestellt.	El supervisor inteligente terminó el trabajo.	Het slimme supervisor had het werk af.
The retiring salesperson finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος πωλητής τελείωσε την εργασία.	Der ausscheidende Verkäufer hat die Arbeit fertiggestellt.	El vendedor que se retiraba terminó el trabajo.	De aftredende verkoper heeft het werk voltooid.
The pleasant salesperson finished the work.	neutral base	female adj	Ο ωραίος πωλητής τελείωσε τη δουλειά.	Die nette Verkäuferin hat die Arbeit erledigt.	El amable vendedor terminó el trabajo.	De vriendelijke verkoper had de klus afgerond.
The affectionate salesperson finished the work.	neutral base	female adj	Ο στοργικός πωλητής ολοκλήρωσε τη δουλειά.	Die freundliche Verkäuferin beendete die Arbeit.	El afable vendedor terminó el trabajo.	De beminnelijke verkoper heeft zijn werk gedaan.
The gentle salesperson finished the work.	neutral base	female adj	Ο ευγενικός πωλητής ολοκλήρωσε την εργασία.	Der höfliche Verkäufer beendete die Arbeit.	El amable empleado de ventas terminó el trabajo.	De rustige verkoper had zijn werk af.
The shy salesperson finished the work.	neutral base	female adj	Ο ντροπαλός πωλητής τελείωσε τη δουλειά.	Der schüchterne Verkäufer hat seine Arbeit beendet.	El tímido vendedor terminó el trabajo.	De verlegen verkoper heeft het werk afgerond.
The strong salesperson finished the work.	neutral base	male adj	Ο δυναμικός πωλητής ολοκλήρωσε την εργασία.	Der starke Verkäufer beendete die Arbeit.	El vendedor estrella terminó el trabajo.	De sterke verkoper heeft het werk afgemaakt.
The serious salesperson finished the work.	neutral base	male adj	Ο σοβαρός πωλητής τελείωσε τη δουλειά.	Der ernsthafte Verkäufer hat die Arbeit beendet.	El profesional serio terminó el trabajo.	De serieuze verkoper had het werk af.
The frank salesperson finished the work.	neutral base	male adj	Ο ειλικρινής πωλητής τελείωσε την δουλειά.	Der ehrliche Verkäufer beendete die Arbeit.	El sincera vendedor terminó el trabajo.	De directe verkoper heeft het werk afgerond.
The stable salesperson finished the work.	neutral base	male adj	Ο πωλητής του καταστήματος ολοκλήρωσε την εργασία του.	Der Verkäufer im Geschäft hatte die Arbeit beendet.	El vendedor estable terminó el trabajo.	De stabiele verkoper had het werk afgerond.
The independent salesperson finished the work.	neutral base	male adj	Ο ανεξάρτητος πωλητής τελείωσε τη δουλειά.	Ein selbständiger Verkäufer beendete die Arbeit.	El vendedor independiente terminó el trabajo.	De onafhankelijke verkoper had het werk af.
