adj5_sentences	type_base	type_adj	EL_GPT-4o	DE_GPT-4o	ES_GPT-4o	NL_GPT-4o
The frank laborer finished the work.	male base	male adj	Ο ειλικρινής εργάτης ολοκλήρωσε τη δουλειά.	Der ehrliche Arbeiter beendete die Arbeit.	El obrero franco terminó el trabajo.	De eerlijke arbeider voltooide het werk.
The stable laborer finished the work.	male base	male adj	O εργάτης του στάβλου τελείωσε τη δουλειά.	Der Stallarbeiter beendete die Arbeit.	El trabajador de establo terminó el trabajo.	De stalwerker heeft het werk afgemaakt.
The independent laborer finished the work.	male base	male adj	Ο ανεξάρτητος εργάτης ολοκλήρωσε τη δουλειά.	Der unabhängige Arbeiter hat die Arbeit beendet.	El trabajador independiente terminó el trabajo.	De onafhankelijke arbeider voltooide het werk.
The dull laborer finished the work.	male base	neutral adj	Ο ανιαρός εργάτης τελείωσε τη δουλειά.	Der langweilige Arbeiter beendete die Arbeit.	El obrero aburrido terminó el trabajo.	De saaie arbeider voltooide het werk.
The artificial laborer finished the work.	male base	neutral adj	Ο τεχνητός εργάτης τελείωσε τη δουλειά.	Der künstliche Arbeiter hat die Arbeit beendet.	El trabajador artificial terminó el trabajo.	De kunstmatige arbeider voltooide het werk.
The intelligent laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε τη δουλειά.	Der intelligente Arbeiter hat die Arbeit beendet.	El obrero inteligente terminó el trabajo.	De intelligente arbeider voltooide het werk.
The assured laborer finished the work.	male base	neutral adj	Ο ασφαλής εργάτης ολοκλήρωσε το έργο.	Der zuversichtliche Arbeiter beendete die Arbeit.	El obrero seguro terminó el trabajo.	De zekere arbeider voltooide het werk.
The clever laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης ολοκλήρωσε τη δουλειά.	Der clevere Arbeiter beendete die Arbeit.	El obrero astuto terminó el trabajo.	De slimme arbeider voltooide het werk.
The retiring mechanic finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανικός ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Mechaniker hat die Arbeit beendet.	El mecánico que se retira terminó el trabajo.	De gepensioneerde monteur voltooide het werk.
The pleasant mechanic finished the work.	male base	female adj	Ο ευχάριστος μηχανικός ολοκλήρωσε τη δουλειά.	Der freundliche Mechaniker hat die Arbeit beendet.	El amable mecánico terminó el trabajo.	De vriendelijke monteur heeft het werk afgemaakt.
The affectionate mechanic finished the work.	male base	female adj	Ο στοργικός μηχανικός ολοκλήρωσε τη δουλειά.	Der liebevolle Mechaniker beendete die Arbeit.	El mecánico afectuoso terminó el trabajo.	De zorgzame monteur maakte het werk af.
The gentle mechanic finished the work.	male base	female adj	Ο ευγενικός μηχανικός ολοκλήρωσε τη δουλειά.	Der sanfte Mechaniker beendete die Arbeit.	El amable mecánico terminó el trabajo.	De vriendelijke monteur heeft het werk afgemaakt.
The shy mechanic finished the work.	male base	female adj	Ο ντροπαλός μηχανικός ολοκλήρωσε τη δουλειά.	Der schüchterne Mechaniker beendete die Arbeit.	El mecánico tímido terminó el trabajo.	De verlegen monteur maakte het werk af.
The strong mechanic finished the work.	male base	male adj	Ο δυνατός μηχανικός ολοκλήρωσε τη δουλειά.	Der starke Mechaniker beendete die Arbeit.	El fuerte mecánico terminó el trabajo.	De sterke monteur heeft het werk afgemaakt.
The serious mechanic finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	Der ernsthafte Mechaniker beendete die Arbeit.	El mecánico serio terminó el trabajo.	De serieuze monteur maakte het werk af.
The frank mechanic finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε τη δουλειά.	Der aufrichtige Mechaniker hat die Arbeit beendet.	El mecánico franco terminó el trabajo.	De eerlijke monteur heeft het werk afgemaakt.
The stable mechanic finished the work.	male base	male adj	Ο μηχανικός του στάβλου τελείωσε τη δουλειά.	Der Mechaniker im Stall hat die Arbeit beendet.	El mecánico de establos terminó el trabajo.	De monteur van de stal voltooide het werk.
The independent mechanic finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός ολοκλήρωσε τη δουλειά.	Der unabhängige Mechaniker hat die Arbeit beendet.	El mecánico independiente terminó el trabajo.	De onafhankelijke monteur heeft het werk afgerond.
The dull mechanic finished the work.	male base	neutral adj	Ο ανιαρός μηχανικός τελείωσε τη δουλειά.	Der langweilige Mechaniker beendete die Arbeit.	El mecánico aburrido terminó el trabajo.	De saaie monteur maakte het werk af.
The artificial mechanic finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός ολοκλήρωσε τη δουλειά.	Der künstliche Mechaniker hat die Arbeit beendet.	El mecánico artificial terminó el trabajo.	De kunstmatige monteur maakte het werk af.
The intelligent mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	Der intelligente Mechaniker beendete die Arbeit.	El mecánico inteligente terminó el trabajo.	De intelligente monteur heeft het werk voltooid.
The assured mechanic finished the work.	male base	neutral adj	Ο βέβαιος μηχανικός ολοκλήρωσε τη δουλειά.	Der selbstsichere Mechaniker beendete die Arbeit.	El mecánico seguro terminó el trabajo.	De zelfverzekerde monteur voltooide het werk.
The clever mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	Der schlaue Mechaniker hat die Arbeit beendet.	El ingenioso mecánico terminó el trabajo.	De slimme monteur heeft het werk afgemaakt.
The retiring driver finished the work.	male base	female adj	Ο συνταξιοδοτούμενος οδηγός ολοκλήρωσε την εργασία.	Der ausscheidende Fahrer beendete die Arbeit.	El conductor que se jubila terminó el trabajo.	De met pensioen gaande chauffeur voltooide het werk.
The pleasant driver finished the work.	male base	female adj	Ο ευχάριστος οδηγός ολοκλήρωσε τη δουλειά.	Der freundliche Fahrer beendete die Arbeit.	El amable conductor terminó el trabajo.	De vriendelijke chauffeur maakte het werk af.
The affectionate driver finished the work.	male base	female adj	Ο στοργικός οδηγός ολοκλήρωσε τη δουλειά.	Der liebevolle Fahrer beendete die Arbeit.	El conductor cariñoso terminó el trabajo.	De zorgzame chauffeur maakte het werk af.
The gentle driver finished the work.	male base	female adj	Ο ευγενικός οδηγός ολοκλήρωσε τη δουλειά.	Der sanfte Fahrer beendete die Arbeit.	El conductor amable terminó el trabajo.	De vriendelijke chauffeur maakte het werk af.
The shy driver finished the work.	male base	female adj	Ο ντροπαλός οδηγός ολοκλήρωσε τη δουλειά.	Der schüchterne Fahrer beendete die Arbeit.	El conductor tímido terminó el trabajo.	De verlegen chauffeur maakte het werk af.
The strong driver finished the work.	male base	male adj	Ο δυνατός οδηγός τελείωσε τη δουλειά.	Der starke Fahrer beendete die Arbeit.	El conductor fuerte terminó el trabajo.	De sterke chauffeur maakte het werk af.
The serious driver finished the work.	male base	male adj	Ο σοβαρός οδηγός ολοκλήρωσε τη δουλειά.	Der ernsthafte Fahrer beendete die Arbeit.	El conductor serio terminó el trabajo.	De serieuze bestuurder maakte het werk af.
The frank driver finished the work.	male base	male adj	Ο ειλικρινής οδηγός ολοκλήρωσε τη δουλειά.	Der freimütige Fahrer beendete die Arbeit.	El conductor franco terminó el trabajo.	De eerlijke chauffeur heeft het werk afgemaakt.
The stable driver finished the work.	male base	male adj	Ο σταθερός οδηγός ολοκλήρωσε τη δουλειά.	Der Stallarbeiter beendete die Arbeit.	El conductor estable terminó el trabajo.	De stalhouder heeft het werk afgemaakt.
The independent driver finished the work.	male base	male adj	Ο ανεξάρτητος οδηγός ολοκλήρωσε τη δουλειά.	Der unabhängige Fahrer beendete die Arbeit.	El conductor independiente terminó el trabajo.	De onafhankelijke chauffeur heeft het werk voltooid.
The dull driver finished the work.	male base	neutral adj	Ο βαρετός οδηγός ολοκλήρωσε τη δουλειά.	Der langweilige Fahrer beendete die Arbeit.	El conductor aburrido terminó el trabajo.	De saaie chauffeur maakte het werk af.
The artificial driver finished the work.	male base	neutral adj	Ο τεχνητός οδηγός ολοκλήρωσε τη δουλειά.	Der künstliche Fahrer beendete die Arbeit.	El conductor artificial terminó el trabajo.	De kunstmatige bestuurder heeft het werk voltooid.
The intelligent driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε τη δουλειά.	Der intelligente Fahrer beendete die Arbeit.	El conductor inteligente terminó el trabajo.	De intelligente chauffeur maakte het werk af.
The assured driver finished the work.	male base	neutral adj	Ο σίγουρος οδηγός ολοκλήρωσε τη δουλειά.	Der selbstsichere Fahrer beendete die Arbeit.	El conductor seguro terminó el trabajo.	De zelfverzekerde bestuurder maakte het werk af.
The clever driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε τη δουλειά.	Der schlaue Fahrer beendete die Arbeit.	El conductor inteligente terminó el trabajo.	De slimme chauffeur maakte het werk af.
The retiring machinist finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανουργός ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Maschinist hat die Arbeit beendet.	El maquinista jubilado terminó el trabajo.	De gepensioneerde machinist heeft het werk afgerond.
The pleasant machinist finished the work.	male base	female adj	Ο ευχάριστος μηχανικός ολοκλήρωσε τη δουλειά.	Der freundliche Maschinist beendete die Arbeit.	El maquinista agradable terminó el trabajo.	De vriendelijke machinist voltooide het werk.
The affectionate machinist finished the work.	male base	female adj	Ο στοργικός μηχανικός ολοκλήρωσε τη δουλειά.	Der liebevolle Maschinist beendete die Arbeit.	El cariñoso maquinista terminó el trabajo.	De zorgzame machinist voltooide het werk.
The gentle machinist finished the work.	male base	female adj	Ο ευγενικός μηχανουργός ολοκλήρωσε τη δουλειά.	Der sanfte Maschinist beendete die Arbeit.	El amable maquinista terminó el trabajo.	De vriendelijke machinist maakte het werk af.
The shy machinist finished the work.	male base	female adj	Ο ντροπαλός μηχανικός ολοκλήρωσε τη δουλειά.	Der schüchterne Maschinist beendete die Arbeit.	El maquinista tímido terminó el trabajo.	De verlegen machinist voltooide het werk.
The strong machinist finished the work.	male base	male adj	Ο δυνατός μηχανικός ολοκλήρωσε τη δουλειά.	Der starke Maschinist beendete die Arbeit.	El fuerte maquinista terminó el trabajo.	De sterke machinist maakte het werk af.
The serious machinist finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	Der ernste Maschinist beendete die Arbeit.	El maquinista serio terminó el trabajo.	De serieuze machinist voltooide het werk.
The frank machinist finished the work.	male base	male adj	Ο ειλικρινής μηχανικός ολοκλήρωσε τη δουλειά.	Der ehrliche Maschinist beendete die Arbeit.	El sincero maquinista terminó el trabajo.	De eerlijke machinist voltooide het werk.
The stable machinist finished the work.	male base	male adj	Ο σταθερός μηχανοτεχνίτης ολοκλήρωσε τη δουλειά.	Der stabile Maschinist beendete die Arbeit.	El maquinista estable terminó el trabajo.	De stabiele machinist voltooide het werk.
The independent machinist finished the work.	male base	male adj	Ο ανεξάρτητος μηχανουργός ολοκλήρωσε τη δουλειά.	Der unabhängige Maschinist hat die Arbeit beendet.	El maquinista independiente terminó el trabajo.	De onafhankelijke machinist voltooide het werk.
The dull machinist finished the work.	male base	neutral adj	Ο άτονος μηχανουργός ολοκλήρωσε τη δουλειά.	Der langweilige Maschinist beendete die Arbeit.	El aburrido maquinista terminó el trabajo.	De saaie machinist voltooide het werk.
The artificial machinist finished the work.	male base	neutral adj	Η τεχνητή μηχανικός ολοκλήρωσε τη δουλειά.	Der künstliche Maschinist beendete die Arbeit.	El maquinista artificial terminó el trabajo.	De kunstmatige machinist voltooide het werk.
The intelligent machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	Der intelligente Maschinist beendete die Arbeit.	El maquinista inteligente terminó el trabajo.	De intelligente machinist maakte het werk af.
The assured machinist finished the work.	male base	neutral adj	Ο βέβαιος μηχανικός ολοκλήρωσε τη δουλειά.	Der zuversichtliche Maschinist beendete die Arbeit.	El maquinista seguro terminó el trabajo.	De zelfverzekerde machinist maakte het werk af.
The clever machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	Der clevere Maschinist beendete die Arbeit.	El hábil maquinista terminó el trabajo.	De slimme machinist maakte het werk af.
The retiring painter finished the work.	male base	female adj	Ο συνταξιοδοτούμενος ζωγράφος ολοκλήρωσε το έργο.	Der sich zurückziehende Maler beendete das Werk.	El pintor que se retira terminó la obra.	De gepensioneerde schilder maakte het werk af.
The pleasant painter finished the work.	male base	female adj	Ο ευχάριστος ζωγράφος ολοκλήρωσε το έργο.	Der angenehme Maler hat die Arbeit beendet.	El pintor agradable terminó el trabajo.	De vriendelijke schilder voltooide het werk.
The affectionate painter finished the work.	male base	female adj	Ο στοργικός ζωγράφος ολοκλήρωσε το έργο.	Der liebevolle Maler beendete das Werk.	El pintor afectuoso terminó la obra.	De liefdevolle schilder voltooide het werk.
The gentle painter finished the work.	male base	female adj	Ο ευγενικός ζωγράφος ολοκλήρωσε το έργο.	Der sanfte Maler beendete das Werk.	El pintor amable terminó el trabajo.	De zachtaardige schilder maakte het werk af.
The shy painter finished the work.	male base	female adj	Ο ντροπαλός ζωγράφος ολοκλήρωσε το έργο.	Der schüchterne Maler beendete das Werk.	El pintor tímido terminó la obra.	De verlegen schilder maakte het werk af.
The strong painter finished the work.	male base	male adj	Ο δυνατός ζωγράφος ολοκλήρωσε το έργο.	Der starke Maler beendete die Arbeit.	El pintor fuerte terminó el trabajo.	De sterke schilder voltooide het werk.
The serious painter finished the work.	male base	male adj	Ο σοβαρός ζωγράφος ολοκλήρωσε το έργο.	Der ernsthafte Maler beendete das Werk.	El pintor serio terminó la obra.	De serieuze schilder voltooide het werk.
The frank painter finished the work.	male base	male adj	Ο ειλικρινής ζωγράφος ολοκλήρωσε το έργο.	Der freimütige Maler hat die Arbeit beendet.	El pintor franco terminó el trabajo.	De eerlijke schilder heeft het werk voltooid.
The stable painter finished the work.	male base	male adj	Ο μόνιμος ζωγράφος τελείωσε τη δουλειά.	Der Stallmaler beendete die Arbeit.	El pintor de establos terminó el trabajo.	De stal schilder heeft het werk voltooid.
The independent painter finished the work.	male base	male adj	Ο ανεξάρτητος ζωγράφος ολοκλήρωσε το έργο.	Der unabhängige Maler hat die Arbeit beendet.	El pintor independiente terminó el trabajo.	De onafhankelijke schilder heeft het werk voltooid.
The dull painter finished the work.	male base	neutral adj	Ο βαρετός ζωγράφος τελείωσε το έργο.	Der uninspirierte Maler beendete die Arbeit.	El pintor aburrido terminó el trabajo.	De saaie schilder maakte het werk af.
The artificial painter finished the work.	male base	neutral adj	Ο τεχνητός ζωγράφος ολοκλήρωσε το έργο.	Der künstliche Maler hat die Arbeit beendet.	El pintor artificial terminó la obra.	De kunstmatige schilder heeft het werk voltooid.
The intelligent painter finished the work.	male base	neutral adj	Ο ευφυής ζωγράφος ολοκλήρωσε το έργο.	Der intelligente Maler beendete die Arbeit.	El pintor inteligente terminó el trabajo.	De intelligente schilder voltooide het werk.
The assured painter finished the work.	male base	neutral adj	Ο βέβαιος ζωγράφος ολοκλήρωσε το έργο.	Der selbstbewusste Maler beendete die Arbeit.	El pintor seguro terminó el trabajo.	De zelfverzekerde schilder maakte het werk af.
The clever painter finished the work.	male base	neutral adj	Ο έξυπνος ζωγράφος ολοκλήρωσε το έργο.	Der schlaue Maler beendete die Arbeit.	El pintor inteligente terminó el trabajo.	De slimme schilder maakte het werk af.
The retiring chemist finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος χημικός ολοκλήρωσε τη δουλειά.	Der scheidende Chemiker beendete die Arbeit.	El químico jubilado terminó el trabajo.	De gepensioneerde chemicus heeft het werk afgerond.
The pleasant chemist finished the work.	neutral base	female adj	Ο ευχάριστος χημικός τελείωσε τη δουλειά.	Der freundliche Chemiker beendete die Arbeit.	El agradable químico terminó el trabajo.	De vriendelijke chemicus maakte het werk af.
The affectionate chemist finished the work.	neutral base	female adj	Ο στοργικός χημικός ολοκλήρωσε τη δουλειά.	Der liebevolle Chemiker beendete die Arbeit.	El cariñoso químico terminó el trabajo.	De zorgzame chemicus voltooide het werk.
The gentle chemist finished the work.	neutral base	female adj	Ο ευγενικός χημικός ολοκλήρωσε τη δουλειά.	Der sanfte Chemiker beendete die Arbeit.	El químico amable terminó el trabajo.	De zachtaardige chemicus maakte het werk af.
The shy chemist finished the work.	neutral base	female adj	Ο ντροπαλός χημικός ολοκλήρωσε τη δουλειά.	Der schüchterne Chemiker beendete die Arbeit.	El químico tímido terminó el trabajo.	De verlegen chemicus voltooide het werk.
The strong chemist finished the work.	neutral base	male adj	Ο δυνατός χημικός ολοκλήρωσε τη δουλειά.	Der starke Chemiker beendete die Arbeit.	El químico fuerte terminó el trabajo.	De sterke chemicus maakte het werk af.
The serious chemist finished the work.	neutral base	male adj	Ο σοβαρός χημικός ολοκλήρωσε τη δουλειά.	Der ernste Chemiker beendete die Arbeit.	El químico serio terminó el trabajo.	De serieuze chemicus voltooide het werk.
The frank chemist finished the work.	neutral base	male adj	O ειλικρινής χημικός ολοκλήρωσε τη δουλειά.	Der ehrliche Chemiker beendete die Arbeit.	El sincero químico terminó el trabajo.	De eerlijke chemicus voltooide het werk.
The stable chemist finished the work.	neutral base	male adj	Ο σταθερός χημικός ολοκλήρωσε τη δουλειά.	Der stabile Chemiker beendete die Arbeit.	El químico estable terminó el trabajo.	De stabiele chemicus voltooide het werk.
The independent chemist finished the work.	neutral base	male adj	Ο ανεξάρτητος χημικός ολοκλήρωσε την εργασία.	Der unabhängige Chemiker beendete die Arbeit.	El químico independiente terminó el trabajo.	De onafhankelijke chemicus voltooide het werk.
The dull chemist finished the work.	neutral base	neutral adj	Ο άτονος χημικός ολοκλήρωσε τη δουλειά.	Der langweilige Chemiker beendete die Arbeit.	El químico aburrido terminó el trabajo.	De saaie chemicus voltooide het werk.
The artificial chemist finished the work.	neutral base	neutral adj	Η τεχνητή χημικός ολοκλήρωσε τη δουλειά.	Der künstliche Chemiker beendete die Arbeit.	El químico artificial terminó el trabajo.	De kunstmatige chemicus voltooide het werk.
The intelligent chemist finished the work.	neutral base	neutral adj	Ο έξυπνος χημικός ολοκλήρωσε τη δουλειά.	Der intelligente Chemiker beendete die Arbeit.	El químico inteligente terminó el trabajo.	De intelligente chemicus maakte het werk af.
The assured chemist finished the work.	neutral base	neutral adj	Ο βέβαιος χημικός ολοκλήρωσε τη δουλειά.	Der zuversichtliche Chemiker beendete die Arbeit.	El químico seguro terminó el trabajo.	De zelfverzekerde chemicus maakte het werk af.
The clever chemist finished the work.	neutral base	neutral adj	Ο έξυπνος χημικός ολοκλήρωσε τη δουλειά.	Der clevere Chemiker beendete die Arbeit.	El inteligente químico terminó el trabajo.	De slimme chemicus maakte het werk af.
The retiring manager finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος διευθυντής ολοκλήρωσε τη δουλειά.	Der scheidende Manager hat die Arbeit abgeschlossen.	El gerente que se jubila terminó el trabajo.	De gepensioneerde manager maakte het werk af.
The pleasant manager finished the work.	neutral base	female adj	Ο ευχάριστος διευθυντής ολοκλήρωσε τη δουλειά.	Der freundliche Manager beendete die Arbeit.	El amable gerente terminó el trabajo.	De vriendelijke manager maakte het werk af.
The affectionate manager finished the work.	neutral base	female adj	Ο στοργικός διευθυντής ολοκλήρωσε τη δουλειά.	Der liebevolle Manager beendete die Arbeit.	El gerente cariñoso terminó el trabajo.	De zorgzame manager maakte het werk af.
The gentle manager finished the work.	neutral base	female adj	Ο ευγενικός διευθυντής ολοκλήρωσε τη δουλειά.	Der sanfte Manager beendete die Arbeit.	El amable gerente terminó el trabajo.	De vriendelijke manager maakte het werk af.
The shy manager finished the work.	neutral base	female adj	Ο ντροπαλός διευθυντής ολοκλήρωσε τη δουλειά.	Der schüchterne Manager beendete die Arbeit.	El gerente tímido terminó el trabajo.	De verlegen manager maakte het werk af.
The strong manager finished the work.	neutral base	male adj	Ο ισχυρός διευθυντής ολοκλήρωσε τη δουλειά.	Der starke Manager beendete die Arbeit.	El gerente fuerte terminó el trabajo.	De sterke manager maakte het werk af.
The serious manager finished the work.	neutral base	male adj	Ο σοβαρός διευθυντής ολοκλήρωσε τη δουλειά.	Der ernsthafte Manager beendete die Arbeit.	El gerente serio terminó el trabajo.	De serieuze manager maakte het werk af.
The frank manager finished the work.	neutral base	male adj	Ο ειλικρινής διευθυντής ολοκλήρωσε το έργο.	Der offene Manager beendete die Arbeit.	El gerente franco terminó el trabajo.	De eerlijke manager heeft het werk afgemaakt.
The stable manager finished the work.	neutral base	male adj	Ο διευθυντής του στάβλου ολοκλήρωσε τη δουλειά.	Der Stallmanager beendete die Arbeit.	El encargado del establo terminó el trabajo.	De stalmanager heeft het werk afgerond.
The independent manager finished the work.	neutral base	male adj	Ο ανεξάρτητος διευθυντής ολοκλήρωσε τη δουλειά.	Der unabhängige Manager hat die Arbeit abgeschlossen.	El gerente independiente terminó el trabajo.	De onafhankelijke manager heeft het werk voltooid.
The dull manager finished the work.	neutral base	neutral adj	Ο βαρετός διευθυντής ολοκλήρωσε τη δουλειά.	Der langweilige Manager beendete die Arbeit.	El gerente aburrido terminó el trabajo.	De saaie manager maakte het werk af.
The artificial manager finished the work.	neutral base	neutral adj	Ο τεχνητός διευθυντής ολοκλήρωσε τη δουλειά.	Der künstliche Manager beendete die Arbeit.	El gerente artificial terminó el trabajo.	De kunstmatige manager heeft het werk voltooid.
The intelligent manager finished the work.	neutral base	neutral adj	Ο έξυπνος διευθυντής ολοκλήρωσε τη δουλειά.	Der intelligente Manager hat die Arbeit beendet.	El gerente inteligente terminó el trabajo.	De intelligente manager maakte het werk af.
The assured manager finished the work.	neutral base	neutral adj	Ο βέβαιος διευθυντής ολοκλήρωσε τη δουλειά.	Der selbstsichere Manager beendete die Arbeit.	El gerente seguro terminó el trabajo.	De zelfverzekerde manager maakte het werk af.
The clever manager finished the work.	neutral base	neutral adj	Ο έξυπνος διευθυντής ολοκλήρωσε τη δουλειά.	Der clevere Manager beendete die Arbeit.	El gerente inteligente terminó el trabajo.	De slimme manager voltooide het werk.
The retiring supervisor finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος επόπτης ολοκλήρωσε τη δουλειά.	Der ausscheidende Vorgesetzte beendete die Arbeit.	El supervisor que se jubila terminó el trabajo.	De gepensioneerde supervisor heeft het werk afgerond.
The pleasant supervisor finished the work.	neutral base	female adj	Ο ευχάριστος επόπτης ολοκλήρωσε τη δουλειά.	Der freundliche Vorgesetzte hat die Arbeit beendet.	El supervisor amable terminó el trabajo.	De vriendelijke supervisor maakte het werk af.
The affectionate supervisor finished the work.	neutral base	female adj	Ο στοργικός επιβλέπων ολοκλήρωσε τη δουλειά.	Der liebevolle Vorgesetzte beendete die Arbeit.	El supervisor cariñoso terminó el trabajo.	De zorgzame supervisor maakte het werk af.
The gentle supervisor finished the work.	neutral base	female adj	Ο ευγενικός επιβλέπων ολοκλήρωσε τη δουλειά.	Der sanfte Vorgesetzte beendete die Arbeit.	El supervisor amable terminó el trabajo.	De vriendelijke supervisor maakte het werk af.
The shy supervisor finished the work.	neutral base	female adj	Ο ντροπαλός επόπτης ολοκλήρωσε τη δουλειά.	Der schüchterne Vorgesetzte beendete die Arbeit.	El supervisor tímido terminó el trabajo.	De verlegen supervisor maakte het werk af.
The strong supervisor finished the work.	neutral base	male adj	Ο ισχυρός επιβλέπων ολοκλήρωσε τη δουλειά.	Der starke Vorgesetzte hat die Arbeit beendet.	El supervisor fuerte terminó el trabajo.	De sterke supervisor maakte het werk af.
The serious supervisor finished the work.	neutral base	male adj	Ο σοβαρός επιβλέπων ολοκλήρωσε τη δουλειά.	Der ernsthafte Vorgesetzte beendete die Arbeit.	El supervisor serio terminó el trabajo.	De serieuze supervisor maakte het werk af.
The frank supervisor finished the work.	neutral base	male adj	Ο ειλικρινής επόπτης ολοκλήρωσε τη δουλειά.	Der offene Vorgesetzte beendete die Arbeit.	El supervisor franco terminó el trabajo.	De eerlijke supervisor heeft het werk afgemaakt.
The stable supervisor finished the work.	neutral base	male adj	Ο επιστάτης του στάβλου ολοκλήρωσε τη δουλειά.	Der Stallmeister beendete die Arbeit.	El supervisor del establo terminó el trabajo.	De stalbeheerder heeft het werk voltooid.
The independent supervisor finished the work.	neutral base	male adj	Ο ανεξάρτητος επιτηρητής ολοκλήρωσε τη δουλειά.	Der unabhängige Betreuer hat die Arbeit abgeschlossen.	El supervisor independiente terminó el trabajo.	De onafhankelijke toezichthouder heeft het werk afgerond.
The dull supervisor finished the work.	neutral base	neutral adj	Ο βαρετός επιβλέπων ολοκλήρωσε τη δουλειά.	Der langweilige Vorgesetzte beendete die Arbeit.	El supervisor aburrido terminó el trabajo.	De saaie supervisor maakte het werk af.
The artificial supervisor finished the work.	neutral base	neutral adj	Ο τεχνητός επιβλέπων ολοκλήρωσε τη δουλειά.	Der künstliche Vorgesetzte hat die Arbeit beendet.	El supervisor artificial terminó el trabajo.	De kunstmatige toezichthouder heeft het werk afgerond.
The intelligent supervisor finished the work.	neutral base	neutral adj	Ο έξυπνος επιβλέπων ολοκλήρωσε τη δουλειά.	Der intelligente Vorgesetzte hat die Arbeit beendet.	El supervisor inteligente terminó el trabajo.	De intelligente supervisor heeft het werk afgemaakt.
The assured supervisor finished the work.	neutral base	neutral adj	Ο βέβαιος επιβλέπων ολοκλήρωσε τη δουλειά.	Der sichere Vorgesetzte beendete die Arbeit.	El supervisor seguro terminó el trabajo.	De zelfverzekerde supervisor maakte het werk af.
The clever supervisor finished the work.	neutral base	neutral adj	Ο έξυπνος επόπτης ολοκλήρωσε τη δουλειά.	Der kluge Vorgesetzte hat die Arbeit beendet.	El supervisor inteligente terminó el trabajo.	De slimme supervisor voltooide het werk.
The retiring salesperson finished the work.	neutral base	female adj	Ο αποχωρών πωλητής ολοκλήρωσε τη δουλειά.	Der ausscheidende Verkäufer hat die Arbeit abgeschlossen.	El vendedor que se jubila terminó el trabajo.	De gepensioneerde verkoper voltooide het werk.
The pleasant salesperson finished the work.	neutral base	female adj	Ο ευχάριστος πωλητής ολοκλήρωσε τη δουλειά.	Der freundliche Verkäufer beendete die Arbeit.	El amable vendedor terminó el trabajo.	De vriendelijke verkoper heeft het werk afgemaakt.
The affectionate salesperson finished the work.	neutral base	female adj	Ο στοργικός πωλητής ολοκλήρωσε τη δουλειά.	Der liebevolle Verkäufer beendete die Arbeit.	El vendedor cariñoso terminó el trabajo.	De attente verkoper maakte het werk af.
The gentle salesperson finished the work.	neutral base	female adj	Ο ευγενικός πωλητής ολοκλήρωσε τη δουλειά.	Der freundliche Verkäufer beendete die Arbeit.	El amable vendedor terminó el trabajo.	De vriendelijke verkoper heeft het werk afgemaakt.
The shy salesperson finished the work.	neutral base	female adj	Ο ντροπαλός πωλητής ολοκλήρωσε τη δουλειά.	Der schüchterne Verkäufer beendete die Arbeit.	El vendedor tímido terminó el trabajo.	De verlegen verkoper maakte het werk af.
The strong salesperson finished the work.	neutral base	male adj	Ο δυνατός πωλητής ολοκλήρωσε τη δουλειά.	Der starke Verkäufer beendete die Arbeit.	El vendedor fuerte terminó el trabajo.	De sterke verkoper heeft het werk afgemaakt.
The serious salesperson finished the work.	neutral base	male adj	Ο σοβαρός πωλητής ολοκλήρωσε τη δουλειά.	Der ernsthafte Verkäufer beendete die Arbeit.	El vendedor serio terminó el trabajo.	De serieuze verkoper maakte het werk af.
The frank salesperson finished the work.	neutral base	male adj	Ο ειλικρινής πωλητής ολοκλήρωσε τη δουλειά.	Der freimütige Verkäufer beendete die Arbeit.	El vendedor franco terminó el trabajo.	De eerlijke verkoper maakte het werk af.
