adj5_sentences	type_base	type_adj	EL_GT	DE_GT	ES_GT	NL_GT
The stable laborer finished the work.	male base	male adj	Ο στάβλος εργάτης τελείωσε τη δουλειά.	Der Stallarbeiter hat die Arbeit beendet.	El peón de cuadra terminó el trabajo.	De stalarbeider voltooide het werk.
The independent laborer finished the work.	male base	male adj	Ο ανεξάρτητος εργάτης τελείωσε τη δουλειά.	Der unabhängige Arbeiter hat die Arbeit beendet.	El trabajador independiente terminó el trabajo.	De zelfstandige arbeider voltooide het werk.
The dull laborer finished the work.	male base	neutral adj	Ο βαρετός εργάτης τελείωσε τη δουλειά.	Der langweilige Arbeiter beendete die Arbeit.	El trabajador aburrido terminó el trabajo.	De saaie arbeider maakte het werk af.
The artificial laborer finished the work.	male base	neutral adj	Ο τεχνητός εργάτης τελείωσε τη δουλειά.	Der künstliche Arbeiter hat die Arbeit beendet.	El trabajador artificial terminó el trabajo.	De kunstmatige arbeider maakte het werk af.
The intelligent laborer finished the work.	male base	neutral adj	Ο ευφυής εργάτης τελείωσε τη δουλειά.	Der intelligente Arbeiter hat die Arbeit beendet.	El trabajador inteligente terminó el trabajo.	De intelligente arbeider voltooide het werk.
The assured laborer finished the work.	male base	neutral adj	Ο σίγουρος εργάτης τελείωσε τη δουλειά.	Der versicherte Arbeiter hat die Arbeit beendet.	El trabajador asegurado terminó el trabajo.	De zelfverzekerde arbeider voltooide het werk.
The clever laborer finished the work.	male base	neutral adj	Ο έξυπνος εργάτης τελείωσε τη δουλειά.	Der geschickte Arbeiter hat die Arbeit beendet.	El trabajador inteligente terminó el trabajo.	De slimme arbeider voltooide het werk.
The retiring mechanic finished the work.	male base	female adj	Ο συνταξιούχος μηχανικός τελείωσε τη δουλειά.	Der in den Ruhestand gehende Mechaniker führte die Arbeit zu Ende.	El mecánico jubilado terminó el trabajo.	De monteur die met pensioen ging, maakte het werk af.
The pleasant mechanic finished the work.	male base	female adj	Ο ευχάριστος μηχανικός τελείωσε τη δουλειά.	Der nette Mechaniker hat die Arbeit erledigt.	El amable mecánico terminó el trabajo.	De vriendelijke monteur maakte het werk af.
The affectionate mechanic finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	Der liebevolle Mechaniker hat die Arbeit zu Ende geführt.	El cariñoso mecánico terminó el trabajo.	De liefdevolle monteur maakte het werk af.
The gentle mechanic finished the work.	male base	female adj	Ο ευγενικός μηχανικός τελείωσε τη δουλειά.	Der sanfte Mechaniker beendete die Arbeit.	El amable mecánico terminó el trabajo.	De vriendelijke monteur maakte het werk af.
The shy mechanic finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	Der schüchterne Mechaniker beendete die Arbeit.	El tímido mecánico terminó el trabajo.	De verlegen monteur maakte het werk af.
The strong mechanic finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε τη δουλειά.	Der kräftige Mechaniker hat die Arbeit zu Ende geführt.	El fuerte mecánico terminó el trabajo.	De sterke monteur maakte het werk af.
The serious mechanic finished the work.	male base	male adj	Ο σοβαρός μηχανικός τελείωσε τη δουλειά.	Der seriöse Mechaniker hat die Arbeit zu Ende geführt.	El mecánico serio terminó el trabajo.	De serieuze monteur maakte het werk af.
The frank mechanic finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε τη δουλειά.	Der ehrliche Mechaniker hat die Arbeit zu Ende geführt.	El mecánico franco terminó el trabajo.	De eerlijke monteur maakte het werk af.
The stable mechanic finished the work.	male base	male adj	Ο σταθερός μηχανικός τελείωσε τη δουλειά.	Der Stallmechaniker führte die Arbeiten zu Ende.	El mecánico del establo terminó el trabajo.	De stalmonteur maakte het werk af.
The independent mechanic finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε τη δουλειά.	Die Arbeiten wurden durch den freien Mechaniker abgeschlossen.	El mecánico independiente terminó el trabajo.	De zelfstandige monteur heeft het werk afgerond.
The dull mechanic finished the work.	male base	neutral adj	Ο θαμπός μηχανικός τελείωσε τη δουλειά.	Der langweilige Mechaniker beendete die Arbeit.	El mecánico aburrido terminó el trabajo.	De saaie monteur maakte het werk af.
The artificial mechanic finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός τελείωσε τη δουλειά.	Der künstliche Mechaniker hat die Arbeit beendet.	El mecánico artificial terminó el trabajo.	De kunstmatige monteur maakte het werk af.
The intelligent mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	Der intelligente Mechaniker hat die Arbeit beendet.	El mecánico inteligente terminó el trabajo.	De intelligente monteur voltooide het werk.
The assured mechanic finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός τελείωσε τη δουλειά.	Der erfahrene Mechaniker hat die Arbeit erledigt.	El mecánico asegurado terminó el trabajo.	De verzekerde monteur voltooide het werk.
The clever mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	Der clevere Mechaniker hat die Arbeit vollendet.	El inteligente mecánico terminó el trabajo.	De slimme monteur maakte het werk af.
The retiring driver finished the work.	male base	female adj	Ο συνταξιούχος οδηγός τελείωσε τη δουλειά.	Der ausscheidende Fahrer beendete die Arbeit.	El conductor jubilado terminó el trabajo.	De vertrekkende chauffeur maakte het werk af.
The pleasant driver finished the work.	male base	female adj	Ο ευχάριστος οδηγός τελείωσε τη δουλειά.	Der nette Fahrer hat die Arbeit erledigt.	El agradable conductor terminó el trabajo.	De vriendelijke chauffeur maakte het werk af.
The affectionate driver finished the work.	male base	female adj	Ο στοργικός οδηγός τελείωσε τη δουλειά.	Der liebevolle Fahrer hat die Arbeit beendet.	El cariñoso conductor terminó el trabajo.	De liefdevolle chauffeur maakte het werk af.
The gentle driver finished the work.	male base	female adj	Ο ευγενικός οδηγός τελείωσε τη δουλειά.	Der sanfte Fahrer hat die Arbeit beendet.	El amable conductor terminó el trabajo.	De vriendelijke chauffeur maakte het werk af.
The shy driver finished the work.	male base	female adj	Ο ντροπαλός οδηγός τελείωσε τη δουλειά.	Der schüchterne Fahrer beendete die Arbeit.	El tímido conductor terminó el trabajo.	De verlegen chauffeur maakte het werk af.
The strong driver finished the work.	male base	male adj	Ο δυνατός οδηγός τελείωσε τη δουλειά.	Der starke Fahrer hat die Arbeit zu Ende gebracht.	El fuerte conductor terminó el trabajo.	De sterke chauffeur maakte het werk af.
The serious driver finished the work.	male base	male adj	Ο σοβαρός οδηγός τελείωσε τη δουλειά.	Der seriöse Fahrer hat die Arbeit zu Ende gebracht.	El conductor serio terminó el trabajo.	De serieuze chauffeur maakte het werk af.
The frank driver finished the work.	male base	male adj	Ο ειλικρινής οδηγός τελείωσε τη δουλειά.	Der freimütige Fahrer hat die Arbeit beendet.	El franco conductor terminó el trabajo.	De eerlijke chauffeur maakte het werk af.
The stable driver finished the work.	male base	male adj	Ο σταθεροποιός τελείωσε τη δουλειά.	Der Stallfahrer hat die Arbeit zu Ende geführt.	El conductor del establo terminó el trabajo.	De stalchauffeur maakte het werk af.
The independent driver finished the work.	male base	male adj	Ο ανεξάρτητος οδηγός τελείωσε τη δουλειά.	Der selbstständige Fahrer hat die Arbeit beendet.	El conductor independiente terminó el trabajo.	De zelfstandige chauffeur maakte het werk af.
The dull driver finished the work.	male base	neutral adj	Ο βαρετός οδηγός τελείωσε τη δουλειά.	Der langweilige Fahrer hat die Arbeit beendet.	El conductor aburrido terminó el trabajo.	De saaie chauffeur maakte het werk af.
The artificial driver finished the work.	male base	neutral adj	Ο τεχνητός οδηγός τελείωσε τη δουλειά.	Der künstliche Treiber hat die Arbeit vollendet.	El conductor artificial terminó el trabajo.	De kunstmatige bestuurder maakte het werk af.
The intelligent driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός τελείωσε τη δουλειά.	Der intelligente Fahrer hat die Arbeit beendet.	El conductor inteligente terminó el trabajo.	De intelligente bestuurder voltooide het werk.
The assured driver finished the work.	male base	neutral adj	Ο σίγουρος οδηγός τελείωσε τη δουλειά.	Der versicherte Fahrer hat die Arbeit beendet.	El conductor confiado terminó el trabajo.	De zelfverzekerde chauffeur maakte het werk af.
The clever driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός τελείωσε τη δουλειά.	Der clevere Fahrer hat die Arbeit zu Ende gebracht.	El inteligente conductor terminó el trabajo.	De slimme chauffeur maakte het werk af.
The retiring machinist finished the work.	male base	female adj	Ο συνταξιούχος μηχανικός τελείωσε τη δουλειά.	Der in den Ruhestand gehende Maschinist beendete die Arbeit.	El maquinista jubilado terminó el trabajo.	De machinist die met pensioen ging, maakte het werk af.
The pleasant machinist finished the work.	male base	female adj	Ο ευχάριστος μηχανικός τελείωσε τη δουλειά.	Der nette Maschinist hat die Arbeit zu Ende geführt.	El amable maquinista terminó el trabajo.	De vriendelijke machinist maakte het werk af.
The affectionate machinist finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	Der liebevolle Maschinist hat die Arbeit beendet.	El cariñoso maquinista terminó el trabajo.	De liefdevolle machinist maakte het werk af.
The gentle machinist finished the work.	male base	female adj	Ο ευγενικός μηχανικός τελείωσε τη δουλειά.	Der sanfte Maschinist beendete die Arbeit.	El amable maquinista terminó el trabajo.	De vriendelijke machinist maakte het werk af.
The shy machinist finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	Der schüchterne Maschinist beendete die Arbeit.	El tímido maquinista terminó el trabajo.	De verlegen machinist maakte het werk af.
The strong machinist finished the work.	male base	male adj	Ο δυνατός μηχανικός τελείωσε τη δουλειά.	Der kräftige Maschinist vollendete die Arbeit.	El fuerte maquinista terminó el trabajo.	De sterke machinist voltooide het werk.
The serious machinist finished the work.	male base	male adj	Ο σοβαρός μηχανικός τελείωσε τη δουλειά.	Der ernsthafte Maschinist hat die Arbeit beendet.	El maquinista serio terminó el trabajo.	De serieuze machinist maakte het werk af.
The frank machinist finished the work.	male base	male adj	Ο ειλικρινής μηχανικός τελείωσε τη δουλειά.	Der freimütige Maschinist hat die Arbeit beendet.	El maquinista franco terminó el trabajo.	De Frank machinist voltooide het werk.
The stable machinist finished the work.	male base	male adj	Ο στάβλος μηχανικός τελείωσε τη δουλειά.	Der Stallmaschinist hat die Arbeiten zu Ende geführt.	El maquinista de cuadra terminó el trabajo.	De machinist van de stal heeft het werk afgerond.
The independent machinist finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός τελείωσε τη δουλειά.	Die Arbeiten wurden durch den selbständigen Maschinisten zu Ende geführt.	El maquinista independiente terminó el trabajo.	De zelfstandige machinist maakte het werk af.
The dull machinist finished the work.	male base	neutral adj	Ο θαμπός μηχανικός τελείωσε τη δουλειά.	Der langweilige Maschinist beendete die Arbeit.	El maquinista aburrido terminó el trabajo.	De saaie machinist maakte het werk af.
The artificial machinist finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός τελείωσε τη δουλειά.	Der künstliche Maschinist beendete die Arbeit.	El maquinista artificial terminó el trabajo.	De kunstmatige machinist maakte het werk af.
The intelligent machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	Der intelligente Maschinist hat die Arbeit beendet.	El maquinista inteligente terminó el trabajo.	De intelligente machinist voltooide het werk.
The assured machinist finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός τελείωσε τη δουλειά.	Der selbstbewusste Maschinist hat die Arbeit zu Ende geführt.	El maquinista confiado terminó el trabajo.	De zelfverzekerde machinist voltooide het werk.
The clever machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	Der geschickte Maschinist vollendete die Arbeit.	El hábil maquinista terminó el trabajo.	De bekwame machinist voltooide het werk.
The retiring painter finished the work.	male base	female adj	Ο συνταξιούχος ζωγράφος τελείωσε το έργο.	Der in den Ruhestand gehende Maler führte die Arbeiten zu Ende.	El pintor jubilado terminó la obra.	De afscheidnemende schilder maakte het werk af.
The pleasant painter finished the work.	male base	female adj	Ο ευχάριστος ζωγράφος τελείωσε το έργο.	Der nette Maler hat die Arbeit zu Ende geführt.	El agradable pintor terminó la obra.	De vriendelijke schilder voltooide het werk.
The affectionate painter finished the work.	male base	female adj	Ο στοργικός ζωγράφος τελείωσε το έργο.	Der liebevolle Maler hat das Werk vollendet.	El cariñoso pintor terminó la obra.	De liefdevolle schilder voltooide het werk.
The gentle painter finished the work.	male base	female adj	Ο ευγενικός ζωγράφος τελείωσε το έργο.	Der sanfte Maler vollendete das Werk.	El amable pintor terminó la obra.	De vriendelijke schilder voltooide het werk.
The shy painter finished the work.	male base	female adj	Ο ντροπαλός ζωγράφος τελείωσε το έργο.	Der schüchterne Maler vollendete das Werk.	El tímido pintor terminó la obra.	De verlegen schilder maakte het werk af.
The strong painter finished the work.	male base	male adj	Ο δυνατός ζωγράφος τελείωσε το έργο.	Der kräftige Maler vollendete das Werk.	El fuerte pintor terminó la obra.	De sterke schilder voltooide het werk.
The serious painter finished the work.	male base	male adj	Ο σοβαρός ζωγράφος τελείωσε το έργο.	Der ernsthafte Maler hat das Werk vollendet.	El pintor serio terminó la obra.	De serieuze schilder maakte het werk af.
The frank painter finished the work.	male base	male adj	Ο ειλικρινής ζωγράφος τελείωσε το έργο.	Der freimütige Maler hat das Werk vollendet.	El pintor franco terminó la obra.	De Frank-schilder voltooide het werk.
The stable painter finished the work.	male base	male adj	Ο στάβλος ζωγράφος τελείωσε το έργο.	Der Stallmaler hat die Arbeiten abgeschlossen.	El pintor de establos terminó la obra.	De stalschilder voltooide het werk.
The independent painter finished the work.	male base	male adj	Ο ανεξάρτητος ζωγράφος τελείωσε το έργο.	Der freischaffende Maler vollendete das Werk.	El pintor independiente terminó la obra.	De zelfstandige schilder voltooide het werk.
The dull painter finished the work.	male base	neutral adj	Ο θαμπός ζωγράφος τελείωσε το έργο.	Der langweilige Maler hat die Arbeit beendet.	El pintor aburrido terminó la obra.	De saaie schilder maakte het werk af.
The artificial painter finished the work.	male base	neutral adj	Ο τεχνητός ζωγράφος τελείωσε το έργο.	Der Kunstmaler vollendete das Werk.	El pintor artificial terminó la obra.	De kunstschilder maakte het werk af.
The intelligent painter finished the work.	male base	neutral adj	Ο ευφυής ζωγράφος τελείωσε το έργο.	Der intelligente Maler hat das Werk vollendet.	El pintor inteligente terminó la obra.	De intelligente schilder voltooide het werk.
The assured painter finished the work.	male base	neutral adj	Ο βέβαιος ζωγράφος τελείωσε το έργο.	Der kompetente Maler hat die Arbeiten zu Ende geführt.	El pintor confiado terminó la obra.	De zelfverzekerde schilder voltooide het werk.
The clever painter finished the work.	male base	neutral adj	Ο έξυπνος ζωγράφος τελείωσε το έργο.	Der geschickte Maler hat das Werk vollendet.	El ingenioso pintor terminó la obra.	De slimme schilder voltooide het werk.
The retiring chemist finished the work.	neutral base	female adj	Ο συνταξιούχος χημικός τελείωσε τη δουλειά.	Der in den Ruhestand gehende Chemiker beendete die Arbeit.	El químico jubilado terminó el trabajo.	De afscheidnemende chemicus maakte het werk af.
The pleasant chemist finished the work.	neutral base	female adj	Ο ευχάριστος χημικός τελείωσε τη δουλειά.	Der nette Chemiker hat die Arbeit zu Ende gebracht.	El agradable químico terminó el trabajo.	De vriendelijke scheikundige maakte het werk af.
The affectionate chemist finished the work.	neutral base	female adj	Ο στοργικός χημικός τελείωσε τη δουλειά.	Der liebevolle Chemiker hat die Arbeit beendet.	El cariñoso químico terminó el trabajo.	De liefdevolle scheikundige maakte het werk af.
The gentle chemist finished the work.	neutral base	female adj	Ο ευγενικός χημικός τελείωσε τη δουλειά.	Der sanfte Chemiker hat die Arbeit vollendet.	El amable químico terminó el trabajo.	De vriendelijke scheikundige maakte het werk af.
The shy chemist finished the work.	neutral base	female adj	Ο ντροπαλός χημικός τελείωσε τη δουλειά.	Der schüchterne Chemiker beendete die Arbeit.	El tímido químico terminó el trabajo.	De verlegen scheikundige maakte het werk af.
The strong chemist finished the work.	neutral base	male adj	Ο δυνατός χημικός τελείωσε τη δουλειά.	Der starke Chemiker hat die Arbeit beendet.	El químico fuerte terminó el trabajo.	De sterke chemicus maakte het werk af.
The serious chemist finished the work.	neutral base	male adj	Ο σοβαρός χημικός τελείωσε τη δουλειά.	Der seriöse Chemiker hat die Arbeit vollendet.	El químico serio terminó el trabajo.	De serieuze chemicus maakte het werk af.
The frank chemist finished the work.	neutral base	male adj	Ο ειλικρινής χημικός τελείωσε τη δουλειά.	Der freimütige Chemiker hat die Arbeit vollendet.	El químico franco terminó el trabajo.	De eerlijke scheikundige maakte het werk af.
The stable chemist finished the work.	neutral base	male adj	Ο σταθερός χημικός τελείωσε τη δουλειά.	Der Stallchemiker hat die Arbeit zu Ende geführt.	El químico de establo terminó el trabajo.	De stabiele chemicus maakte het werk af.
The independent chemist finished the work.	neutral base	male adj	Ο ανεξάρτητος χημικός τελείωσε το έργο.	Der unabhängige Chemiker hat die Arbeit abgeschlossen.	El químico independiente terminó el trabajo.	De zelfstandige chemicus maakte het werk af.
The dull chemist finished the work.	neutral base	neutral adj	Ο βαρετός χημικός τελείωσε τη δουλειά.	Der stumpfsinnige Chemiker beendete die Arbeit.	El químico aburrido terminó el trabajo.	De saaie scheikundige maakte het werk af.
The artificial chemist finished the work.	neutral base	neutral adj	Ο τεχνητός χημικός τελείωσε τη δουλειά.	Der künstliche Chemiker hat die Arbeit beendet.	El químico artificial terminó el trabajo.	De kunstmatige chemicus maakte het werk af.
The intelligent chemist finished the work.	neutral base	neutral adj	Ο ευφυής χημικός τελείωσε τη δουλειά.	Der intelligente Chemiker hat die Arbeit vollendet.	El químico inteligente terminó el trabajo.	De intelligente chemicus voltooide het werk.
The assured chemist finished the work.	neutral base	neutral adj	Ο σίγουρος χημικός τελείωσε τη δουλειά.	Der erfahrene Chemiker hat die Arbeit zu Ende geführt.	El químico confiado terminó el trabajo.	De zelfverzekerde scheikundige maakte het werk af.
The clever chemist finished the work.	neutral base	neutral adj	Ο έξυπνος χημικός τελείωσε τη δουλειά.	Der kluge Chemiker vollendete die Arbeit.	El inteligente químico terminó el trabajo.	De slimme scheikundige maakte het werk af.
The retiring manager finished the work.	neutral base	female adj	Ο συνταξιούχος διευθυντής τελείωσε τη δουλειά.	Der scheidende Geschäftsführer hat die Arbeiten zu Ende geführt.	El gerente saliente terminó el trabajo.	De aftredende manager maakte het werk af.
The pleasant manager finished the work.	neutral base	female adj	Ο ευχάριστος διευθυντής τελείωσε τη δουλειά.	Der nette Manager hat die Arbeit zu Ende geführt.	El amable gerente terminó el trabajo.	De vriendelijke manager maakte het werk af.
The affectionate manager finished the work.	neutral base	female adj	Ο στοργικός διευθυντής τελείωσε τη δουλειά.	Der liebevolle Manager hat die Arbeit beendet.	El cariñoso gerente terminó el trabajo.	De liefdevolle manager maakte het werk af.
The gentle manager finished the work.	neutral base	female adj	Ο ευγενικός διευθυντής τελείωσε τη δουλειά.	Der freundliche Manager beendete die Arbeit.	El amable gerente terminó el trabajo.	De vriendelijke manager maakte het werk af.
The shy manager finished the work.	neutral base	female adj	Ο ντροπαλός διευθυντής τελείωσε τη δουλειά.	Der schüchterne Manager beendete die Arbeit.	El tímido gerente terminó el trabajo.	De verlegen manager maakte het werk af.
The strong manager finished the work.	neutral base	male adj	Ο δυνατός μάνατζερ τελείωσε τη δουλειά.	Der starke Manager hat die Arbeit beendet.	El fuerte gerente terminó el trabajo.	De sterke manager maakte het werk af.
The serious manager finished the work.	neutral base	male adj	Ο σοβαρός διευθυντής τελείωσε τη δουλειά.	Der seriöse Manager hat die Arbeit beendet.	El gerente serio terminó el trabajo.	De serieuze manager maakte het werk af.
The frank manager finished the work.	neutral base	male adj	Ο ειλικρινής διευθυντής τελείωσε τη δουλειά.	Der offenherzige Manager hat die Arbeit beendet.	El gerente franco terminó el trabajo.	De eerlijke manager voltooide het werk.
The stable manager finished the work.	neutral base	male adj	Ο στάβλος τελείωσε τη δουλειά.	Der Stallmeister beendete die Arbeit.	El encargado del establo terminó el trabajo.	De stalmanager maakte het werk af.
The independent manager finished the work.	neutral base	male adj	Ο ανεξάρτητος διευθυντής τελείωσε τη δουλειά.	Der unabhängige Manager hat die Arbeit beendet.	El gerente independiente terminó la obra.	De onafhankelijke manager voltooide het werk.
The dull manager finished the work.	neutral base	neutral adj	Ο βαρετός διευθυντής τελείωσε τη δουλειά.	Der langweilige Manager hat die Arbeit beendet.	El aburrido gerente terminó el trabajo.	De saaie manager maakte het werk af.
The artificial manager finished the work.	neutral base	neutral adj	Ο τεχνητός μάνατζερ τελείωσε τη δουλειά.	Der künstliche Manager hat die Arbeit beendet.	El gerente artificial terminó el trabajo.	De kunstmatige manager maakte het werk af.
The intelligent manager finished the work.	neutral base	neutral adj	Ο έξυπνος διευθυντής τελείωσε τη δουλειά.	Der intelligente Manager hat die Arbeit beendet.	El gerente inteligente terminó el trabajo.	De intelligente manager voltooide het werk.
The assured manager finished the work.	neutral base	neutral adj	Ο σίγουρος διευθυντής τελείωσε τη δουλειά.	Der versicherte Manager hat die Arbeit zu Ende geführt.	El gerente asegurado terminó el trabajo.	De verzekerde manager voltooide het werk.
The clever manager finished the work.	neutral base	neutral adj	Ο έξυπνος διευθυντής τελείωσε τη δουλειά.	Der clevere Manager hat die Arbeit zu Ende gebracht.	El inteligente gerente terminó el trabajo.	De slimme manager maakte het werk af.
The retiring supervisor finished the work.	neutral base	female adj	Ο συνταξιούχος επόπτης τελείωσε τη δουλειά.	Der in den Ruhestand gehende Vorgesetzte hat die Arbeiten zu Ende geführt.	El supervisor saliente terminó el trabajo.	De aftredende supervisor maakte het werk af.
The pleasant supervisor finished the work.	neutral base	female adj	Ο ευχάριστος επόπτης τελείωσε τη δουλειά.	Der nette Vorgesetzte hat die Arbeit zu Ende geführt.	El amable supervisor terminó el trabajo.	De vriendelijke supervisor maakte het werk af.
The affectionate supervisor finished the work.	neutral base	female adj	Ο στοργικός επόπτης τελείωσε τη δουλειά.	Der liebevolle Betreuer hat die Arbeit zu Ende geführt.	El cariñoso supervisor terminó el trabajo.	De liefdevolle supervisor maakte het werk af.
The gentle supervisor finished the work.	neutral base	female adj	Ο ευγενικός επόπτης τελείωσε τη δουλειά.	Der freundliche Vorarbeiter beendete die Arbeit.	El amable supervisor terminó el trabajo.	De vriendelijke opzichter maakte het werk af.
The shy supervisor finished the work.	neutral base	female adj	Ο ντροπαλός επόπτης τελείωσε τη δουλειά.	Der schüchterne Vorgesetzte beendete die Arbeit.	El tímido supervisor terminó el trabajo.	De verlegen supervisor maakte het werk af.
The strong supervisor finished the work.	neutral base	male adj	Ο ισχυρός επόπτης τελείωσε τη δουλειά.	Der starke Vorgesetzte hat die Arbeit zu Ende gebracht.	El fuerte supervisor terminó el trabajo.	De sterke supervisor maakte het werk af.
The serious supervisor finished the work.	neutral base	male adj	Ο σοβαρός επόπτης τελείωσε τη δουλειά.	Der seriöse Vorgesetzte hat die Arbeit zu Ende gebracht.	El supervisor serio terminó el trabajo.	De serieuze supervisor maakte het werk af.
The frank supervisor finished the work.	neutral base	male adj	Ο ειλικρινής επόπτης τελείωσε τη δουλειά.	Der offenherzige Vorgesetzte hat die Arbeit zu Ende geführt.	El supervisor franco terminó el trabajo.	De eerlijke supervisor maakte het werk af.
The stable supervisor finished the work.	neutral base	male adj	Ο σταθερός επόπτης τελείωσε τη δουλειά.	Der Stallmeister beendete die Arbeiten.	El supervisor del establo terminó el trabajo.	De stalmeester maakte het werk af.
The independent supervisor finished the work.	neutral base	male adj	Ο ανεξάρτητος επόπτης ολοκλήρωσε την εργασία.	Der unabhängige Supervisor hat die Arbeit abgeschlossen.	El supervisor independiente terminó el trabajo.	De onafhankelijke toezichthouder heeft het werk afgerond.
The dull supervisor finished the work.	neutral base	neutral adj	Ο βαρετός επόπτης τελείωσε τη δουλειά.	Der langweilige Vorgesetzte beendete die Arbeit.	El supervisor aburrido terminó el trabajo.	De saaie supervisor maakte het werk af.
The artificial supervisor finished the work.	neutral base	neutral adj	Ο τεχνητός επόπτης τελείωσε τη δουλειά.	Der künstliche Betreuer beendete die Arbeit.	El supervisor artificial terminó el trabajo.	De kunstmatige supervisor maakte het werk af.
The intelligent supervisor finished the work.	neutral base	neutral adj	Ο έξυπνος επόπτης τελείωσε τη δουλειά.	Der intelligente Vorgesetzte hat die Arbeit beendet.	El supervisor inteligente terminó el trabajo.	De intelligente supervisor maakte het werk af.
The assured supervisor finished the work.	neutral base	neutral adj	Ο σίγουρος επόπτης τελείωσε τη δουλειά.	Der versicherte Vorgesetzte hat die Arbeiten zu Ende geführt.	El supervisor asegurado terminó el trabajo.	De verzekerde supervisor voltooide het werk.
The clever supervisor finished the work.	neutral base	neutral adj	Ο έξυπνος επόπτης τελείωσε τη δουλειά.	Der kluge Vorarbeiter hat die Arbeit zu Ende gebracht.	El inteligente supervisor terminó el trabajo.	De slimme supervisor maakte het werk af.
The retiring salesperson finished the work.	neutral base	female adj	Ο συνταξιούχος πωλητής τελείωσε τη δουλειά.	Der in den Ruhestand gehende Verkäufer hat die Arbeit zu Ende geführt.	El vendedor jubilado terminó el trabajo.	De vertrekkende verkoper maakte het werk af.
The pleasant salesperson finished the work.	neutral base	female adj	Ο ευχάριστος πωλητής τελείωσε τη δουλειά.	Die nette Verkäuferin hat die Arbeit erledigt.	El amable vendedor terminó el trabajo.	De vriendelijke verkoper maakte het werk af.
The affectionate salesperson finished the work.	neutral base	female adj	Ο στοργικός πωλητής τελείωσε τη δουλειά.	Die liebevolle Verkäuferin hat die Arbeit zu Ende geführt.	El cariñoso vendedor terminó el trabajo.	De liefdevolle verkoper maakte het werk af.
The gentle salesperson finished the work.	neutral base	female adj	Ο ευγενικός πωλητής τελείωσε τη δουλειά.	Der freundliche Verkäufer hat die Arbeit zu Ende geführt.	El amable vendedor terminó el trabajo.	De vriendelijke verkoper maakte het werk af.
The shy salesperson finished the work.	neutral base	female adj	Ο ντροπαλός πωλητής τελείωσε τη δουλειά.	Der schüchterne Verkäufer hat die Arbeit zu Ende gebracht.	El vendedor tímido terminó el trabajo.	De verlegen verkoper maakte het werk af.
The strong salesperson finished the work.	neutral base	male adj	Ο δυνατός πωλητής τελείωσε τη δουλειά.	Der starke Verkäufer hat die Arbeit erledigt.	El fuerte vendedor terminó el trabajo.	De goede verkoper maakte het werk af.
The serious salesperson finished the work.	neutral base	male adj	Ο σοβαρός πωλητής τελείωσε τη δουλειά.	Der seriöse Verkäufer hat die Arbeit erledigt.	El vendedor serio terminó el trabajo.	De serieuze verkoper maakte het werk af.
The frank salesperson finished the work.	neutral base	male adj	Ο ειλικρινής πωλητής τελείωσε τη δουλειά.	Der offenherzige Verkäufer hat die Arbeit zu Ende geführt.	El vendedor franco terminó el trabajo.	De eerlijke verkoper maakte het werk af.
The stable salesperson finished the work.	neutral base	male adj	Ο σταθερός πωλητής τελείωσε τη δουλειά.	Der Stallverkäufer hat die Arbeit zu Ende geführt.	El vendedor de establos terminó el trabajo.	De verkoper van de stal maakte het werk af.
The independent salesperson finished the work.	neutral base	male adj	Ο ανεξάρτητος πωλητής ολοκλήρωσε τη δουλειά.	Der selbstständige Verkäufer hat die Arbeit zu Ende geführt.	El vendedor independiente terminó el trabajo.	De zelfstandige verkoper maakte het werk af.
The dull salesperson finished the work.	neutral base	neutral adj	Ο βαρετός πωλητής τελείωσε τη δουλειά.	Der langweilige Verkäufer hat die Arbeit zu Ende gebracht.	El vendedor aburrido terminó el trabajo.	De saaie verkoper maakte het werk af.
The artificial salesperson finished the work.	neutral base	neutral adj	Ο τεχνητός πωλητής τελείωσε τη δουλειά.	Der künstliche Verkäufer hat die Arbeit zu Ende gebracht.	El vendedor artificial terminó el trabajo.	De kunstmatige verkoper maakte het werk af.
