adj5_sentences	type_base	type_adj	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
The retiring mechanic finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανικός ολοκλήρωσε τις εργασίες.	Der scheidende Mechaniker beendete die Arbeit.	El mecánico jubilado terminó el trabajo.	De aftredende monteur maakte het werk af.
The pleasant mechanic finished the work.	male base	female adj	Ο ευχάριστος μηχανικός ολοκλήρωσε τη δουλειά.	Der nette Mechaniker beendete die Arbeit.	El agradable mecánico terminó el trabajo.	De aardige monteur maakte het werk af.
The affectionate mechanic finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	Der liebevolle Mechaniker beendete die Arbeit.	El afectuoso mecánico terminó el trabajo.	De aanhankelijke monteur maakte het werk af.
The gentle mechanic finished the work.	male base	female adj	Ο ευγενικός μηχανικός ολοκλήρωσε τη δουλειά.	Der sanfte Mechaniker beendete die Arbeit.	El gentil mecánico terminó el trabajo.	De zachtaardige monteur maakte het werk af.
The shy mechanic finished the work.	male base	female adj	Ο ντροπαλός μηχανικός τελείωσε τη δουλειά.	Der schüchterne Mechaniker beendete die Arbeit.	El tímido mecánico terminó el trabajo.	De verlegen monteur maakte het werk af.
The strong mechanic finished the work.	male base	male adj	Ο ισχυρός μηχανικός ολοκλήρωσε το έργο.	Der starke Mechaniker beendete die Arbeit.	El mecánico fuerte terminó el trabajo.	De sterke monteur maakte het werk af.
The serious mechanic finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	Der seriöse Mechaniker beendete die Arbeit.	El mecánico serio terminó el trabajo.	De serieuze monteur maakte het werk af.
The frank mechanic finished the work.	male base	male adj	Ο ειλικρινής μηχανικός ολοκλήρωσε το έργο.	Der offene Mechaniker beendete die Arbeit.	El mecánico franco terminó el trabajo.	De openhartige monteur maakte het werk af.
The stable mechanic finished the work.	male base	male adj	Ο μηχανικός του στάβλου ολοκλήρωσε τις εργασίες.	Der Stallmechaniker beendete die Arbeit.	El mecánico del establo terminó el trabajo.	De stalmecanicien maakte het werk af.
The independent mechanic finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός ολοκλήρωσε τις εργασίες.	Der unabhängige Mechaniker beendete die Arbeit.	El mecánico independiente terminó el trabajo.	De onafhankelijke monteur heeft het werk afgemaakt.
The dull mechanic finished the work.	male base	neutral adj	Ο βαρετός μηχανικός τελείωσε τη δουλειά.	Der stumpfe Mechaniker beendete die Arbeit.	El mecánico aburrido terminó el trabajo.	De saaie monteur maakte het werk af.
The artificial mechanic finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός ολοκλήρωσε το έργο.	Der künstliche Mechaniker beendete die Arbeit.	El mecánico artificial terminó el trabajo.	De kunstmatige monteur maakte het werk af.
The intelligent mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	Der intelligente Mechaniker beendete die Arbeit.	El mecánico inteligente terminó el trabajo.	De intelligente monteur maakte het werk af.
The assured mechanic finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός ολοκλήρωσε την εργασία.	Der versicherte Mechaniker beendete die Arbeit.	El mecánico asegurado terminó el trabajo.	De verzekerde monteur maakte het werk af.
The clever mechanic finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός τελείωσε τη δουλειά.	Der clevere Mechaniker beendete die Arbeit.	El astuto mecánico terminó el trabajo.	De slimme monteur maakte het werk af.
The retiring driver finished the work.	male base	female adj	Ο οδηγός που αποσύρθηκε τελείωσε το έργο.	Der scheidende Fahrer beendete die Arbeit.	El conductor que se retiraba terminó el trabajo.	De aftredende chauffeur maakte het werk af.
The pleasant driver finished the work.	male base	female adj	Ο ευχάριστος οδηγός ολοκλήρωσε τη δουλειά.	Der nette Fahrer beendete die Arbeit.	El agradable conductor terminó el trabajo.	De aardige chauffeur maakte het werk af.
The affectionate driver finished the work.	male base	female adj	Ο στοργικός οδηγός τελείωσε τη δουλειά.	Der liebevolle Fahrer beendete die Arbeit.	El afectuoso conductor terminó el trabajo.	De aanhankelijke chauffeur maakte het werk af.
The gentle driver finished the work.	male base	female adj	Ο ευγενικός οδηγός ολοκλήρωσε τη δουλειά.	Der sanfte Fahrer beendete die Arbeit.	El amable conductor terminó el trabajo.	De zachte chauffeur maakte het werk af.
The shy driver finished the work.	male base	female adj	Ο ντροπαλός οδηγός ολοκλήρωσε τη δουλειά.	Der schüchterne Fahrer beendete die Arbeit.	El tímido conductor terminó el trabajo.	De verlegen chauffeur maakte het werk af.
The strong driver finished the work.	male base	male adj	Ο ισχυρός οδηγός ολοκλήρωσε το έργο.	Der starke Fahrer beendete die Arbeit.	El fuerte conductor terminó el trabajo.	De sterke chauffeur maakte het werk af.
The serious driver finished the work.	male base	male adj	Ο σοβαρός οδηγός ολοκλήρωσε τη δουλειά.	Der seriöse Fahrer beendete die Arbeit.	El conductor serio terminó el trabajo.	De serieuze chauffeur maakte het werk af.
The frank driver finished the work.	male base	male adj	Ο ειλικρινής οδηγός ολοκλήρωσε το έργο.	Der Fahrer von Frank hat die Arbeit beendet.	El conductor franco terminó el trabajo.	De frankeermachinist maakte het werk af.
The stable driver finished the work.	male base	male adj	Ο οδηγός του στάβλου τελείωσε τη δουλειά.	Der Stallbursche beendete die Arbeit.	El mozo de cuadra terminó el trabajo.	De stalknecht maakte het werk af.
The independent driver finished the work.	male base	male adj	Ο ανεξάρτητος οδηγός ολοκλήρωσε το έργο.	Der unabhängige Fahrer beendete die Arbeit.	El conductor independiente terminó el trabajo.	De onafhankelijke chauffeur maakte het werk af.
The dull driver finished the work.	male base	neutral adj	Ο βαρετός οδηγός τελείωσε τη δουλειά.	Der langweilige Fahrer beendete die Arbeit.	El conductor aburrido terminó el trabajo.	De saaie chauffeur maakte het werk af.
The artificial driver finished the work.	male base	neutral adj	Ο τεχνητός οδηγός ολοκλήρωσε το έργο.	Der Kunstfahrer beendete die Arbeit.	El conductor artificial terminó el trabajo.	De kunstmatige bestuurder maakte het werk af.
The intelligent driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε τη δουλειά.	Der intelligente Fahrer beendete die Arbeit.	El conductor inteligente terminó el trabajo.	De intelligente chauffeur maakte het werk af.
The assured driver finished the work.	male base	neutral adj	Ο σίγουρος οδηγός ολοκλήρωσε το έργο.	Der versicherte Fahrer beendete die Arbeit.	El conductor asegurado terminó el trabajo.	De verzekerde chauffeur maakte het werk af.
The clever driver finished the work.	male base	neutral adj	Ο έξυπνος οδηγός ολοκλήρωσε τη δουλειά.	Der clevere Fahrer beendete die Arbeit.	El inteligente conductor terminó el trabajo.	De slimme chauffeur maakte het werk af.
The retiring machinist finished the work.	male base	female adj	Ο συνταξιοδοτούμενος μηχανικός ολοκλήρωσε το έργο.	Der pensionierte Maschinist beendete die Arbeit.	El maquinista jubilado terminó el trabajo.	De aftredende machinist maakte het werk af.
The pleasant machinist finished the work.	male base	female adj	Ο ευχάριστος μηχανικός τελείωσε τη δουλειά.	Der nette Maschinist beendete die Arbeit.	El agradable maquinista terminó el trabajo.	De aardige machinist maakte het werk af.
The affectionate machinist finished the work.	male base	female adj	Ο στοργικός μηχανικός τελείωσε τη δουλειά.	Der liebevolle Maschinist beendete die Arbeit.	El afectuoso maquinista terminó el trabajo.	De liefhebbende machinist maakte het werk af.
The gentle machinist finished the work.	male base	female adj	Ο ευγενικός μηχανικός ολοκλήρωσε τη δουλειά.	Der freundliche Maschinist beendete die Arbeit.	El gentil maquinista terminó el trabajo.	De zachtaardige machinist maakte het werk af.
The shy machinist finished the work.	male base	female adj	Ο ντροπαλός μηχανικός ολοκλήρωσε τη δουλειά.	Der schüchterne Maschinist beendete die Arbeit.	El tímido maquinista terminó el trabajo.	De verlegen machinist maakte het werk af.
The strong machinist finished the work.	male base	male adj	Ο δυνατός μηχανικός ολοκλήρωσε τη δουλειά.	Der starke Maschinist beendete die Arbeit.	El fuerte maquinista terminó el trabajo.	De sterke machinist maakte het werk af.
The serious machinist finished the work.	male base	male adj	Ο σοβαρός μηχανικός ολοκλήρωσε τη δουλειά.	Der seriöse Maschinist beendete die Arbeit.	El maquinista serio terminó el trabajo.	De serieuze machinist maakte het werk af.
The frank machinist finished the work.	male base	male adj	Ο ειλικρινής μηχανικός ολοκλήρωσε το έργο.	Der Mechaniker beendete die Arbeit.	El maquinista franco terminó el trabajo.	De openhartige machinist maakte het werk af.
The stable machinist finished the work.	male base	male adj	Ο σταθερός μηχανικός ολοκλήρωσε το έργο.	Der stabile Maschinist beendete die Arbeit.	El maquinista del establo terminó el trabajo.	De stabiele machinist maakte het werk af.
The independent machinist finished the work.	male base	male adj	Ο ανεξάρτητος μηχανικός ολοκλήρωσε το έργο.	Der unabhängige Maschinist beendete die Arbeit.	El maquinista independiente terminó el trabajo.	De onafhankelijke machinist maakte het werk af.
The dull machinist finished the work.	male base	neutral adj	Ο βαρετός μηχανικός τελείωσε τη δουλειά.	Der stumpfe Maschinist beendete die Arbeit.	El maquinista aburrido terminó el trabajo.	De saaie machinist maakte het werk af.
The artificial machinist finished the work.	male base	neutral adj	Ο τεχνητός μηχανικός ολοκλήρωσε το έργο.	Der künstliche Maschinist beendete die Arbeit.	El maquinista artificial terminó el trabajo.	De kunstmatige machinist maakte het werk af.
The intelligent machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	Der intelligente Maschinist beendete die Arbeit.	El inteligente maquinista terminó el trabajo.	De intelligente machinist maakte het werk af.
The assured machinist finished the work.	male base	neutral adj	Ο σίγουρος μηχανικός ολοκλήρωσε τη δουλειά.	Der versicherte Maschinist beendete die Arbeit.	El maquinista asegurado terminó el trabajo.	De verzekerde machinist maakte het werk af.
The clever machinist finished the work.	male base	neutral adj	Ο έξυπνος μηχανικός ολοκλήρωσε τη δουλειά.	Der geschickte Maschinist beendete die Arbeit.	El hábil maquinista terminó el trabajo.	De slimme machinist maakte het werk af.
The retiring painter finished the work.	male base	female adj	Ο ζωγράφος που αποσύρθηκε τελείωσε το έργο.	Der scheidende Maler beendete die Arbeit.	El pintor que se retiraba terminó la obra.	De schilder die met pensioen ging maakte het werk af.
The pleasant painter finished the work.	male base	female adj	Ο ευχάριστος ζωγράφος τελείωσε το έργο.	Der nette Maler beendete die Arbeit.	El agradable pintor terminó el trabajo.	De aardige schilder maakte het werk af.
The affectionate painter finished the work.	male base	female adj	Ο στοργικός ζωγράφος τελείωσε το έργο.	Der liebevolle Maler beendete das Werk.	El afectuoso pintor terminó la obra.	De liefdevolle schilder maakte het werk af.
The gentle painter finished the work.	male base	female adj	Ο ευγενικός ζωγράφος τελείωσε το έργο.	Der sanfte Maler beendete das Werk.	El gentil pintor terminó el trabajo.	De zachtaardige schilder maakte het werk af.
The shy painter finished the work.	male base	female adj	Ο ντροπαλός ζωγράφος τελείωσε το έργο.	Der schüchterne Maler beendete die Arbeit.	El tímido pintor terminó la obra.	De verlegen schilder maakte het werk af.
The strong painter finished the work.	male base	male adj	Ο δυνατός ζωγράφος τελείωσε το έργο.	Der kräftige Maler beendete das Werk.	El pintor fuerte terminó la obra.	De sterke schilder maakte het werk af.
The serious painter finished the work.	male base	male adj	Ο σοβαρός ζωγράφος τελείωσε το έργο.	Der seriöse Maler beendete die Arbeit.	El pintor serio terminó la obra.	De serieuze schilder maakte het werk af.
The frank painter finished the work.	male base	male adj	Ο ειλικρινής ζωγράφος τελείωσε το έργο.	Der freie Maler beendete die Arbeit.	El pintor franco terminó la obra.	De openhartige schilder maakte het werk af.
The stable painter finished the work.	male base	male adj	Ο ελαιοχρωματιστής του στάβλου τελείωσε το έργο.	Der Stallmaler hat die Arbeit beendet.	El pintor del establo terminó el trabajo.	De stalschilder maakte het werk af.
The independent painter finished the work.	male base	male adj	Ο ανεξάρτητος ζωγράφος ολοκλήρωσε το έργο.	Der unabhängige Maler beendete die Arbeit.	El pintor independiente terminó la obra.	De onafhankelijke schilder maakte het werk af.
The dull painter finished the work.	male base	neutral adj	Ο βαρετός ζωγράφος τελείωσε το έργο.	Der stumpfe Maler beendete die Arbeit.	El pintor aburrido terminó el trabajo.	De saaie schilder maakte het werk af.
The artificial painter finished the work.	male base	neutral adj	Ο τεχνητός ζωγράφος ολοκλήρωσε το έργο.	Der Kunstmaler hat die Arbeit beendet.	El pintor artificial terminó la obra.	De kunstschilder maakte het werk af.
The intelligent painter finished the work.	male base	neutral adj	Ο ευφυής ζωγράφος τελείωσε το έργο.	Der intelligente Maler beendete das Werk.	El pintor inteligente terminó la obra.	De intelligente schilder maakte het werk af.
The assured painter finished the work.	male base	neutral adj	Ο σίγουρος ζωγράφος τελείωσε το έργο.	Der versicherte Maler beendete die Arbeit.	El pintor asegurado terminó el trabajo.	De zekere schilder maakte het werk af.
The clever painter finished the work.	male base	neutral adj	Ο έξυπνος ζωγράφος τελείωσε το έργο.	Der kluge Maler beendete das Werk.	El hábil pintor terminó la obra.	De slimme schilder maakte het werk af.
The retiring chemist finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος χημικός ολοκλήρωσε την εργασία.	Der scheidende Chemiker beendete die Arbeit.	El químico jubilado terminó el trabajo.	De scheikundige die met pensioen ging, maakte het werk af.
The pleasant chemist finished the work.	neutral base	female adj	Ο ευχάριστος χημικός ολοκλήρωσε τη δουλειά.	Der sympathische Chemiker beendete die Arbeit.	El agradable químico terminó el trabajo.	De aardige apotheker maakte het werk af.
The affectionate chemist finished the work.	neutral base	female adj	Ο στοργικός χημικός τελείωσε τη δουλειά.	Der liebevolle Chemiker beendete die Arbeit.	El afectuoso químico terminó el trabajo.	De liefhebbende chemicus maakte het werk af.
The gentle chemist finished the work.	neutral base	female adj	Ο ευγενικός χημικός ολοκλήρωσε τη δουλειά.	Der sanfte Chemiker beendete die Arbeit.	El gentil químico terminó el trabajo.	De zachtaardige chemicus maakte het werk af.
The shy chemist finished the work.	neutral base	female adj	Ο ντροπαλός χημικός ολοκλήρωσε τη δουλειά.	Der schüchterne Chemiker beendete seine Arbeit.	El tímido químico terminó el trabajo.	De verlegen chemicus maakte het werk af.
The strong chemist finished the work.	neutral base	male adj	Ο ισχυρός χημικός ολοκλήρωσε το έργο.	Der starke Chemiker beendete die Arbeit.	El fuerte químico terminó el trabajo.	De sterke chemicus maakte het werk af.
The serious chemist finished the work.	neutral base	male adj	Ο σοβαρός χημικός ολοκλήρωσε την εργασία.	Der seriöse Chemiker beendete seine Arbeit.	El químico serio terminó el trabajo.	De serieuze chemicus maakte het werk af.
The frank chemist finished the work.	neutral base	male adj	Ο ειλικρινής χημικός ολοκλήρωσε το έργο.	Der offene Chemiker beendete die Arbeit.	El químico franco terminó el trabajo.	De openhartige chemicus maakte het werk af.
The stable chemist finished the work.	neutral base	male adj	Ο σταθερός χημικός ολοκλήρωσε τη δουλειά.	Der Stallchemiker hat die Arbeit beendet.	El químico del establo terminó el trabajo.	De staldrogist maakte het werk af.
The independent chemist finished the work.	neutral base	male adj	Ο ανεξάρτητος χημικός ολοκλήρωσε την εργασία.	Der unabhängige Chemiker beendete die Arbeit.	El químico independiente terminó el trabajo.	De onafhankelijke chemicus maakte het werk af.
The dull chemist finished the work.	neutral base	neutral adj	Ο βαρετός χημικός τελείωσε τη δουλειά.	Der stumpfe Chemiker beendete die Arbeit.	El químico aburrido terminó el trabajo.	De saaie chemicus maakte het werk af.
The artificial chemist finished the work.	neutral base	neutral adj	Ο τεχνητός χημικός ολοκλήρωσε το έργο.	Der künstliche Chemiker beendete die Arbeit.	El químico artificial terminó el trabajo.	De kunstmatige chemicus maakte het werk af.
The intelligent chemist finished the work.	neutral base	neutral adj	Ο ευφυής χημικός ολοκλήρωσε τη δουλειά.	Der intelligente Chemiker beendete die Arbeit.	El inteligente químico terminó el trabajo.	De intelligente chemicus maakte het werk af.
The assured chemist finished the work.	neutral base	neutral adj	Ο σίγουρος χημικός ολοκλήρωσε το έργο.	Der versicherte Chemiker beendete die Arbeit.	El químico asegurado terminó el trabajo.	De verzekerde apotheker maakte het werk af.
The clever chemist finished the work.	neutral base	neutral adj	Ο έξυπνος χημικός ολοκλήρωσε τη δουλειά.	Der kluge Chemiker beendete die Arbeit.	El ingenioso químico terminó el trabajo.	De slimme chemicus maakte het werk af.
The retiring manager finished the work.	neutral base	female adj	Ο διευθυντής που αποσύρθηκε τελείωσε το έργο.	Der scheidende Manager beendete die Arbeit.	El director saliente terminó el trabajo.	De aftredende manager maakte het werk af.
The pleasant manager finished the work.	neutral base	female adj	Ο ευχάριστος διευθυντής τελείωσε το έργο.	Der nette Manager beendete die Arbeit.	El agradable encargado terminó el trabajo.	De aangename manager maakte het werk af.
The affectionate manager finished the work.	neutral base	female adj	Ο στοργικός διευθυντής τελείωσε τη δουλειά.	Der liebevolle Manager beendete die Arbeit.	El afectuoso gerente terminó el trabajo.	De aanhankelijke manager maakte het werk af.
The gentle manager finished the work.	neutral base	female adj	Ο ευγενικός διευθυντής τελείωσε το έργο.	Der freundliche Manager beendete die Arbeit.	El amable encargado terminó el trabajo.	De zachte manager maakte het werk af.
The shy manager finished the work.	neutral base	female adj	Ο ντροπαλός διευθυντής ολοκλήρωσε τη δουλειά.	Der schüchterne Manager beendete die Arbeit.	El tímido encargado terminó el trabajo.	De verlegen manager maakte het werk af.
The strong manager finished the work.	neutral base	male adj	Ο ισχυρός διαχειριστής ολοκλήρωσε το έργο.	Der starke Manager beendete die Arbeit.	El gerente fuerte terminó el trabajo.	De sterke manager maakte het werk af.
The serious manager finished the work.	neutral base	male adj	Ο σοβαρός διευθυντής τελείωσε το έργο.	Der seriöse Manager beendete die Arbeit.	El gerente serio terminó el trabajo.	De serieuze manager maakte het werk af.
The frank manager finished the work.	neutral base	male adj	Ο διευθυντής frank ολοκλήρωσε το έργο.	Der Frank Manager hat die Arbeit beendet.	El encargado de la franquicia terminó el trabajo.	De frank manager maakte het werk af.
The stable manager finished the work.	neutral base	male adj	Ο υπεύθυνος του στάβλου τελείωσε τη δουλειά.	Der Stallmeister beendete die Arbeit.	El encargado del establo terminó el trabajo.	De stalmanager maakte het werk af.
The independent manager finished the work.	neutral base	male adj	Ο ανεξάρτητος διαχειριστής ολοκλήρωσε το έργο.	Der unabhängige Verwalter hat die Arbeit beendet.	El gestor independiente terminó el trabajo.	De onafhankelijke manager maakte het werk af.
The dull manager finished the work.	neutral base	neutral adj	Ο βαρετός διευθυντής τελείωσε το έργο.	Der langweilige Manager beendete die Arbeit.	El aburrido encargado terminó el trabajo.	De saaie manager maakte het werk af.
The artificial manager finished the work.	neutral base	neutral adj	Ο τεχνητός διαχειριστής ολοκλήρωσε το έργο.	Der künstliche Manager beendete die Arbeit.	El gestor de artificios terminó el trabajo.	De kunstmatige manager maakte het werk af.
The intelligent manager finished the work.	neutral base	neutral adj	Ο ευφυής διευθυντής ολοκλήρωσε το έργο.	Der intelligente Manager hat die Arbeit beendet.	El gestor inteligente terminó el trabajo.	De intelligente manager maakte het werk af.
The assured manager finished the work.	neutral base	neutral adj	Ο σίγουρος διαχειριστής ολοκλήρωσε το έργο.	Der versicherte Manager beendete die Arbeit.	El encargado asegurado terminó el trabajo.	De verzekerde manager maakte het werk af.
The clever manager finished the work.	neutral base	neutral adj	Ο έξυπνος διευθυντής τελείωσε το έργο.	Der clevere Manager beendete die Arbeit.	El astuto encargado terminó el trabajo.	De slimme manager maakte het werk af.
The retiring supervisor finished the work.	neutral base	female adj	Ο προϊστάμενος που αποσύρθηκε τελείωσε το έργο.	Der scheidende Betreuer beendete die Arbeit.	El supervisor que se retiraba terminó el trabajo.	De aftredende opzichter maakte het werk af.
The pleasant supervisor finished the work.	neutral base	female adj	Ο ευχάριστος επόπτης ολοκλήρωσε την εργασία.	Die angenehme Aufsichtsperson beendete die Arbeit.	El agradable supervisor terminó el trabajo.	De prettige supervisor maakte het werk af.
The affectionate supervisor finished the work.	neutral base	female adj	Ο στοργικός επόπτης τελείωσε το έργο.	Die liebevolle Betreuerin beendete die Arbeit.	El afectuoso supervisor terminó el trabajo.	De liefhebbende opzichter maakte het werk af.
The gentle supervisor finished the work.	neutral base	female adj	Ο ευγενικός επόπτης τελείωσε το έργο.	Der sanfte Aufseher beendete die Arbeit.	El amable supervisor terminó el trabajo.	De zachtaardige opzichter maakte het werk af.
The shy supervisor finished the work.	neutral base	female adj	Ο ντροπαλός επόπτης ολοκλήρωσε το έργο.	Der schüchterne Aufseher beendete die Arbeit.	El tímido supervisor terminó el trabajo.	De verlegen opzichter maakte het werk af.
The strong supervisor finished the work.	neutral base	male adj	Ο ισχυρός επόπτης ολοκλήρωσε το έργο.	Der starke Aufseher beendete die Arbeit.	El fuerte supervisor terminó el trabajo.	De sterke opzichter maakte het werk af.
The serious supervisor finished the work.	neutral base	male adj	Ο σοβαρός επόπτης ολοκλήρωσε το έργο.	Der seriöse Betreuer beendete die Arbeit.	El supervisor serio terminó el trabajo.	De serieuze opzichter maakte het werk af.
The frank supervisor finished the work.	neutral base	male adj	Ο ειλικρινής επόπτης ολοκλήρωσε το έργο.	Der Freiberufler beendete die Arbeit.	El supervisor franco terminó el trabajo.	De openhartige opzichter maakte het werk af.
The stable supervisor finished the work.	neutral base	male adj	Ο επόπτης του στάβλου ολοκλήρωσε τις εργασίες.	Der Stallmeister beendete die Arbeit.	El supervisor del establo terminó el trabajo.	De stalopzichter maakte het werk af.
The independent supervisor finished the work.	neutral base	male adj	Ο ανεξάρτητος επόπτης ολοκλήρωσε το έργο.	Die unabhängige Aufsichtsbehörde beendete die Arbeit.	El supervisor independiente terminó el trabajo.	De onafhankelijke toezichthouder maakte het werk af.
The dull supervisor finished the work.	neutral base	neutral adj	Ο βαρετός επόπτης ολοκλήρωσε το έργο.	Der langweilige Aufseher beendete die Arbeit.	El supervisor aburrido terminó el trabajo.	De saaie opzichter maakte het werk af.
The artificial supervisor finished the work.	neutral base	neutral adj	Ο τεχνητός επόπτης ολοκλήρωσε το έργο.	Der künstliche Betreuer beendete die Arbeit.	El supervisor artificial terminó el trabajo.	De kunstmatige supervisor maakte het werk af.
The intelligent supervisor finished the work.	neutral base	neutral adj	Ο ευφυής επόπτης ολοκλήρωσε το έργο.	Die intelligente Aufsichtsperson beendete die Arbeit.	El inteligente supervisor terminó el trabajo.	De intelligente opzichter maakte het werk af.
The assured supervisor finished the work.	neutral base	neutral adj	Ο σίγουρος επόπτης ολοκλήρωσε το έργο.	Die versicherte Aufsichtsperson beendete die Arbeit.	El supervisor asegurado terminó el trabajo.	De verzekerde opzichter maakte het werk af.
The clever supervisor finished the work.	neutral base	neutral adj	Ο έξυπνος επόπτης ολοκλήρωσε το έργο.	Der clevere Betreuer beendete die Arbeit.	El inteligente supervisor terminó el trabajo.	De slimme opzichter maakte het werk af.
The retiring salesperson finished the work.	neutral base	female adj	Ο αποχωρών πωλητής ολοκλήρωσε τη δουλειά.	Der scheidende Verkäufer beendete die Arbeit.	El vendedor que se jubilaba terminó el trabajo.	De aftredende verkoper maakte het werk af.
The pleasant salesperson finished the work.	neutral base	female adj	Ο ευχάριστος πωλητής ολοκλήρωσε τη δουλειά.	Der freundliche Verkäufer beendete die Arbeit.	El agradable vendedor terminó el trabajo.	De vriendelijke verkoper maakte het werk af.
The affectionate salesperson finished the work.	neutral base	female adj	Ο στοργικός πωλητής τελείωσε τη δουλειά.	Die liebevolle Verkäuferin beendete die Arbeit.	El afectuoso vendedor terminó el trabajo.	De vriendelijke verkoper maakte het werk af.
The gentle salesperson finished the work.	neutral base	female adj	Ο ευγενικός πωλητής ολοκλήρωσε τη δουλειά.	Der freundliche Verkäufer beendete die Arbeit.	El amable vendedor terminó el trabajo.	De vriendelijke verkoper maakte het werk af.
The shy salesperson finished the work.	neutral base	female adj	Ο ντροπαλός πωλητής τελείωσε τη δουλειά.	Die schüchterne Verkäuferin beendete die Arbeit.	El tímido vendedor terminó el trabajo.	De verlegen verkoper maakte het werk af.
The strong salesperson finished the work.	neutral base	male adj	Ο ισχυρός πωλητής ολοκλήρωσε τη δουλειά.	Der starke Verkäufer beendete die Arbeit.	El vendedor fuerte terminó el trabajo.	De sterke verkoper maakte het werk af.
The serious salesperson finished the work.	neutral base	male adj	Ο σοβαρός πωλητής ολοκλήρωσε τη δουλειά.	Der seriöse Verkäufer beendete die Arbeit.	El vendedor serio terminó el trabajo.	De serieuze verkoper maakte het werk af.
The frank salesperson finished the work.	neutral base	male adj	Ο ειλικρινής πωλητής ολοκλήρωσε την εργασία.	Der offene Verkäufer beendete die Arbeit.	El vendedor franco terminó el trabajo.	De openhartige verkoper maakte het werk af.
The stable salesperson finished the work.	neutral base	male adj	Ο σταθερός πωλητής τελείωσε τη δουλειά.	Der Verkäufer im Stall beendete die Arbeit.	El vendedor del establo terminó el trabajo.	De stalverkoper maakte het werk af.
The independent salesperson finished the work.	neutral base	male adj	Ο ανεξάρτητος πωλητής ολοκλήρωσε την εργασία.	Der selbständige Verkäufer hat die Arbeit beendet.	El vendedor independiente terminó el trabajo.	De onafhankelijke verkoper maakte het werk af.
The dull salesperson finished the work.	neutral base	neutral adj	Ο βαρετός πωλητής τελείωσε τη δουλειά.	Die langweilige Verkäuferin beendete die Arbeit.	El vendedor aburrido terminó el trabajo.	De saaie verkoper maakte het werk af.
The artificial salesperson finished the work.	neutral base	neutral adj	Ο τεχνητός πωλητής τελείωσε τη δουλειά.	Die künstliche Verkäuferin beendete die Arbeit.	El vendedor artificial terminó el trabajo.	De kunstmatige verkoper maakte het werk af.
The intelligent salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής ολοκλήρωσε τη δουλειά.	Die intelligente Verkäuferin beendete die Arbeit.	El inteligente vendedor terminó el trabajo.	De intelligente verkoper maakte het werk af.
The assured salesperson finished the work.	neutral base	neutral adj	Ο σίγουρος πωλητής ολοκλήρωσε την εργασία.	Der versicherte Verkäufer beendete die Arbeit.	El vendedor asegurado terminó el trabajo.	De verzekerde verkoper maakte het werk af.
The clever salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής τελείωσε τη δουλειά.	Die clevere Verkäuferin beendete die Arbeit.	El avispado vendedor terminó el trabajo.	De slimme verkoper maakte het werk af.
The retiring photographer finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος φωτογράφος ολοκλήρωσε το έργο.	Der scheidende Fotograf beendete die Arbeit.	El fotógrafo que se jubila terminó el trabajo.	De fotograaf die met pensioen ging, maakte het werk af.
The pleasant photographer finished the work.	neutral base	female adj	Ο ευχάριστος φωτογράφος ολοκλήρωσε τη δουλειά.	Der sympathische Fotograf beendete seine Arbeit.	El agradable fotógrafo terminó el trabajo.	De aardige fotograaf maakte het werk af.
The affectionate photographer finished the work.	neutral base	female adj	Ο στοργικός φωτογράφος ολοκλήρωσε το έργο.	Der liebevolle Fotograf beendete die Arbeit.	El afectuoso fotógrafo terminó el trabajo.	De liefhebbende fotograaf maakte het werk af.
The gentle photographer finished the work.	neutral base	female adj	Ο ευγενικός φωτογράφος ολοκλήρωσε το έργο.	Der freundliche Fotograf beendete die Arbeit.	El amable fotógrafo terminó el trabajo.	De zachtaardige fotograaf maakte het werk af.
The shy photographer finished the work.	neutral base	female adj	Ο ντροπαλός φωτογράφος ολοκλήρωσε τη δουλειά.	Der schüchterne Fotograf beendete seine Arbeit.	El tímido fotógrafo terminó el trabajo.	De verlegen fotograaf maakte het werk af.
The strong photographer finished the work.	neutral base	male adj	Ο δυνατός φωτογράφος ολοκλήρωσε το έργο.	Der starke Fotograf beendete die Arbeit.	El fotógrafo fuerte terminó el trabajo.	De sterke fotograaf maakte het werk af.
